category,rank,dimension,mean_delta,std_delta
pitch_up_small,10,174,1.097854,0.883387
pitch_up_small,11,34,1.079416,0.835084
pitch_up_small,12,482,1.078426,0.845699
pitch_up_small,13,368,1.074321,0.867265
pitch_up_small,14,139,1.055385,0.820473
pitch_up_small,15,415,1.045212,0.835727
pitch_up_small,16,503,1.043946,0.829690
pitch_up_small,17,319,1.042956,0.834445
pitch_up_small,18,220,1.039618,0.826416
pitch_up_small,19,371,1.038314,0.807453
pitch_up_small,20,409,1.036572,0.808134
pitch_up_small,21,359,1.028672,0.836568
pitch_up_small,22,147,1.023348,0.798046
pitch_up_small,23,293,1.019884,0.797113
pitch_up_small,24,189,1.019557,0.809098
pitch_up_small,25,76,1.019534,0.791639
pitch_up_small,26,205,1.018046,0.816539
pitch_up_small,27,41,1.010877,0.801357
pitch_up_small,28,286,1.007629,0.792897
pitch_up_small,29,492,1.007280,0.789289
pitch_up_small,30,343,1.003668,0.771269
tempo_down_large,1,214,1.302183,1.087376
tempo_down_large,2,469,1.281191,1.049649
tempo_down_large,3,288,1.190511,0.963805
tempo_down_large,4,174,1.141573,0.909132
tempo_down_large,5,104,1.126890,0.920922
tempo_down_large,6,85,1.121139,0.924092
tempo_down_large,7,470,1.115569,0.914225
tempo_down_large,8,342,1.114360,0.872097
tempo_down_large,9,10,1.113925,0.917783
tempo_down_large,10,242,1.102573,0.869001
tempo_down_large,11,482,1.088129,0.841792
tempo_down_large,12,319,1.076844,0.864048
tempo_down_large,13,368,1.075758,0.863685
tempo_down_large,14,503,1.063155,0.849480
tempo_down_large,15,189,1.060851,0.827952
tempo_down_large,16,220,1.055984,0.837720
tempo_down_large,17,409,1.051184,0.822949
tempo_down_large,18,76,1.045630,0.808870
tempo_down_large,19,147,1.042472,0.800036
tempo_down_large,20,205,1.041278,0.828995
tempo_down_large,21,208,1.033819,0.844411
tempo_down_large,22,371,1.033175,0.807366
tempo_down_large,23,286,1.031268,0.804083
tempo_down_large,24,415,1.030914,0.810271
tempo_down_large,25,359,1.029750,0.809650
tempo_down_large,26,34,1.025588,0.795501
tempo_down_large,27,139,1.025415,0.805495
tempo_down_large,28,162,1.023862,0.814519
tempo_down_large,29,293,1.019004,0.793747
tempo_down_large,30,291,1.012025,0.803236
tempo_up_large,1,469,1.310103,1.059606
tempo_up_large,2,214,1.300490,1.082644
tempo_up_large,3,288,1.170284,0.956620
tempo_up_large,4,174,1.146546,0.915075
tempo_up_large,5,104,1.135505,0.926658
tempo_up_large,6,10,1.118741,0.907283
tempo_up_large,7,85,1.116992,0.920629
tempo_up_large,8,242,1.116863,0.878207
tempo_up_large,9,470,1.116119,0.911094
tempo_up_large,10,342,1.108930,0.864614
tempo_up_large,11,482,1.095962,0.845997
tempo_up_large,12,368,1.083956,0.869771
tempo_up_large,13,189,1.077975,0.833505
tempo_up_large,14,220,1.070433,0.841932
