dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
519,1.247431,1.090640,1.733999,1.377046,0.486568,0.486568,0.391723,220
965,1.275669,0.983378,1.760827,1.360756,0.485158,0.485158,0.408672,221
939,1.232683,1.066626,1.717650,1.290281,0.484968,0.484968,0.409689,222
578,0.837218,0.676199,1.322013,1.032397,0.484794,0.484794,0.555533,223
809,0.916365,0.803309,1.400933,1.075860,0.484568,0.484568,0.510386,224
429,1.305779,1.106565,1.790108,1.384867,0.484329,0.484329,0.386393,225
829,1.142167,1.013597,1.625517,1.216976,0.483349,0.483349,0.431596,226
242,1.121821,0.905539,1.604449,1.213674,0.482628,0.482628,0.450738,227
696,0.931160,0.850497,1.413696,1.103236,0.482536,0.482536,0.489881,228
699,0.977323,0.798186,1.459819,1.123773,0.482495,0.482495,0.495034,229
856,1.236606,0.988571,1.718197,1.324349,0.481591,0.481591,0.412115,230
530,1.243900,1.096687,1.724971,1.359468,0.481071,0.481071,0.389504,231
751,0.932385,0.822361,1.412716,1.067782,0.480331,0.480331,0.504017,232
523,1.092462,0.947583,1.571320,1.141409,0.478858,0.478858,0.456498,233
58,0.906690,0.805093,1.384298,1.054086,0.477608,0.477608,0.509238,234
992,0.926508,0.805133,1.403650,1.070348,0.477142,0.477142,0.503808,235
385,1.112220,0.921631,1.589029,1.256830,0.476809,0.476809,0.432657,236
553,1.234956,1.059482,1.711627,1.331665,0.476672,0.476672,0.396139,237
16,1.044176,0.879370,1.519727,1.127910,0.475552,0.475552,0.470236,238
511,1.220942,1.006674,1.696403,1.282607,0.475461,0.475461,0.412395,239
776,0.954797,0.797938,1.429622,1.101239,0.474825,0.474825,0.493776,240
936,0.969126,0.780572,1.443928,1.083245,0.474802,0.474802,0.502906,241
529,0.877908,0.707072,1.352690,1.001241,0.474781,0.474781,0.547786,242
467,0.970613,0.776156,1.444623,1.043774,0.474010,0.474010,0.515368,243
423,1.171316,1.026457,1.645118,1.197574,0.473801,0.473801,0.424819,244
87,1.282702,0.981730,1.755342,1.323653,0.472640,0.472640,0.405595,245
460,0.867237,0.762654,1.339615,1.041234,0.472378,0.472378,0.517597,246
493,0.991175,0.778804,1.463525,1.076475,0.472350,0.472350,0.502765,247
976,1.140269,0.948488,1.612549,1.195441,0.472280,0.472280,0.437681,248
921,1.228632,1.051349,1.700541,1.301533,0.471909,0.471909,0.398884,249
703,1.004462,0.883189,1.474883,1.146381,0.470421,0.470421,0.459718,250
221,1.219657,1.029014,1.689443,1.232511,0.469787,0.469787,0.413788,251
1007,0.923320,0.800131,1.392888,1.050670,0.469568,0.469568,0.502835,252
342,0.998686,0.813076,1.468083,1.118469,0.469396,0.469396,0.480069,253
564,0.929902,0.729403,1.399246,1.065067,0.469344,0.469344,0.514183,254
820,0.956419,0.796068,1.424961,1.048511,0.468542,0.468542,0.503329,255
692,1.047214,0.851211,1.515356,1.153196,0.468142,0.468142,0.461900,256
624,1.375429,1.064877,1.843315,1.394444,0.467886,0.467886,0.377129,257
269,1.066156,0.919494,1.534036,1.112252,0.467881,0.467881,0.458511,258
95,0.933538,0.810776,1.400990,1.088858,0.467452,0.467452,0.486960,259
233,0.943551,0.770177,1.410917,1.091041,0.467367,0.467367,0.494915,260
388,0.883987,0.734215,1.350765,1.000065,0.466779,0.466779,0.532081,261
855,1.122411,0.954374,1.589005,1.202166,0.466593,0.466593,0.429895,262
41,1.068610,0.903018,1.534927,1.143105,0.466317,0.466317,0.452700,263
8,1.012281,0.811717,1.478592,1.147850,0.466312,0.466312,0.469082,264
100,1.191802,0.989139,1.656855,1.242294,0.465053,0.465053,0.414163,265
679,1.069832,0.922191,1.534731,1.170964,0.464898,0.464898,0.441104,266
743,1.013026,0.849201,1.477456,1.100534,0.464430,0.464430,0.472494,267
65,1.276497,1.131691,1.740110,1.312281,0.463613,0.463613,0.378361,268
280,1.167587,0.970359,1.630931,1.238691,0.463345,0.463345,0.416436,269
46,1.158705,0.944416,1.621848,1.225804,0.463143,0.463143,0.423274,270
353,1.206709,0.911594,1.669204,1.366045,0.462495,0.462495,0.398268,271
140,1.492921,1.174747,1.955147,1.579845,0.462226,0.462226,0.332033,272
0,1.094502,0.917799,1.555943,1.164882,0.461441,0.461441,0.440037,273
168,0.944295,0.801034,1.405149,1.081480,0.460854,0.460854,0.484272,274
32,1.373737,1.187814,1.834443,1.385715,0.460706,0.460706,0.356981,275
218,0.985642,0.825101,1.446041,1.141815,0.460399,0.460399,0.462190,276
869,1.222132,0.996221,1.681819,1.271926,0.459687,0.459687,0.402380,277
620,1.027183,0.840099,1.486821,1.091430,0.459638,0.459638,0.471953,278
663,1.207699,1.096606,1.666541,1.259537,0.458841,0.458841,0.388557,279
267,0.984342,0.818856,1.443069,1.124416,0.458727,0.458727,0.466387,280
337,1.018459,0.810151,1.477055,1.139402,0.458596,0.458596,0.463894,281
957,1.092131,0.946361,1.550503,1.175629,0.458371,0.458371,0.429520,282
139,1.026824,0.844700,1.485121,1.104804,0.458297,0.458297,0.466038,283
895,0.797676,0.677980,1.255130,1.003890,0.457455,0.457455,0.534049,284
727,1.240779,0.987406,1.697747,1.295404,0.456969,0.456969,0.396761,285
937,0.962629,0.784109,1.419500,1.107448,0.456870,0.456870,0.476156,286
635,0.976181,0.795219,1.432967,1.146420,0.456786,0.456786,0.463003,287
1018,0.844454,0.698681,1.301125,0.968514,0.456671,0.456671,0.540794,288
246,1.040588,0.921895,1.496834,1.116328,0.456246,0.456246,0.445667,289
284,1.052303,0.907803,1.507664,1.150928,0.455361,0.455361,0.439318,290
657,1.270623,1.037698,1.724229,1.330226,0.453605,0.453605,0.380235,291
348,0.932142,0.784855,1.385551,1.086226,0.453409,0.453409,0.478483,292
301,0.911776,0.752046,1.365177,1.039278,0.453400,0.453400,0.499833,293
600,1.107517,1.013688,1.560610,1.191498,0.453094,0.453094,0.409605,294
248,1.242509,1.080666,1.695470,1.279418,0.452961,0.452961,0.382498,295
70,1.876479,1.591661,2.329338,1.731680,0.452859,0.452859,0.272291,296
581,1.207279,0.949503,1.660108,1.269927,0.452829,0.452829,0.403871,297
2,0.902757,0.772269,1.355500,1.019931,0.452743,0.452743,0.500481,298
215,0.975733,0.825855,1.428459,1.058803,0.452726,0.452726,0.476805,299
71,0.814982,0.634400,1.267407,0.980224,0.452425,0.452425,0.547981,300
389,0.953697,0.762249,1.406086,1.088000,0.452389,0.452389,0.481596,301
74,1.005257,0.902342,1.457252,1.072220,0.451995,0.451995,0.456133,302
394,0.943247,0.814557,1.395162,1.072820,0.451915,0.451915,0.474460,303
719,0.950338,0.759307,1.401605,1.094385,0.451268,0.451268,0.479120,304
672,1.069663,0.960002,1.520676,1.179267,0.451013,0.451013,0.419454,305
313,1.108439,0.972283,1.557634,1.171319,0.449195,0.449195,0.417308,306
928,0.971026,0.776967,1.419133,1.057006,0.448107,0.448107,0.483074,307
481,0.978041,0.847952,1.425837,1.070077,0.447796,0.447796,0.463833,308
1019,1.055711,0.845123,1.502663,1.101154,0.446951,0.446951,0.455365,309
184,1.427234,1.122775,1.874176,1.406275,0.446942,0.446942,0.351246,310
854,0.948505,0.746151,1.395245,1.043287,0.446740,0.446740,0.492563,311
892,0.990610,0.827432,1.437063,1.094519,0.446452,0.446452,0.460161,312
111,0.978877,0.842229,1.425061,1.120497,0.446184,0.446184,0.450156,313
152,1.065643,0.921352,1.511600,1.159295,0.445958,0.445958,0.425896,314
141,1.264551,1.041589,1.710482,1.320785,0.445931,0.445931,0.374919,315
559,1.140252,0.958717,1.585928,1.194541,0.445676,0.445676,0.411494,316
404,1.203913,1.059779,1.649526,1.246850,0.445613,0.445613,0.385111,317
173,0.985686,0.849285,1.431091,1.107272,0.445405,0.445405,0.451388,318
143,1.041501,0.815757,1.486866,1.131418,0.445364,0.445364,0.451552,319
426,0.897727,0.704467,1.342832,0.994537,0.445105,0.445105,0.516486,320
18,0.914820,0.792793,1.359630,1.041956,0.444809,0.444809,0.480462,321
138,1.151352,0.939100,1.595331,1.195984,0.443979,0.443979,0.412911,322
734,0.992730,0.764478,1.435721,1.054207,0.442991,0.442991,0.481089,323
476,1.145764,0.912013,1.588682,1.213481,0.442918,0.442918,0.412637,324
421,0.980037,0.884409,1.422559,1.075634,0.442521,0.442521,0.449409,325
979,1.192185,0.912478,1.634640,1.258463,0.442455,0.442455,0.402536,326
77,1.215090,1.052229,1.656997,1.244140,0.441907,0.441907,0.383538,327
1,1.170828,0.952262,1.612525,1.221094,0.441697,0.441697,0.403391,328
781,1.146619,0.862726,1.588023,1.196477,0.441404,0.441404,0.423191,329
737,0.978279,0.848376,1.419077,1.089481,0.440798,0.440798,0.451453,330
240,0.960931,0.817756,1.401319,1.071488,0.440389,0.440389,0.462058,331
416,0.960940,0.792689,1.401085,1.080492,0.440145,0.440145,0.464494,332
288,1.011493,0.861183,1.451351,1.086602,0.439858,0.439858,0.448654,333
1008,0.781354,0.640006,1.219915,0.943552,0.438561,0.438561,0.543990,334
681,0.981241,0.801756,1.419795,1.110956,0.438554,0.438554,0.452691,335
826,1.343349,1.134786,1.781634,1.318562,0.438285,0.438285,0.356297,336
415,1.116978,0.919639,1.554977,1.163212,0.437998,0.437998,0.417729,337
531,1.010771,0.868812,1.447995,1.124949,0.437224,0.437224,0.435017,338
844,1.246997,1.008536,1.684033,1.285228,0.437036,0.437036,0.378322,339
959,0.942112,0.829628,1.377238,1.048904,0.435126,0.435126,0.460138,340
392,0.982783,0.805548,1.417458,1.061920,0.434675,0.434675,0.461198,341
830,0.838063,0.743477,1.272698,0.980090,0.434634,0.434634,0.499656,342
731,0.981491,0.773806,1.415918,1.082269,0.434427,0.434427,0.461780,343
718,0.935675,0.784234,1.369152,1.020113,0.433477,0.433477,0.476427,344
189,1.256994,1.001653,1.690244,1.287820,0.433250,0.433250,0.375549,345
554,1.127300,1.041942,1.560419,1.134371,0.433119,0.433119,0.397671,346
1006,1.568160,1.372028,2.001088,1.604739,0.432929,0.432929,0.289987,347
383,1.106469,1.049660,1.539371,1.195808,0.432901,0.432901,0.384764,348
838,0.906546,0.772187,1.339185,1.007370,0.432639,0.432639,0.482041,349
580,1.258349,1.014117,1.690763,1.276057,0.432414,0.432414,0.375179,350
131,1.024650,0.917572,1.457014,1.161352,0.432364,0.432364,0.413119,351
438,1.016174,0.905432,1.448311,1.089195,0.432137,0.432137,0.431474,352
896,1.016043,0.799184,1.447688,1.067400,0.431646,0.431646,0.457796,353
784,1.068699,0.835200,1.500033,1.199560,0.431334,0.431334,0.417327,354
779,1.226936,1.160586,1.657489,1.273558,0.430554,0.430554,0.353381,355
526,0.808838,0.662581,1.239289,0.932962,0.430451,0.430451,0.531982,356
484,0.966509,0.785856,1.396784,1.038063,0.430275,0.430275,0.467367,357
461,0.916422,0.708467,1.346577,0.978837,0.430155,0.430155,0.503451,358
836,0.990415,0.850791,1.420329,1.095806,0.429914,0.429914,0.438250,359
108,1.208898,1.069163,1.637743,1.247929,0.428845,0.428845,0.369061,360
302,0.906221,0.729654,1.334691,1.033954,0.428470,0.428470,0.478826,361
357,1.250629,1.042215,1.678928,1.284983,0.428300,0.428300,0.366095,362
205,1.332375,1.043626,1.760636,1.375324,0.428261,0.428261,0.350805,363
201,1.064395,0.904424,1.491905,1.168366,0.427510,0.427510,0.409193,364
573,1.110237,0.923664,1.537610,1.154198,0.427373,0.427373,0.408849,365
500,0.870404,0.763672,1.297436,0.974214,0.427033,0.427033,0.487872,366
278,0.919205,0.753857,1.345806,1.028207,0.426601,0.426601,0.473197,367
379,1.033811,0.835533,1.460237,1.076963,0.426427,0.426427,0.442426,368
700,1.116468,0.931064,1.542281,1.178218,0.425812,0.425812,0.401008,369
862,0.991713,0.788734,1.417125,1.048413,0.425411,0.425411,0.458564,370
84,1.016488,0.912402,1.441473,1.108719,0.424984,0.424984,0.418573,371
741,1.060997,1.044206,1.485596,1.132385,0.424599,0.424599,0.389831,372
823,0.961647,0.839541,1.385948,1.046017,0.424301,0.424301,0.447379,373
47,1.669973,1.386381,2.094185,1.588506,0.424212,0.424212,0.284539,374
10,1.106305,0.847619,1.530238,1.115681,0.423933,0.423933,0.427887,375
538,1.065418,0.910623,1.489101,1.146385,0.423683,0.423683,0.409262,376
106,0.955665,0.751499,1.378816,1.067766,0.423150,0.423150,0.458314,377
502,1.002923,0.811619,1.425980,1.090962,0.423057,0.423057,0.440001,378
252,1.062853,0.961626,1.485501,1.119218,0.422648,0.422648,0.405067,379
185,1.073781,0.930709,1.496290,1.137115,0.422509,0.422509,0.406630,380
857,0.810836,0.690906,1.232953,0.945959,0.422118,0.422118,0.509614,381
