pair_idx,pitch_semi,tempo_bpm,mean_delta,broad_cat
14974,,110,0.180259,2. Original + DSP
14975,,110,0.924338,2. Original + DSP
14976,,90,0.931740,2. Original + DSP
14981,,90,0.766655,2. Original + DSP
14982,,95,0.765199,2. Original + DSP
14983,,105,0.059556,2. Original + DSP
14984,,110,0.062897,2. Original + DSP
14985,,110,0.795704,2. Original + DSP
14986,,90,0.859671,2. Original + DSP
14991,,90,0.107658,2. Original + DSP
14992,,95,0.112652,2. Original + DSP
14993,,105,0.128213,2. Original + DSP
14994,,110,0.110085,2. Original + DSP
14995,,110,0.174691,2. Original + DSP
14996,,90,0.387877,2. Original + DSP
15001,,90,0.586757,2. Original + DSP
15002,,95,0.605961,2. Original + DSP
15003,,105,0.451084,2. Original + DSP
15004,,110,0.678512,2. Original + DSP
15005,,110,0.524904,2. Original + DSP
15006,,90,0.910837,2. Original + DSP
15011,,90,0.527288,2. Original + DSP
15012,,95,0.595569,2. Original + DSP
15013,,105,0.588091,2. Original + DSP
15014,,110,0.385038,2. Original + DSP
15015,,110,0.627181,2. Original + DSP
15016,,90,0.872776,2. Original + DSP
15021,,90,0.722486,2. Original + DSP
15022,,95,0.720446,2. Original + DSP
15023,,105,0.648559,2. Original + DSP
15024,,110,0.469609,2. Original + DSP
15025,,110,0.789446,2. Original + DSP
15026,,90,0.923678,2. Original + DSP
15031,,90,0.241121,2. Original + DSP
15032,,95,0.270424,2. Original + DSP
15033,,105,0.258753,2. Original + DSP
15034,,110,0.430461,2. Original + DSP
15035,,110,0.350506,2. Original + DSP
15036,,90,0.452337,2. Original + DSP
15041,,90,0.914695,2. Original + DSP
15042,,95,0.897577,2. Original + DSP
15043,,105,0.913237,2. Original + DSP
15044,,110,0.922172,2. Original + DSP
15045,,110,0.983689,2. Original + DSP
15046,,90,0.955616,2. Original + DSP
15051,,90,0.148456,2. Original + DSP
15052,,95,0.131113,2. Original + DSP
15053,,105,0.145725,2. Original + DSP
15054,,110,0.125971,2. Original + DSP
15055,,110,0.245533,2. Original + DSP
15056,,90,0.373379,2. Original + DSP
15061,,90,0.446994,2. Original + DSP
15062,,95,0.485008,2. Original + DSP
15063,,105,0.592569,2. Original + DSP
15064,,110,0.458445,2. Original + DSP
15065,,110,0.580212,2. Original + DSP
15066,,90,0.599628,2. Original + DSP
15071,,90,0.358414,2. Original + DSP
15072,,95,0.268493,2. Original + DSP
15073,,105,0.289061,2. Original + DSP
15074,,110,0.830349,2. Original + DSP
15075,,110,0.348259,2. Original + DSP
15076,,90,0.937270,2. Original + DSP
15081,,90,0.224572,2. Original + DSP
15082,,95,0.336620,2. Original + DSP
15083,,105,0.230661,2. Original + DSP
15084,,110,0.508260,2. Original + DSP
15085,,110,0.642151,2. Original + DSP
15086,,90,0.631816,2. Original + DSP
15091,,90,0.643071,2. Original + DSP
15092,,95,0.634778,2. Original + DSP
15093,,105,0.751585,2. Original + DSP
15094,,110,0.712324,2. Original + DSP
15095,,110,0.840364,2. Original + DSP
15096,,90,0.973670,2. Original + DSP
15101,,90,0.478427,2. Original + DSP
15102,,95,0.457947,2. Original + DSP
15103,,105,0.460370,2. Original + DSP
15104,,110,0.500224,2. Original + DSP
15105,,110,0.506635,2. Original + DSP
15106,,90,0.723252,2. Original + DSP
15111,,90,0.410747,2. Original + DSP
15112,,95,0.586263,2. Original + DSP
15113,,105,0.616895,2. Original + DSP
15114,,110,0.427337,2. Original + DSP
15115,,110,0.452408,2. Original + DSP
15116,,90,0.678192,2. Original + DSP
15121,,90,0.311805,2. Original + DSP
15122,,95,0.358319,2. Original + DSP
15123,,105,0.326696,2. Original + DSP
15124,,110,0.290067,2. Original + DSP
15125,,110,0.356279,2. Original + DSP
15126,,90,0.860852,2. Original + DSP
15131,,90,0.407813,2. Original + DSP
15132,,95,0.488843,2. Original + DSP
15133,,105,0.902288,2. Original + DSP
15134,,110,0.424628,2. Original + DSP
15135,,110,0.560717,2. Original + DSP
15136,,90,0.793521,2. Original + DSP
15141,,90,0.271326,2. Original + DSP
15142,,95,0.312515,2. Original + DSP
15143,,105,0.419494,2. Original + DSP
15144,,110,0.294392,2. Original + DSP
15145,,110,0.443097,2. Original + DSP
15146,,90,0.816849,2. Original + DSP
15151,,90,1.062345,2. Original + DSP
15152,,95,1.010818,2. Original + DSP
15153,,105,1.060984,2. Original + DSP
15154,,110,1.061983,2. Original + DSP
15155,,110,1.007181,2. Original + DSP
15156,,90,1.073756,2. Original + DSP
15161,,90,0.545035,2. Original + DSP
15162,,95,0.720173,2. Original + DSP
15163,,105,0.627160,2. Original + DSP
15164,,110,0.683557,2. Original + DSP
15165,,110,0.795082,2. Original + DSP
15166,,90,0.664935,2. Original + DSP
15171,,90,0.819656,2. Original + DSP
15172,,95,0.821942,2. Original + DSP
15173,,105,0.864746,2. Original + DSP
15174,,110,0.929299,2. Original + DSP
15175,,110,0.756943,2. Original + DSP
15176,,90,0.942083,2. Original + DSP
15181,,90,0.921524,2. Original + DSP
15182,,95,0.854608,2. Original + DSP
15183,,105,0.920467,2. Original + DSP
15184,,110,0.941582,2. Original + DSP
15185,,110,0.939798,2. Original + DSP
15186,,90,0.919520,2. Original + DSP
15191,,90,0.822944,2. Original + DSP
15192,,95,0.821957,2. Original + DSP
15193,,105,0.828190,2. Original + DSP
15194,,110,0.819264,2. Original + DSP
15195,,110,0.933391,2. Original + DSP
15196,,90,0.822151,2. Original + DSP
15201,,90,0.915702,2. Original + DSP
15202,,95,0.802474,2. Original + DSP
15203,,105,0.927703,2. Original + DSP
15204,,110,0.924973,2. Original + DSP
15205,,110,0.920714,2. Original + DSP
15206,,90,0.801334,2. Original + DSP
15211,,90,0.547859,2. Original + DSP
15212,,95,0.538975,2. Original + DSP
15213,,105,0.529645,2. Original + DSP
15214,,110,0.539613,2. Original + DSP
15215,,110,0.704211,2. Original + DSP
15216,,90,0.432273,2. Original + DSP
15221,,90,0.214069,2. Original + DSP
15222,,95,0.199451,2. Original + DSP
15223,,105,0.250394,2. Original + DSP
15224,,110,0.262392,2. Original + DSP
15225,,110,0.429223,2. Original + DSP
15226,,90,0.463095,2. Original + DSP
15231,,90,0.518651,2. Original + DSP
15232,,95,0.523094,2. Original + DSP
15233,,105,0.213540,2. Original + DSP
15234,,110,0.222360,2. Original + DSP
15235,,110,0.467891,2. Original + DSP
15236,,90,0.565907,2. Original + DSP
15241,,90,0.610733,2. Original + DSP
15242,,95,0.573028,2. Original + DSP
15243,,105,0.422371,2. Original + DSP
15244,,110,0.376647,2. Original + DSP
15245,,110,0.682922,2. Original + DSP
15246,,90,0.789601,2. Original + DSP
15251,,90,1.033547,2. Original + DSP
15252,,95,0.986627,2. Original + DSP
15253,,105,1.001629,2. Original + DSP
15254,,110,1.114425,2. Original + DSP
15255,,110,1.065002,2. Original + DSP
15256,,90,0.961073,2. Original + DSP
15261,,90,0.575830,2. Original + DSP
15262,,95,0.549871,2. Original + DSP
15263,,105,0.440786,2. Original + DSP
15264,,110,0.604890,2. Original + DSP
15265,,110,0.736837,2. Original + DSP
15266,,90,0.825619,2. Original + DSP
15271,,90,0.694160,2. Original + DSP
15272,,95,0.726901,2. Original + DSP
15273,,105,0.747507,2. Original + DSP
15274,,110,0.712658,2. Original + DSP
15275,,110,0.595877,2. Original + DSP
15276,,90,0.661288,2. Original + DSP
15281,,90,0.254692,2. Original + DSP
15282,,95,0.283177,2. Original + DSP
15283,,105,0.253316,2. Original + DSP
15284,,110,0.277800,2. Original + DSP
15285,,110,0.424683,2. Original + DSP
15286,,90,0.507753,2. Original + DSP
15291,,90,0.382099,2. Original + DSP
15292,,95,0.321313,2. Original + DSP
15293,,105,0.357422,2. Original + DSP
15294,,110,0.326363,2. Original + DSP
15295,,110,0.518177,2. Original + DSP
15296,,90,0.630810,2. Original + DSP
15301,,90,0.216637,2. Original + DSP
15302,,95,0.328397,2. Original + DSP
15303,,105,0.389877,2. Original + DSP
15304,,110,0.251449,2. Original + DSP
15305,,110,0.503581,2. Original + DSP
15306,,90,0.938880,2. Original + DSP
15311,,90,0.302793,2. Original + DSP
15312,,95,0.264253,2. Original + DSP
15313,,105,0.212258,2. Original + DSP
15314,,110,0.276911,2. Original + DSP
15315,,110,0.441528,2. Original + DSP
15316,,90,1.007720,2. Original + DSP
15321,,90,0.542061,2. Original + DSP
15322,,95,0.347813,2. Original + DSP
15323,,105,0.447261,2. Original + DSP
15324,,110,0.272158,2. Original + DSP
15325,,110,0.363597,2. Original + DSP
15326,,90,0.457942,2. Original + DSP
15331,,90,0.928804,2. Original + DSP
15332,,95,0.864461,2. Original + DSP
15333,,105,0.716146,2. Original + DSP
15334,,110,0.493842,2. Original + DSP
15335,,110,1.013654,2. Original + DSP
15336,,90,0.941347,2. Original + DSP
15341,,90,0.273445,2. Original + DSP
15342,,95,0.681135,2. Original + DSP
15343,,105,0.356530,2. Original + DSP
15344,,110,0.395779,2. Original + DSP
15345,,110,0.678182,2. Original + DSP
15346,,90,0.583176,2. Original + DSP
15351,,90,0.421747,2. Original + DSP
15352,,95,0.364128,2. Original + DSP
15353,,105,0.394189,2. Original + DSP
15354,,110,0.352209,2. Original + DSP
15355,,110,0.432508,2. Original + DSP
15356,,90,0.961465,2. Original + DSP
15361,,90,0.356110,2. Original + DSP
15362,,95,0.314687,2. Original + DSP
15363,,105,0.275791,2. Original + DSP
15364,,110,0.285805,2. Original + DSP
15365,,110,0.687443,2. Original + DSP
15366,,90,0.522395,2. Original + DSP
15371,,90,0.975923,2. Original + DSP
15372,,95,0.945946,2. Original + DSP
15373,,105,0.771251,2. Original + DSP
15374,,110,0.937570,2. Original + DSP
15375,,110,0.872837,2. Original + DSP
15376,,90,0.957016,2. Original + DSP
15381,,90,0.222395,2. Original + DSP
15382,,95,0.175260,2. Original + DSP
15383,,105,0.193940,2. Original + DSP
15384,,110,0.156292,2. Original + DSP
15385,,110,0.902154,2. Original + DSP
15386,,90,0.952426,2. Original + DSP
15391,,90,0.341516,2. Original + DSP
15392,,95,0.314985,2. Original + DSP
15393,,105,0.422103,2. Original + DSP
15394,,110,0.490870,2. Original + DSP
15395,,110,1.078547,2. Original + DSP
15396,,90,0.796993,2. Original + DSP
15401,,90,0.454489,2. Original + DSP
15402,,95,0.440179,2. Original + DSP
15403,,105,0.469292,2. Original + DSP
15404,,110,0.347402,2. Original + DSP
15405,,110,0.921976,2. Original + DSP
15406,,90,0.584535,2. Original + DSP
15411,,90,0.126422,2. Original + DSP
15412,,95,0.118381,2. Original + DSP
15413,,105,0.140287,2. Original + DSP
15414,,110,0.162908,2. Original + DSP
15415,,110,0.795859,2. Original + DSP
15416,,90,0.260766,2. Original + DSP
15421,,90,0.790035,2. Original + DSP
15422,,95,0.945668,2. Original + DSP
15423,,105,0.932528,2. Original + DSP
15424,,110,0.789343,2. Original + DSP
15425,,110,0.130044,2. Original + DSP
15426,,90,0.933751,2. Original + DSP
15431,,90,0.957545,2. Original + DSP
15432,,95,1.050464,2. Original + DSP
15433,,105,1.102338,2. Original + DSP
15434,,110,0.970926,2. Original + DSP
15435,,110,1.215637,2. Original + DSP
15436,,90,1.031035,2. Original + DSP
15441,,90,1.085296,2. Original + DSP
15442,,95,0.914138,2. Original + DSP
15443,,105,1.092725,2. Original + DSP
15444,,110,1.019648,2. Original + DSP
15445,,110,0.842095,2. Original + DSP
15446,,90,0.877934,2. Original + DSP
15451,,90,0.594991,2. Original + DSP
15452,,95,0.540699,2. Original + DSP
15453,,105,0.567846,2. Original + DSP
15454,,110,0.674590,2. Original + DSP
15455,,110,0.683473,2. Original + DSP
15456,,90,0.574441,2. Original + DSP
15461,,90,0.587274,2. Original + DSP
15462,,95,0.390922,2. Original + DSP
15463,,105,0.381922,2. Original + DSP
15464,,110,0.584587,2. Original + DSP
15465,,110,0.972810,2. Original + DSP
15466,,90,0.582314,2. Original + DSP
15471,,90,0.278530,2. Original + DSP
15472,,95,0.457195,2. Original + DSP
15473,,105,0.389730,2. Original + DSP
15474,,110,0.328070,2. Original + DSP
15475,,110,0.638057,2. Original + DSP
15476,,90,0.665972,2. Original + DSP
15481,,90,0.623423,2. Original + DSP
15482,,95,0.368429,2. Original + DSP
15483,,105,0.275891,2. Original + DSP
15484,,110,0.349090,2. Original + DSP
15485,,110,0.305030,2. Original + DSP
15486,,90,0.602527,2. Original + DSP
15491,,90,0.374918,2. Original + DSP
15492,,95,0.825367,2. Original + DSP
15493,,105,0.859406,2. Original + DSP
15494,,110,0.963363,2. Original + DSP
15495,,110,0.894470,2. Original + DSP
15496,,90,0.870710,2. Original + DSP
15501,,90,0.880782,2. Original + DSP
15502,,95,0.962460,2. Original + DSP
15503,,105,0.862903,2. Original + DSP
15504,,110,0.909623,2. Original + DSP
15505,,110,0.780454,2. Original + DSP
15506,,90,0.975452,2. Original + DSP
15511,,90,0.683243,2. Original + DSP
15512,,95,1.084048,2. Original + DSP
15513,,105,0.767197,2. Original + DSP
15514,,110,0.704590,2. Original + DSP
15515,,110,0.892728,2. Original + DSP
15516,,90,0.854350,2. Original + DSP
15521,,90,0.404073,2. Original + DSP
15522,,95,0.898628,2. Original + DSP
15523,,105,0.843567,2. Original + DSP
15524,,110,0.404427,2. Original + DSP
15525,,110,0.612917,2. Original + DSP
15526,,90,0.976529,2. Original + DSP
15531,,90,0.875812,2. Original + DSP
15532,,95,0.909046,2. Original + DSP
15533,,105,0.957980,2. Original + DSP
15534,,110,0.892772,2. Original + DSP
15535,,110,0.772458,2. Original + DSP
15536,,90,0.844614,2. Original + DSP
15541,,90,0.391789,2. Original + DSP
15542,,95,0.414174,2. Original + DSP
15543,,105,0.378766,2. Original + DSP
15544,,110,0.632068,2. Original + DSP
15545,,110,0.856825,2. Original + DSP
15546,,90,0.574052,2. Original + DSP
15551,,90,0.852135,2. Original + DSP
15552,,95,0.696394,2. Original + DSP
15553,,105,0.767300,2. Original + DSP
15554,,110,0.630938,2. Original + DSP
15555,,110,0.738557,2. Original + DSP
15556,,90,0.845511,2. Original + DSP
15561,,90,0.864472,2. Original + DSP
15562,,95,0.860135,2. Original + DSP
15563,,105,0.856942,2. Original + DSP
15564,,110,0.855463,2. Original + DSP
15565,,110,0.711835,2. Original + DSP
15566,,90,0.750868,2. Original + DSP
15571,,90,0.871891,2. Original + DSP
15572,,95,0.864880,2. Original + DSP
15573,,105,0.849787,2. Original + DSP
15574,,110,0.732557,2. Original + DSP
15575,,110,0.732875,2. Original + DSP
15576,,90,0.734495,2. Original + DSP
15581,,90,0.260373,2. Original + DSP
15582,,95,0.275245,2. Original + DSP
15583,,105,0.281712,2. Original + DSP
15584,,110,0.301228,2. Original + DSP
15585,,110,0.723675,2. Original + DSP
15586,,90,0.789741,2. Original + DSP
15591,,90,0.899606,2. Original + DSP
15592,,95,0.896438,2. Original + DSP
15593,,105,0.900887,2. Original + DSP
15594,,110,0.887043,2. Original + DSP
15595,,110,0.362885,2. Original + DSP
15596,,90,0.718936,2. Original + DSP
15601,,90,0.861220,2. Original + DSP
15602,,95,0.872433,2. Original + DSP
15603,,105,0.878872,2. Original + DSP
15604,,110,0.733272,2. Original + DSP
15605,,110,0.865987,2. Original + DSP
15606,,90,0.885739,2. Original + DSP
15611,,90,0.868930,2. Original + DSP
15612,,95,0.636704,2. Original + DSP
15613,,105,0.859373,2. Original + DSP
15614,,110,0.617785,2. Original + DSP
15615,,110,0.633364,2. Original + DSP
15616,,90,0.938800,2. Original + DSP
15621,,90,0.333292,2. Original + DSP
15622,,95,0.941156,2. Original + DSP
15623,,105,0.317155,2. Original + DSP
15624,,110,0.323210,2. Original + DSP
15625,,110,0.699536,2. Original + DSP
15626,,90,0.699807,2. Original + DSP
15631,,90,0.885036,2. Original + DSP
15632,,95,0.337124,2. Original + DSP
15633,,105,0.395902,2. Original + DSP
15634,,110,0.323485,2. Original + DSP
15635,,110,0.726931,2. Original + DSP
15636,,90,0.736338,2. Original + DSP
15641,,90,0.870214,2. Original + DSP
15642,,95,0.329530,2. Original + DSP
15643,,105,0.842284,2. Original + DSP
15644,,110,0.301623,2. Original + DSP
15645,,110,0.844629,2. Original + DSP
15646,,90,0.867284,2. Original + DSP
15651,,90,0.627734,2. Original + DSP
15652,,95,0.587962,2. Original + DSP
15653,,105,0.826629,2. Original + DSP
15654,,110,0.489689,2. Original + DSP
15655,,110,0.639206,2. Original + DSP
15656,,90,0.546545,2. Original + DSP
15661,,90,1.126996,2. Original + DSP
15662,,95,0.718154,2. Original + DSP
15663,,105,0.623139,2. Original + DSP
15664,,110,0.768505,2. Original + DSP
15665,,110,0.868642,2. Original + DSP
15666,,90,0.889901,2. Original + DSP
15671,,90,0.763297,2. Original + DSP
15672,,95,0.436245,2. Original + DSP
15673,,105,0.890560,2. Original + DSP
15674,,110,0.409055,2. Original + DSP
15675,,110,0.931180,2. Original + DSP
15676,,90,0.893381,2. Original + DSP
15681,,90,0.951066,2. Original + DSP
15682,,95,0.888568,2. Original + DSP
15683,,105,0.879166,2. Original + DSP
15684,,110,0.874184,2. Original + DSP
15685,,110,0.983483,2. Original + DSP
15686,,90,0.903428,2. Original + DSP
15691,,90,0.473363,2. Original + DSP
15692,,95,0.680283,2. Original + DSP
15693,,105,0.972015,2. Original + DSP
15694,,110,0.868204,2. Original + DSP
15695,,110,0.869051,2. Original + DSP
15696,,90,0.980672,2. Original + DSP
15701,,90,0.787368,2. Original + DSP
15702,,95,0.802857,2. Original + DSP
15703,,105,0.827232,2. Original + DSP
15704,,110,0.834763,2. Original + DSP
15705,,110,0.820912,2. Original + DSP
15706,,90,0.837182,2. Original + DSP
15711,,90,0.685352,2. Original + DSP
15712,,95,0.698352,2. Original + DSP
15713,,105,0.692412,2. Original + DSP
15714,,110,0.697999,2. Original + DSP
15715,,110,0.705943,2. Original + DSP
15716,,90,0.695850,2. Original + DSP
15721,,90,0.933444,2. Original + DSP
15722,,95,0.947002,2. Original + DSP
15723,,105,0.881791,2. Original + DSP
15724,,110,0.884671,2. Original + DSP
15725,,110,0.876533,2. Original + DSP
15726,,90,0.843702,2. Original + DSP
15731,,90,0.823216,2. Original + DSP
15732,,95,0.846012,2. Original + DSP
15733,,105,0.825271,2. Original + DSP
15734,,110,0.840433,2. Original + DSP
15735,,110,0.801856,2. Original + DSP
15736,,90,0.794120,2. Original + DSP
15741,,90,1.006423,2. Original + DSP
15742,,95,0.917217,2. Original + DSP
15743,,105,0.802943,2. Original + DSP
15744,,110,0.856352,2. Original + DSP
15745,,110,1.033001,2. Original + DSP
15746,,90,1.042538,2. Original + DSP
15751,,90,0.236851,2. Original + DSP
15752,,95,0.816011,2. Original + DSP
15753,,105,0.950850,2. Original + DSP
15754,,110,0.936961,2. Original + DSP
15755,,110,0.932137,2. Original + DSP
15756,,90,0.910593,2. Original + DSP
15761,,90,0.783254,2. Original + DSP
15762,,95,0.569275,2. Original + DSP
15763,,105,0.510502,2. Original + DSP
15764,,110,0.761431,2. Original + DSP
15765,,110,0.678562,2. Original + DSP
15766,,90,0.661138,2. Original + DSP
15771,,90,0.396659,2. Original + DSP
15772,,95,0.494889,2. Original + DSP
15773,,105,0.476381,2. Original + DSP
15774,,110,0.639688,2. Original + DSP
15775,,110,0.773907,2. Original + DSP
15776,,90,0.616885,2. Original + DSP
15781,,90,0.559318,2. Original + DSP
15782,,95,0.602264,2. Original + DSP
15783,,105,0.580925,2. Original + DSP
15784,,110,0.905189,2. Original + DSP
15785,,110,0.786068,2. Original + DSP
15786,,90,0.792533,2. Original + DSP
15791,,90,0.200248,2. Original + DSP
15792,,95,0.206231,2. Original + DSP
15793,,105,0.492452,2. Original + DSP
15794,,110,0.478340,2. Original + DSP
15795,,110,0.490016,2. Original + DSP
15796,,90,0.494837,2. Original + DSP
15801,,90,0.660419,2. Original + DSP
15802,,95,0.670793,2. Original + DSP
15803,,105,0.929150,2. Original + DSP
15804,,110,0.566540,2. Original + DSP
15805,,110,0.606610,2. Original + DSP
15806,,90,0.928745,2. Original + DSP
15811,,90,0.895928,2. Original + DSP
15812,,95,0.928614,2. Original + DSP
15813,,105,0.887785,2. Original + DSP
15814,,110,0.869935,2. Original + DSP
15815,,110,0.891455,2. Original + DSP
15816,,90,0.892811,2. Original + DSP
15821,,90,0.267986,2. Original + DSP
15822,,95,0.504628,2. Original + DSP
15823,,105,0.312065,2. Original + DSP
15824,,110,0.421187,2. Original + DSP
15825,,110,0.638171,2. Original + DSP
15826,,90,0.685871,2. Original + DSP
15831,,90,0.321779,2. Original + DSP
15832,,95,0.565627,2. Original + DSP
15833,,105,0.276136,2. Original + DSP
15834,,110,0.664930,2. Original + DSP
15835,,110,0.740213,2. Original + DSP
15836,,90,0.438515,2. Original + DSP
15841,,90,0.312573,2. Original + DSP
15842,,95,0.526354,2. Original + DSP
15843,,105,0.552081,2. Original + DSP
15844,,110,0.678331,2. Original + DSP
15845,,110,0.747179,2. Original + DSP
15846,,90,0.718963,2. Original + DSP
15851,,90,0.282706,2. Original + DSP
15852,,95,0.531121,2. Original + DSP
15853,,105,0.534258,2. Original + DSP
15854,,110,0.554002,2. Original + DSP
15855,,110,0.629819,2. Original + DSP
15856,,90,0.771528,2. Original + DSP
15861,,90,0.295657,2. Original + DSP
15862,,95,0.268048,2. Original + DSP
15863,,105,0.538825,2. Original + DSP
15864,,110,0.509888,2. Original + DSP
15865,,110,0.596508,2. Original + DSP
15866,,90,1.266472,2. Original + DSP
15871,,90,0.662368,2. Original + DSP
15872,,95,0.899658,2. Original + DSP
15873,,105,1.057394,2. Original + DSP
15874,,110,0.980879,2. Original + DSP
15875,,110,0.932438,2. Original + DSP
15876,,90,1.025305,2. Original + DSP
15881,,90,0.723214,2. Original + DSP
15882,,95,0.808596,2. Original + DSP
15883,,105,0.725666,2. Original + DSP
15884,,110,0.749258,2. Original + DSP
15885,,110,0.784122,2. Original + DSP
15886,,90,0.866786,2. Original + DSP
15891,,90,0.583365,2. Original + DSP
15892,,95,0.595859,2. Original + DSP
15893,,105,0.638205,2. Original + DSP
15894,,110,0.685870,2. Original + DSP
15895,,110,0.657988,2. Original + DSP
15896,,90,0.615239,2. Original + DSP
15901,,90,0.568822,2. Original + DSP
15902,,95,0.556588,2. Original + DSP
15903,,105,0.574890,2. Original + DSP
15904,,110,0.660387,2. Original + DSP
15905,,110,0.593554,2. Original + DSP
15906,,90,0.924870,2. Original + DSP
15911,,90,0.622413,2. Original + DSP
15912,,95,0.546664,2. Original + DSP
15913,,105,0.692265,2. Original + DSP
15914,,110,0.591560,2. Original + DSP
15915,,110,0.612537,2. Original + DSP
15916,,90,0.679850,2. Original + DSP
15921,,90,0.267967,2. Original + DSP
15922,,95,0.490908,2. Original + DSP
15923,,105,0.305081,2. Original + DSP
15924,,110,0.263020,2. Original + DSP
15925,,110,0.627753,2. Original + DSP
15926,,90,1.022636,2. Original + DSP
15931,,90,0.899293,2. Original + DSP
15932,,95,0.912771,2. Original + DSP
15933,,105,0.928395,2. Original + DSP
15934,,110,0.890053,2. Original + DSP
15935,,110,0.698202,2. Original + DSP
15936,,90,0.617635,2. Original + DSP
15941,,90,0.282227,2. Original + DSP
15942,,95,0.166456,2. Original + DSP
15943,,105,0.204798,2. Original + DSP
15944,,110,0.219673,2. Original + DSP
15945,,110,0.175744,2. Original + DSP
15946,,90,0.806025,2. Original + DSP
17170,,90,0.863685,4. AI + DSP
17171,,95,0.728574,4. AI + DSP
17172,,105,0.846527,4. AI + DSP
17173,,110,0.945658,4. AI + DSP
17174,,110,1.081088,4. AI + DSP
17175,,90,0.921667,4. AI + DSP
17180,,90,0.714186,4. AI + DSP
17181,,95,0.863163,4. AI + DSP
17182,,105,0.817723,4. AI + DSP
17183,,110,0.748600,4. AI + DSP
17184,,110,0.813068,4. AI + DSP
17185,,90,0.818435,4. AI + DSP
17190,,90,0.869062,4. AI + DSP
17191,,95,0.937869,4. AI + DSP
17192,,105,0.951445,4. AI + DSP
17193,,110,0.916586,4. AI + DSP
17194,,110,0.742973,4. AI + DSP
17195,,90,0.737348,4. AI + DSP
17200,,90,0.614472,4. AI + DSP
17201,,95,0.795418,4. AI + DSP
17202,,105,0.793483,4. AI + DSP
17203,,110,0.765429,4. AI + DSP
17204,,110,0.754858,4. AI + DSP
17205,,90,0.777605,4. AI + DSP
17210,,90,0.800473,4. AI + DSP
17211,,95,0.930385,4. AI + DSP
17212,,105,0.935893,4. AI + DSP
17213,,110,0.894939,4. AI + DSP
17214,,110,0.862012,4. AI + DSP
17215,,90,0.735373,4. AI + DSP
17220,,90,0.934685,4. AI + DSP
17221,,95,1.093192,4. AI + DSP
17222,,105,1.009635,4. AI + DSP
17223,,110,1.140996,4. AI + DSP
17224,,110,0.954123,4. AI + DSP
17225,,90,0.910960,4. AI + DSP
17230,,90,0.868125,4. AI + DSP
17231,,95,0.824417,4. AI + DSP
17232,,105,0.814417,4. AI + DSP
17233,,110,0.819393,4. AI + DSP
17234,,110,0.836184,4. AI + DSP
17235,,90,0.865510,4. AI + DSP
17240,,90,1.133847,4. AI + DSP
17241,,95,1.070376,4. AI + DSP
17242,,105,0.983412,4. AI + DSP
17243,,110,0.929542,4. AI + DSP
17244,,110,0.892935,4. AI + DSP
17245,,90,1.052745,4. AI + DSP
17250,,90,0.915035,4. AI + DSP
17251,,95,1.012935,4. AI + DSP
17252,,105,1.117468,4. AI + DSP
17253,,110,0.974263,4. AI + DSP
17254,,110,1.120182,4. AI + DSP
17255,,90,1.142627,4. AI + DSP
17260,,90,0.873525,4. AI + DSP
17261,,95,0.858881,4. AI + DSP
17262,,105,0.897818,4. AI + DSP
17263,,110,0.850584,4. AI + DSP
17264,,110,0.937238,4. AI + DSP
17265,,90,0.813643,4. AI + DSP
17270,,90,0.956682,4. AI + DSP
17271,,95,0.912019,4. AI + DSP
17272,,105,0.988829,4. AI + DSP
17273,,110,0.976561,4. AI + DSP
17274,,110,0.989052,4. AI + DSP
17275,,90,0.951518,4. AI + DSP
17280,,90,0.969576,4. AI + DSP
17281,,95,0.878715,4. AI + DSP
17282,,105,0.971274,4. AI + DSP
17283,,110,0.944537,4. AI + DSP
17284,,110,0.902976,4. AI + DSP
17285,,90,0.866968,4. AI + DSP
17290,,90,0.791509,4. AI + DSP
17291,,95,0.457019,4. AI + DSP
17292,,105,0.968224,4. AI + DSP
17293,,110,0.953029,4. AI + DSP
17294,,110,0.824104,4. AI + DSP
17295,,90,0.868475,4. AI + DSP
17300,,90,0.901548,4. AI + DSP
17301,,95,0.872344,4. AI + DSP
17302,,105,0.978859,4. AI + DSP
17303,,110,1.007144,4. AI + DSP
17304,,110,0.997975,4. AI + DSP
17305,,90,0.886133,4. AI + DSP
17310,,90,0.729447,4. AI + DSP
17311,,95,0.842836,4. AI + DSP
17312,,105,0.748018,4. AI + DSP
17313,,110,0.695730,4. AI + DSP
17314,,110,0.737233,4. AI + DSP
17315,,90,0.910533,4. AI + DSP
17320,,90,0.970827,4. AI + DSP
17321,,95,1.051256,4. AI + DSP
17322,,105,1.052575,4. AI + DSP
17323,,110,0.943749,4. AI + DSP
17324,,110,0.984188,4. AI + DSP
17325,,90,0.922690,4. AI + DSP
17330,,90,0.735460,4. AI + DSP
17331,,95,0.827296,4. AI + DSP
17332,,105,0.789578,4. AI + DSP
17333,,110,0.737497,4. AI + DSP
17334,,110,0.830321,4. AI + DSP
17335,,90,0.729944,4. AI + DSP
17340,,90,1.022086,4. AI + DSP
17341,,95,0.917136,4. AI + DSP
17342,,105,1.019557,4. AI + DSP
17343,,110,1.005059,4. AI + DSP
17344,,110,0.912181,4. AI + DSP
17345,,90,0.954305,4. AI + DSP
17350,,90,1.147736,4. AI + DSP
17351,,95,1.148550,4. AI + DSP
17352,,105,1.006185,4. AI + DSP
17353,,110,0.869721,4. AI + DSP
17354,,110,1.106531,4. AI + DSP
