pair_idx,pitch_semi,tempo_bpm,mean_delta,broad_cat
4023,,105,0.959053,2. Original + DSP
4024,,110,0.811381,2. Original + DSP
4025,,110,0.945810,2. Original + DSP
4026,,90,0.909668,2. Original + DSP
4031,,90,0.863059,2. Original + DSP
4032,,95,0.834456,2. Original + DSP
4033,,105,0.803723,2. Original + DSP
4034,,110,0.740585,2. Original + DSP
4035,,110,0.806301,2. Original + DSP
4036,,90,0.739991,2. Original + DSP
4041,,90,0.786847,2. Original + DSP
4042,,95,0.798413,2. Original + DSP
4043,,105,0.755503,2. Original + DSP
4044,,110,0.937154,2. Original + DSP
4045,,110,0.788433,2. Original + DSP
4046,,90,0.691808,2. Original + DSP
4051,,90,0.948487,2. Original + DSP
4052,,95,0.111483,2. Original + DSP
4053,,105,0.126425,2. Original + DSP
4054,,110,0.139129,2. Original + DSP
4055,,110,0.161069,2. Original + DSP
4056,,90,0.164970,2. Original + DSP
4061,,90,0.477410,2. Original + DSP
4062,,95,0.595307,2. Original + DSP
4063,,105,0.673331,2. Original + DSP
4064,,110,0.644331,2. Original + DSP
4065,,110,0.663711,2. Original + DSP
4066,,90,0.778183,2. Original + DSP
4071,,90,0.847683,2. Original + DSP
4072,,95,0.847554,2. Original + DSP
4073,,105,0.849542,2. Original + DSP
4074,,110,0.587286,2. Original + DSP
4075,,110,0.877690,2. Original + DSP
4076,,90,0.858799,2. Original + DSP
4081,,90,0.801282,2. Original + DSP
4082,,95,0.360315,2. Original + DSP
4083,,105,0.979146,2. Original + DSP
4084,,110,0.862657,2. Original + DSP
4085,,110,0.896359,2. Original + DSP
4086,,90,0.992346,2. Original + DSP
4091,,90,0.610376,2. Original + DSP
4092,,95,0.591312,2. Original + DSP
4093,,105,0.763411,2. Original + DSP
4094,,110,0.599785,2. Original + DSP
4095,,110,0.596985,2. Original + DSP
4096,,90,0.722569,2. Original + DSP
4101,,90,0.194596,2. Original + DSP
4102,,95,0.972126,2. Original + DSP
4103,,105,0.233779,2. Original + DSP
4104,,110,0.310554,2. Original + DSP
4105,,110,1.030118,2. Original + DSP
4106,,90,0.680355,2. Original + DSP
4111,,90,0.721963,2. Original + DSP
4112,,95,0.690571,2. Original + DSP
4113,,105,0.783444,2. Original + DSP
4114,,110,0.712458,2. Original + DSP
4115,,110,0.975292,2. Original + DSP
4116,,90,0.421300,2. Original + DSP
4121,,90,0.637988,2. Original + DSP
4122,,95,0.463937,2. Original + DSP
4123,,105,0.643655,2. Original + DSP
4124,,110,0.525403,2. Original + DSP
4125,,110,0.870104,2. Original + DSP
4126,,90,0.824823,2. Original + DSP
4131,,90,0.913164,2. Original + DSP
4132,,95,0.865826,2. Original + DSP
4133,,105,0.842985,2. Original + DSP
