dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
685,-0.186189,1.317290,-0.051341,1.316032,0.186116,1.275800,-0.061641,1.304584,0.180160,1.282676,-0.125486,1.293928,0.008480,0.614536,0.040622,1.300102,0.174514,1.751779,0.102145,1.299886,0.236309,1.768658
686,-0.024090,1.139037,-0.105473,1.140763,-0.092318,1.328217,-0.146573,1.145282,-0.136486,1.319441,-0.105370,1.159186,-0.066803,0.544671,0.012785,1.207288,0.049520,1.576755,-0.000588,1.183428,0.035769,1.582146
687,-0.401125,1.527949,-0.516249,1.569939,-0.144260,1.392385,-0.327922,1.570934,0.040863,1.455881,-0.375459,1.549477,0.054277,0.751606,0.180279,1.431465,0.615395,2.010016,0.265741,1.443991,0.697312,2.049453
688,0.530260,1.462225,0.409485,1.515988,-0.088678,1.524078,0.256929,1.532866,-0.235922,1.535866,0.428477,1.505170,-0.133988,0.625726,0.169811,1.271663,-0.398422,1.833881,0.052007,1.276192,-0.513666,1.881962
689,-0.735753,1.616761,-0.797178,1.644742,-0.090374,1.325159,-0.601191,1.619563,0.102126,1.454029,-0.649779,1.623414,0.115683,0.659770,0.498008,1.590684,1.266427,2.168266,0.484138,1.523410,1.250078,2.157575
690,-0.435294,1.144277,-0.567902,1.089447,-0.235755,1.278828,-0.470694,1.087914,-0.142451,1.282780,-0.468350,1.193969,0.066692,0.574291,0.481390,1.187672,1.018419,1.573913,0.614768,1.247962,1.151089,1.643808
691,-0.623172,1.861723,-0.487046,1.672484,0.216080,1.564968,-0.544812,1.707261,0.159188,1.565530,-0.596338,1.779244,-0.049890,0.676292,-1.198674,1.663367,-0.649590,2.232979,-1.271200,1.612375,-0.724537,2.224185
692,0.065596,1.451476,-0.047690,1.484302,0.017234,1.349415,0.020334,1.427479,0.088884,1.430687,0.214816,1.367406,0.022170,0.612437,0.467541,1.398819,0.273538,1.884501,0.472270,1.362101,0.280675,1.889255
693,-0.666836,1.178690,-0.708075,1.195889,-0.099797,1.107606,-0.643769,1.205854,-0.031703,1.142341,-0.658298,1.229209,0.061550,0.597332,-0.245538,1.273860,0.473661,1.702650,-0.175527,1.247621,0.543185,1.703100
694,0.219427,1.386497,0.132326,1.193282,-0.086008,1.343417,0.212999,1.188321,-0.009335,1.319107,0.235670,1.321909,0.018698,0.642400,0.078510,1.412177,-0.139307,1.809897,-0.002528,1.391183,-0.219662,1.811123
695,-0.103179,1.146463,-0.243436,1.171767,-0.148886,1.322375,-0.161254,1.117611,-0.062617,1.323230,-0.066263,1.137109,0.041205,0.617182,0.117255,1.223334,0.224934,1.591691,0.204062,1.202964,0.312250,1.611058
696,-0.482881,1.272679,-0.404443,1.205650,0.085721,1.258197,-0.402680,1.219110,0.098947,1.285261,-0.471985,1.251237,-0.006217,0.586234,-0.989292,1.288319,-0.523091,1.715239,-1.048399,1.305019,-0.581538,1.764560
697,0.309981,1.269873,0.128657,1.320863,-0.194453,1.301909,0.120555,1.272481,-0.203838,1.296896,0.282033,1.283205,-0.012962,0.560839,0.217366,1.221727,-0.083301,1.637871,0.254216,1.192386,-0.042391,1.660228
698,0.723731,2.327151,0.752417,2.407212,-0.027278,2.240871,0.524561,2.407239,-0.255181,2.329252,0.510665,2.334697,-0.158040,0.913442,0.214019,1.920370,-0.455960,2.715641,0.246332,1.911842,-0.425422,2.739053
699,-0.058268,1.352896,-0.127714,1.318576,-0.137851,1.254297,-0.060734,1.297953,-0.066310,1.271012,-0.087377,1.352414,0.029985,0.678729,0.225889,1.337396,0.348190,1.809059,0.256799,1.345834,0.376360,1.859497
700,-0.304595,1.456272,-0.277773,1.371227,0.045029,1.453050,-0.342601,1.421077,-0.023942,1.501590,-0.325882,1.485598,-0.034907,0.681685,-0.140064,1.354752,0.152432,1.934836,-0.159843,1.366929,0.130748,1.957882
701,0.591338,1.741217,0.286430,1.748472,-0.416457,1.641012,0.340889,1.705370,-0.347747,1.659280,0.489060,1.692584,-0.007986,0.841976,-0.030674,1.504665,-0.531132,2.188798,0.084457,1.529360,-0.413133,2.237936
702,0.578525,1.128556,0.519333,1.213869,-0.054516,1.304082,0.436337,1.216758,-0.136078,1.327630,0.525462,1.157265,-0.058369,0.631391,-0.168707,1.131798,-0.754902,1.537963,-0.139085,1.135382,-0.723140,1.581100
703,-0.435221,1.295636,-0.523658,1.148404,-0.171785,1.326445,-0.377336,1.184066,-0.033809,1.356650,-0.433514,1.255785,0.085500,0.707081,0.151578,1.327735,0.673537,1.742358,0.169447,1.352854,0.691091,1.792564
704,-0.016038,1.440374,-0.263302,1.214661,-0.369323,1.480992,-0.273423,1.202774,-0.384080,1.518021,-0.109671,1.293396,0.027128,0.640029,0.082861,1.273049,0.215880,1.766813,0.040823,1.225189,0.175814,1.761881
705,-0.162905,1.065096,-0.137708,1.038890,0.001302,1.276612,-0.043691,1.039927,0.095893,1.276404,-0.122891,1.089853,0.059989,0.521360,0.166343,1.264551,0.353157,1.558414,0.170541,1.225708,0.356241,1.547163
706,0.048714,1.236986,0.073826,1.147480,0.063014,1.331064,0.069828,1.177026,0.053398,1.391052,0.081443,1.241245,0.000615,0.629944,-0.349141,1.229551,-0.429267,1.663809,-0.350499,1.244384,-0.430005,1.683978
707,-0.185118,1.235380,-0.097243,1.167658,0.070547,1.462541,-0.194547,1.212662,-0.018156,1.561194,-0.248218,1.225710,-0.053324,0.650054,-0.595579,1.268551,-0.401859,1.706651,-0.550422,1.271144,-0.356176,1.715696
708,-0.141408,1.424439,0.158279,1.536079,0.326441,1.351681,0.189962,1.424499,0.345774,1.302854,-0.084388,1.408000,0.039918,0.584601,0.109508,1.305216,0.238960,1.820184,0.231229,1.284532,0.358033,1.829344
709,-0.130449,1.150119,0.082850,1.262280,0.200663,1.202276,0.063598,1.276572,0.175964,1.254319,-0.105255,1.265361,0.040578,0.648301,-0.091138,1.276519,0.056354,1.673439,-0.088471,1.282869,0.058837,1.705771
710,-0.026391,1.565396,-0.302609,1.681399,-0.299887,1.463561,-0.326652,1.708501,-0.321315,1.521491,-0.075678,1.575743,-0.027454,0.702685,0.594013,1.787048,0.638737,2.288327,0.685755,1.810768,0.731932,2.326746
711,0.211836,1.057199,0.206513,1.110344,-0.040262,1.152314,0.236928,1.078617,-0.008298,1.171116,0.231255,1.095321,0.051741,0.597633,1.031103,1.174273,0.851528,1.588332,1.098988,1.188073,0.918653,1.592152
712,-0.087758,1.207063,0.086755,1.277522,0.304210,1.402030,0.088496,1.290238,0.306343,1.402284,0.048115,1.250537,0.012032,0.555076,0.345768,1.232196,0.311081,1.673821,0.353767,1.246217,0.318809,1.691007
713,0.218259,1.888661,0.248930,1.906102,0.014100,1.575958,0.389002,1.825537,0.150676,1.545237,0.278055,1.850152,0.081091,0.752744,0.125332,1.649917,-0.077369,2.383439,0.223096,1.566625,0.022644,2.367572
714,-0.332130,1.162780,-0.650391,1.110999,-0.428996,1.416963,-0.565555,1.065579,-0.345405,1.308469,-0.432333,1.127872,0.005669,0.573977,-0.212552,1.207001,0.224953,1.536928,-0.262607,1.148293,0.175293,1.535069
715,0.298652,0.986715,0.183347,1.041100,-0.169824,1.116150,0.141387,1.022970,-0.208393,1.072749,0.216561,0.985048,-0.032821,0.571698,0.295930,1.277359,0.045337,1.554423,0.350885,1.161119,0.100855,1.479391
716,1.057711,1.712757,1.063760,1.456378,-0.030636,1.584269,0.978523,1.413208,-0.119052,1.658691,0.910888,1.597217,-0.106872,0.677135,0.242005,1.584067,-0.779347,2.176092,0.143533,1.540684,-0.877826,2.162731
717,0.026885,1.474884,0.175774,1.372583,0.293402,1.283835,0.063457,1.388931,0.188069,1.317291,0.086833,1.482497,-0.081841,0.630317,-0.487377,1.435972,-0.658417,1.972731,-0.486357,1.437994,-0.655791,1.989737
718,0.436800,1.198865,0.260246,1.077806,-0.216240,1.201563,0.354358,1.153861,-0.116336,1.314946,0.444629,1.200831,0.042041,0.660403,0.069476,1.331047,-0.336959,1.673819,-0.013988,1.329771,-0.418410,1.713040
719,-0.289497,1.259318,-0.293771,1.359295,-0.085229,1.213436,-0.265543,1.368074,-0.061315,1.240000,-0.352413,1.285111,0.015922,0.555987,0.280044,1.192006,0.652568,1.654186,0.419941,1.225930,0.789769,1.696779
720,-0.266833,1.152892,-0.356878,1.136697,-0.091164,1.147982,-0.280969,1.119889,-0.011532,1.177921,-0.236210,1.166567,0.029973,0.587061,-0.228251,1.176466,0.035253,1.567859,-0.121186,1.188328,0.143201,1.610278
721,-0.059746,1.159409,-0.194254,1.139854,-0.130239,1.027313,-0.119312,1.114696,-0.048337,1.144897,-0.055882,1.122877,-0.003134,0.571063,0.241700,1.279352,0.290739,1.675029,0.251808,1.215433,0.300701,1.628009
722,-0.301843,1.241046,-0.209371,1.327182,0.077968,1.282183,-0.158619,1.301952,0.121170,1.332457,-0.295953,1.245841,0.024159,0.563026,-0.373874,1.272211,-0.049849,1.689446,-0.363600,1.252333,-0.041356,1.697904
723,0.578884,1.217905,0.396037,1.317051,-0.220045,1.458012,0.411642,1.360255,-0.209368,1.540725,0.546133,1.283511,0.007406,0.651324,-0.080186,1.251578,-0.620089,1.712312,-0.038495,1.246136,-0.578435,1.742426
724,0.337946,1.163645,0.206200,1.370523,-0.225844,1.326431,0.317705,1.392511,-0.115899,1.338998,0.289678,1.255403,0.042202,0.594953,0.679581,1.281209,0.431713,1.658377,0.715333,1.245869,0.467636,1.656745
725,0.192352,1.073039,0.152456,1.169187,-0.038862,1.251624,0.165625,1.193270,-0.020719,1.283932,0.201111,1.129907,0.004674,0.615524,-0.234577,1.198085,-0.432794,1.582000,-0.192123,1.201855,-0.389901,1.594954
726,0.105960,1.551454,-0.177890,1.503951,-0.349982,1.619563,-0.166933,1.438841,-0.332977,1.601243,0.049959,1.539050,0.004420,0.639312,0.093310,1.236601,0.042639,1.971013,0.097213,1.219818,0.047874,1.982237
727,0.318891,1.566404,0.222486,1.549348,-0.215646,1.570988,0.214788,1.549158,-0.224544,1.610142,0.186325,1.560747,-0.020425,0.701524,0.129913,1.599511,-0.073283,2.134257,0.134850,1.541595,-0.069841,2.116593
