category,rank,dimension,mean_delta,std_delta
pitchU4,8,834,2.439109,1.827451
pitchU4,9,629,2.435664,1.818214
pitchU4,10,70,2.426233,1.811922
pitchU4,11,551,2.411235,1.736039
pitchU4,12,145,2.406368,1.821328
pitchU4,13,941,2.328446,1.769221
pitchU4,14,355,2.325431,1.694553
pitchU4,15,238,2.309522,1.688960
pitchU4,16,47,2.302508,1.748902
pitchU4,17,290,2.290325,1.651463
pitchU4,18,698,2.256359,1.712965
pitchU4,19,995,2.255020,1.693828
pitchU4,20,375,2.253455,1.725526
pitchU4,21,1001,2.247550,1.667346
pitchU4,22,365,2.205418,1.631213
pitchU4,23,611,2.188752,1.636644
pitchU4,24,354,2.165991,1.475310
pitchU4,25,994,2.164659,1.656689
pitchU4,26,362,2.160866,1.537813
pitchU4,27,443,2.160727,1.618167
pitchU4,28,590,2.156121,1.672892
pitchU4,29,563,2.126178,1.576183
pitchU4,30,272,2.122472,1.562234
pitchU4_tempo110,1,640,2.776471,2.078502
pitchU4_tempo110,2,880,2.714084,2.075412
pitchU4_tempo110,3,963,2.703429,2.038440
pitchU4_tempo110,4,4,2.678613,2.077655
pitchU4_tempo110,5,629,2.459031,1.814802
pitchU4_tempo110,6,757,2.417865,1.926786
pitchU4_tempo110,7,427,2.404248,1.825046
pitchU4_tempo110,8,400,2.395574,1.836437
pitchU4_tempo110,9,70,2.390931,1.788317
pitchU4_tempo110,10,551,2.364494,1.711057
pitchU4_tempo110,11,834,2.359917,1.753944
pitchU4_tempo110,12,145,2.349187,1.792234
pitchU4_tempo110,13,355,2.336602,1.744745
pitchU4_tempo110,14,941,2.326818,1.738225
pitchU4_tempo110,15,47,2.308401,1.777932
pitchU4_tempo110,16,375,2.284544,1.721348
pitchU4_tempo110,17,698,2.274921,1.711613
pitchU4_tempo110,18,238,2.260066,1.649622
pitchU4_tempo110,19,365,2.251984,1.656791
pitchU4_tempo110,20,1001,2.241720,1.632008
pitchU4_tempo110,21,290,2.215141,1.613663
pitchU4_tempo110,22,995,2.211047,1.646594
pitchU4_tempo110,23,354,2.187425,1.494060
pitchU4_tempo110,24,563,2.186420,1.630980
pitchU4_tempo110,25,611,2.175103,1.641197
pitchU4_tempo110,26,994,2.162099,1.676549
pitchU4_tempo110,27,443,2.154570,1.607776
pitchU4_tempo110,28,345,2.143218,1.603252
pitchU4_tempo110,29,965,2.097888,1.560601
pitchU4_tempo110,30,1006,2.089288,1.627165
tempo090,1,834,2.730845,1.984013
tempo090,2,880,2.660427,2.035874
tempo090,3,963,2.657484,2.000112
tempo090,4,4,2.621287,1.985507
tempo090,5,400,2.513678,1.909278
tempo090,6,290,2.508970,1.776460
tempo090,7,427,2.467589,1.873540
tempo090,8,70,2.431764,1.836505
tempo090,9,629,2.424838,1.856039
tempo090,10,551,2.376263,1.728667
tempo090,11,612,2.374493,1.800295
tempo090,12,941,2.361668,1.754680
tempo090,13,757,2.350701,1.894947
tempo090,14,355,2.347523,1.738195
tempo090,15,145,2.342540,1.806413
tempo090,16,995,2.256890,1.680735
tempo090,17,1001,2.249282,1.689106
tempo090,18,47,2.248392,1.670506
tempo090,19,631,2.243860,1.571421
tempo090,20,1006,2.243601,1.772025
tempo090,21,238,2.238518,1.693196
tempo090,22,994,2.224586,1.695704
tempo090,23,710,2.219141,1.566437
tempo090,24,443,2.205053,1.667272
tempo090,25,698,2.204150,1.724443
tempo090,26,853,2.204051,1.494721
tempo090,27,640,2.193852,1.683116
tempo090,28,639,2.191827,1.632504
tempo090,29,563,2.167835,1.637960
