dimension,dsp_type,r2_linear
289,tempo,0.000038
290,tempo,0.000063
291,tempo,0.000004
292,tempo,0.000049
293,tempo,0.000043
294,tempo,0.000225
295,tempo,0.000001
296,tempo,0.000243
297,tempo,0.000000
298,tempo,0.000049
299,tempo,0.000033
300,tempo,0.000122
301,tempo,0.000072
302,tempo,0.000001
303,tempo,0.000082
304,tempo,0.000300
305,tempo,0.000003
306,tempo,0.002049
307,tempo,0.000248
308,tempo,0.000005
309,tempo,0.000015
310,tempo,0.000466
311,tempo,0.000286
312,tempo,0.000068
313,tempo,0.000046
314,tempo,0.000005
315,tempo,0.000000
316,tempo,0.001386
317,tempo,0.000025
318,tempo,0.000054
319,tempo,0.000034
320,tempo,0.000175
321,tempo,0.000838
322,tempo,0.000648
323,tempo,0.000019
324,tempo,0.000000
325,tempo,0.000069
326,tempo,0.000914
327,tempo,0.000263
328,tempo,0.000170
329,tempo,0.000035
330,tempo,0.000354
331,tempo,0.000072
332,tempo,0.000006
333,tempo,0.000007
334,tempo,0.000006
335,tempo,0.000001
336,tempo,0.000039
337,tempo,0.000607
338,tempo,0.000042
339,tempo,0.000001
340,tempo,0.000007
341,tempo,0.000074
342,tempo,0.000043
343,tempo,0.000122
344,tempo,0.000000
345,tempo,0.000095
346,tempo,0.000984
347,tempo,0.000006
348,tempo,0.000201
349,tempo,0.000101
350,tempo,0.000007
351,tempo,0.000061
352,tempo,0.000116
353,tempo,0.000312
354,tempo,0.000078
355,tempo,0.000047
356,tempo,0.000101
357,tempo,0.000039
358,tempo,0.000061
359,tempo,0.000003
360,tempo,0.000015
361,tempo,0.000759
362,tempo,0.000566
363,tempo,0.000023
364,tempo,0.000247
365,tempo,0.000511
366,tempo,0.000057
367,tempo,0.000244
368,tempo,0.000024
369,tempo,0.000362
370,tempo,0.000295
371,tempo,0.000061
372,tempo,0.000014
373,tempo,0.000178
374,tempo,0.000065
375,tempo,0.000004
376,tempo,0.000047
377,tempo,0.000139
378,tempo,0.000190
379,tempo,0.000060
380,tempo,0.000066
381,tempo,0.000002
382,tempo,0.000021
383,tempo,0.000023
384,tempo,0.000061
385,tempo,0.000085
386,tempo,0.000194
387,tempo,0.000137
388,tempo,0.000000
389,tempo,0.000000
390,tempo,0.000000
391,tempo,0.000238
392,tempo,0.000458
393,tempo,0.000036
394,tempo,0.000021
395,tempo,0.000003
396,tempo,0.000280
397,tempo,0.000180
398,tempo,0.000016
399,tempo,0.001067
400,tempo,0.000017
401,tempo,0.000124
402,tempo,0.000077
403,tempo,0.000412
404,tempo,0.000649
405,tempo,0.000001
406,tempo,0.000436
407,tempo,0.000039
408,tempo,0.000022
409,tempo,0.000204
410,tempo,0.000002
411,tempo,0.000005
412,tempo,0.000044
413,tempo,0.000253
414,tempo,0.000086
415,tempo,0.000041
416,tempo,0.000000
417,tempo,0.000016
418,tempo,0.000007
419,tempo,0.000105
420,tempo,0.000004
421,tempo,0.000009
422,tempo,0.000184
423,tempo,0.000079
424,tempo,0.000170
425,tempo,0.000609
426,tempo,0.000010
427,tempo,0.000241
428,tempo,0.000009
429,tempo,0.000066
430,tempo,0.000125
431,tempo,0.000000
432,tempo,0.000058
433,tempo,0.000024
434,tempo,0.000023
435,tempo,0.000004
436,tempo,0.000267
437,tempo,0.000004
438,tempo,0.000010
439,tempo,0.000162
440,tempo,0.000612
441,tempo,0.000071
442,tempo,0.000007
443,tempo,0.000050
444,tempo,0.000155
445,tempo,0.000133
446,tempo,0.000000
447,tempo,0.000008
448,tempo,0.000100
449,tempo,0.000042
450,tempo,0.000029
451,tempo,0.000008
452,tempo,0.000003
453,tempo,0.000060
454,tempo,0.000097
455,tempo,0.000270
456,tempo,0.000013
457,tempo,0.000434
458,tempo,0.000000
459,tempo,0.000158
460,tempo,0.000054
461,tempo,0.000068
462,tempo,0.000361
463,tempo,0.000165
464,tempo,0.000075
465,tempo,0.000257
466,tempo,0.000032
467,tempo,0.000062
468,tempo,0.000016
469,tempo,0.000146
470,tempo,0.000000
471,tempo,0.000045
472,tempo,0.000067
473,tempo,0.000328
474,tempo,0.000003
475,tempo,0.000201
476,tempo,0.000151
477,tempo,0.000017
478,tempo,0.000088
479,tempo,0.000085
480,tempo,0.000078
481,tempo,0.000002
482,tempo,0.000021
483,tempo,0.000688
484,tempo,0.000003
485,tempo,0.000082
486,tempo,0.000046
487,tempo,0.001025
488,tempo,0.000252
489,tempo,0.000056
