category,rank,dimension,mean_delta,std_delta
pitchU2,18,994,1.556273,1.199389
pitchU2,19,501,1.555048,1.148803
pitchU2,20,355,1.548570,1.232566
pitchU2,21,612,1.542431,1.259506
pitchU2,22,145,1.517056,1.222206
pitchU2,23,941,1.513902,1.207842
pitchU2,24,563,1.512842,1.274495
pitchU2,25,47,1.501372,1.204765
pitchU2,26,223,1.497654,1.158714
pitchU2,27,305,1.490841,1.154080
pitchU2,28,632,1.475565,1.236254
pitchU2,29,419,1.472497,1.183641
pitchU2,30,1006,1.464991,1.220462
pitchU4,1,4,1.910505,1.544715
pitchU4,2,70,1.874455,1.489561
pitchU4,3,629,1.838900,1.506167
pitchU4,4,400,1.812824,1.517503
pitchU4,5,880,1.809455,1.488017
pitchU4,6,290,1.806805,1.344705
pitchU4,7,551,1.778199,1.430663
pitchU4,8,963,1.770614,1.407486
pitchU4,9,757,1.767422,1.388476
pitchU4,10,611,1.723679,1.363333
pitchU4,11,698,1.712535,1.411507
pitchU4,12,640,1.696451,1.347642
pitchU4,13,995,1.589417,1.332368
pitchU4,14,427,1.575418,1.267199
pitchU4,15,1001,1.574808,1.260781
pitchU4,16,501,1.559656,1.207716
pitchU4,17,834,1.556513,1.323648
pitchU4,18,355,1.548786,1.227958
pitchU4,19,443,1.541950,1.193730
pitchU4,20,994,1.541244,1.213767
pitchU4,21,57,1.521505,1.186451
pitchU4,22,563,1.521133,1.266811
pitchU4,23,47,1.519283,1.231484
pitchU4,24,145,1.519131,1.251750
pitchU4,25,305,1.509685,1.215068
pitchU4,26,632,1.506363,1.215195
pitchU4,27,612,1.500558,1.244966
pitchU4,28,639,1.491255,1.205449
pitchU4,29,223,1.485412,1.124803
pitchU4,30,1016,1.485080,1.183021
pitchU4_tempo110,1,4,2.098557,1.666810
pitchU4_tempo110,2,629,2.024812,1.549595
pitchU4_tempo110,3,400,2.015545,1.637332
pitchU4_tempo110,4,70,1.937908,1.548463
pitchU4_tempo110,5,290,1.927467,1.440051
pitchU4_tempo110,6,757,1.898931,1.462933
pitchU4_tempo110,7,963,1.894327,1.486811
pitchU4_tempo110,8,880,1.889746,1.523217
pitchU4_tempo110,9,698,1.848069,1.534685
pitchU4_tempo110,10,640,1.839242,1.469921
pitchU4_tempo110,11,551,1.810444,1.496071
pitchU4_tempo110,12,611,1.810341,1.398528
pitchU4_tempo110,13,995,1.712269,1.379406
pitchU4_tempo110,14,501,1.692140,1.282205
pitchU4_tempo110,15,427,1.691566,1.399581
pitchU4_tempo110,16,994,1.672599,1.296539
pitchU4_tempo110,17,563,1.655110,1.324152
pitchU4_tempo110,18,1001,1.648720,1.318681
pitchU4_tempo110,19,57,1.640278,1.272027
pitchU4_tempo110,20,834,1.631707,1.338571
pitchU4_tempo110,21,941,1.624700,1.284855
pitchU4_tempo110,22,612,1.600222,1.251571
pitchU4_tempo110,23,355,1.594853,1.242374
pitchU4_tempo110,24,223,1.592791,1.187760
pitchU4_tempo110,25,443,1.589682,1.228661
pitchU4_tempo110,26,145,1.585847,1.283909
pitchU4_tempo110,27,140,1.577500,1.202917
pitchU4_tempo110,28,632,1.573042,1.262531
pitchU4_tempo110,29,47,1.568232,1.274239
pitchU4_tempo110,30,652,1.565019,1.222840
tempo090,1,632,2.840015,3.052540
tempo090,2,631,2.803900,2.396943
tempo090,3,629,2.786478,1.398673
tempo090,4,553,2.648546,2.315445
tempo090,5,387,2.499365,2.017751
tempo090,6,994,2.495447,2.302359
tempo090,7,552,2.356013,1.771136
tempo090,8,345,2.326599,1.274548
tempo090,9,516,2.323315,1.755161
tempo090,10,945,2.239473,1.376921
tempo090,11,999,2.225376,1.973927
tempo090,12,238,2.201581,1.981003
tempo090,13,791,2.185288,1.236147
tempo090,14,615,2.152802,1.475385
tempo090,15,551,2.121680,1.445711
tempo090,16,764,2.120742,1.745628
tempo090,17,556,2.118007,1.738486
tempo090,18,45,2.099659,2.253184
tempo090,19,362,2.099153,1.984952
tempo090,20,991,2.083006,0.866242
tempo090,21,139,2.070527,1.151617
tempo090,22,248,2.027990,1.748566
tempo090,23,611,2.018093,1.066846
tempo090,24,794,2.016708,1.477368
tempo090,25,673,1.993552,0.961667
tempo090,26,880,1.987851,2.047356
tempo090,27,284,1.965295,1.372286
tempo090,28,621,1.964278,1.300737
tempo090,29,438,1.960165,1.915494
tempo090,30,847,1.957435,1.410324
tempo095,1,629,1.992080,1.592628
tempo095,2,4,1.892682,1.559451
tempo095,3,611,1.847281,1.456266
tempo095,4,880,1.828016,1.610684
tempo095,5,290,1.793840,1.402089
tempo095,6,757,1.764476,1.406306
tempo095,7,698,1.707680,1.264870
tempo095,8,400,1.699057,1.423639
tempo095,9,70,1.674821,1.416564
tempo095,10,963,1.667062,1.341912
tempo095,11,995,1.632176,1.310358
tempo095,12,551,1.626328,1.322140
tempo095,13,994,1.608168,1.285910
tempo095,14,305,1.581365,1.306703
tempo095,15,66,1.570296,1.262736
tempo095,16,563,1.568366,1.453389
tempo095,17,427,1.559844,1.315915
tempo095,18,140,1.557354,1.244955
tempo095,19,501,1.538200,1.202792
tempo095,20,652,1.524199,1.248767
tempo095,21,553,1.522965,1.264201
tempo095,22,277,1.520495,1.071217
tempo095,23,223,1.511635,1.121432
tempo095,24,941,1.508733,1.087401
tempo095,25,57,1.506443,1.097164
tempo095,26,834,1.505839,1.314799
tempo095,27,640,1.492737,1.168146
tempo095,28,104,1.492041,1.057947
tempo095,29,916,1.470523,1.226345
tempo095,30,1016,1.470366,1.160959
tempo105,1,629,2.019680,1.639273
tempo105,2,4,1.870153,1.485725
tempo105,3,880,1.850827,1.575119
tempo105,4,290,1.829169,1.378945
tempo105,5,757,1.820966,1.451651
tempo105,6,400,1.787110,1.521429
tempo105,7,611,1.774138,1.446957
tempo105,8,70,1.749375,1.442389
tempo105,9,963,1.747246,1.433402
tempo105,10,551,1.724230,1.428419
tempo105,11,698,1.629868,1.312893
tempo105,12,995,1.619373,1.329408
tempo105,13,1001,1.613684,1.217948
tempo105,14,501,1.605017,1.280654
tempo105,15,941,1.572899,1.230550
tempo105,16,57,1.563971,1.234100
tempo105,17,427,1.562273,1.319757
tempo105,18,640,1.536516,1.127395
tempo105,19,834,1.532057,1.314026
tempo105,20,305,1.516390,1.224906
tempo105,21,563,1.508162,1.309100
tempo105,22,632,1.495794,1.258818
tempo105,23,994,1.492986,1.209582
tempo105,24,612,1.489643,1.271825
tempo105,25,419,1.481046,1.225818
tempo105,26,145,1.480961,1.274270
tempo105,27,355,1.476859,1.248092
tempo105,28,530,1.469756,1.169222
tempo105,29,277,1.468862,1.076145
tempo105,30,951,1.461737,1.181533
tempo110,1,629,2.082048,2.016413
tempo110,2,4,1.934581,1.752676
tempo110,3,880,1.856724,1.669535
tempo110,4,400,1.853806,1.778444
tempo110,5,757,1.847985,1.493142
tempo110,6,290,1.831713,1.406881
tempo110,7,611,1.799693,1.477081
tempo110,8,551,1.777104,1.437419
tempo110,9,963,1.757808,1.551151
tempo110,10,70,1.739442,1.453877
tempo110,11,698,1.711578,1.551743
tempo110,12,501,1.668903,1.556581
tempo110,13,640,1.623759,1.175390
