dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
215,0.816239,0.644629,0.672126,5.363093,0.104905,0.795579,0.875253,0.866831,0.592230,0.800864,0.842717,170
365,0.816838,0.664009,0.653260,5.143064,0.084037,0.809211,0.877223,0.835228,0.645569,0.823934,0.864100,171
86,0.816980,0.651628,0.668281,4.822649,0.099133,0.801170,0.897804,0.876498,0.616927,0.800111,0.814510,172
338,0.818077,0.649416,0.672340,4.696089,0.097235,0.800798,0.821010,0.863446,0.608782,0.862876,0.847876,173
252,0.818107,0.646699,0.676495,5.044498,0.095833,0.797786,0.885783,0.887999,0.624607,0.791116,0.799423,174
439,0.818598,0.658843,0.669284,5.313717,0.089252,0.797866,0.860065,0.863572,0.625415,0.798780,0.841496,175
412,0.818827,0.659390,0.662636,5.046661,0.086231,0.795488,0.862838,0.878403,0.636479,0.784933,0.814787,176
95,0.818839,0.648761,0.670152,5.290549,0.084942,0.810142,0.856351,0.825552,0.645664,0.835498,0.887645,177
55,0.819202,0.638004,0.681038,4.974253,0.095410,0.798292,0.835706,0.856081,0.609415,0.826234,0.864024,178
479,0.819349,0.657387,0.666483,5.204183,0.108396,0.796438,0.892889,0.895672,0.597637,0.792000,0.803989,179
127,0.819497,0.651744,0.666413,4.802640,0.097287,0.806014,0.886149,0.867623,0.616565,0.823632,0.836101,180
278,0.820242,0.657546,0.668137,4.945767,0.093003,0.808196,0.849129,0.849887,0.622562,0.853840,0.865561,181
142,0.820646,0.640217,0.680630,4.702812,0.099951,0.802536,0.886143,0.878215,0.611336,0.809369,0.827619,182
480,0.821366,0.655570,0.671763,4.956608,0.086547,0.802684,0.821059,0.830679,0.639034,0.824772,0.897875,183
212,0.821658,0.672014,0.658836,5.318625,0.078297,0.802166,0.827308,0.858725,0.647579,0.827040,0.850179,184
297,0.821705,0.653990,0.672152,5.126757,0.094570,0.806554,0.805975,0.845229,0.625086,0.875700,0.880783,185
310,0.822518,0.670091,0.663222,5.660868,0.080057,0.811547,0.890730,0.863979,0.660923,0.812155,0.829951,186
429,0.822704,0.640845,0.683082,4.512215,0.104009,0.801391,0.856079,0.866558,0.595407,0.825572,0.863340,187
437,0.822773,0.637105,0.682937,5.108969,0.107099,0.799203,0.904832,0.913726,0.619672,0.782202,0.775584,188
335,0.822968,0.669654,0.659699,4.755411,0.074727,0.805577,0.844680,0.875810,0.661323,0.827521,0.818552,189
263,0.823026,0.672548,0.658072,5.139617,0.087947,0.798595,0.822231,0.878828,0.627166,0.830405,0.834345,190
461,0.823073,0.652890,0.673968,4.808838,0.076615,0.812096,0.878468,0.857665,0.663878,0.819250,0.841216,191
229,0.823840,0.658969,0.673375,4.632719,0.095115,0.805542,0.872745,0.872260,0.619570,0.818798,0.844340,192
40,0.824136,0.643807,0.684280,4.483902,0.112087,0.811597,0.822506,0.824102,0.602000,0.879395,0.929980,193
327,0.824289,0.663137,0.667411,5.243392,0.103763,0.815227,0.854986,0.841792,0.610768,0.874203,0.894384,194
453,0.824758,0.687419,0.655863,5.088126,0.088018,0.810908,0.897007,0.879892,0.648092,0.811228,0.818323,195
38,0.825301,0.640999,0.684664,5.091473,0.096133,0.813385,0.871867,0.845694,0.624140,0.839336,0.885887,196
420,0.826282,0.636633,0.690960,5.023371,0.102016,0.805827,0.850785,0.872787,0.602852,0.841706,0.861007,197
326,0.826903,0.685577,0.657314,5.186728,0.081512,0.808918,0.840277,0.869278,0.647310,0.839680,0.848043,198
356,0.827177,0.661325,0.679773,6.264814,0.088220,0.811801,0.869552,0.878254,0.638698,0.837343,0.835159,199
222,0.827392,0.654094,0.681275,4.612153,0.100377,0.795708,0.878194,0.905808,0.621435,0.765186,0.807916,200
329,0.827402,0.634043,0.691934,4.674397,0.102505,0.810239,0.896590,0.879786,0.612693,0.817804,0.844321,201
267,0.827557,0.647263,0.683032,5.307899,0.102284,0.802913,0.892953,0.898631,0.616787,0.788992,0.817202,202
325,0.827691,0.643470,0.688742,5.157432,0.095614,0.807339,0.874764,0.880623,0.621760,0.816596,0.842952,203
240,0.828317,0.684224,0.662134,4.925630,0.088765,0.816558,0.867370,0.858740,0.639532,0.849457,0.867690,204
115,0.828710,0.634050,0.696201,4.405088,0.123582,0.809868,0.923901,0.901245,0.576305,0.818406,0.829483,205
145,0.828872,0.659193,0.675029,5.044745,0.093243,0.806143,0.867711,0.887698,0.626830,0.813720,0.834757,206
443,0.828943,0.660974,0.679721,4.918995,0.092746,0.817749,0.848395,0.847358,0.634960,0.867308,0.890723,207
449,0.828978,0.632775,0.699064,4.615356,0.105961,0.814533,0.924435,0.882622,0.617617,0.808688,0.839303,208
315,0.829017,0.643781,0.685206,4.658099,0.096810,0.811322,0.883605,0.880844,0.622831,0.825083,0.844249,209
369,0.829111,0.660741,0.673809,5.061934,0.109819,0.816282,0.918839,0.899807,0.610478,0.837473,0.814813,210
100,0.829306,0.629183,0.699481,4.377904,0.121559,0.816018,0.958753,0.879917,0.597661,0.792909,0.850848,211
195,0.830443,0.690728,0.662648,5.838908,0.089497,0.811401,0.832536,0.868666,0.634274,0.854652,0.866878,212
494,0.830490,0.664139,0.676174,5.081821,0.099675,0.813826,0.890194,0.868685,0.619533,0.821959,0.868759,213
146,0.830875,0.640156,0.694693,4.635305,0.094041,0.802274,0.860799,0.901707,0.627593,0.799387,0.821885,214
61,0.831406,0.663578,0.678030,4.813515,0.082167,0.805606,0.820599,0.882945,0.646741,0.831809,0.845934,215
306,0.831518,0.666893,0.674296,4.625063,0.091538,0.815955,0.817608,0.853754,0.639777,0.878033,0.890600,216
504,0.831668,0.651130,0.686730,4.920954,0.077487,0.827545,0.878269,0.853593,0.673360,0.866079,0.866426,217
381,0.831724,0.647725,0.687397,5.032896,0.113994,0.809121,0.911342,0.900367,0.595752,0.803668,0.834475,218
253,0.832888,0.653772,0.688537,5.337401,0.100403,0.816614,0.921224,0.897832,0.635567,0.808123,0.820325,219
4,0.832975,0.662184,0.678285,4.820104,0.080404,0.825056,0.900496,0.863678,0.669959,0.834526,0.856619,220
