dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
441,0.883979,0.673760,0.744028,4.653224,0.122692,0.859346,0.956344,0.959238,0.624869,0.868292,0.887985,342
272,0.884916,0.721829,0.709147,5.520453,0.120071,0.869945,0.942912,0.923503,0.630918,0.911528,0.940866,343
455,0.885855,0.691024,0.731292,4.592407,0.130734,0.855133,0.980932,0.980622,0.624699,0.827878,0.861533,344
133,0.886092,0.698945,0.736457,5.255621,0.112017,0.860810,0.940048,0.947384,0.644300,0.866113,0.906207,345
129,0.886207,0.681491,0.745187,4.642570,0.108271,0.850336,0.916932,0.971882,0.653200,0.838990,0.870674,346
407,0.886231,0.688348,0.737410,4.716965,0.115265,0.863670,0.973077,0.966726,0.654455,0.856414,0.867677,347
345,0.886735,0.737219,0.706193,6.118417,0.118286,0.854549,0.959422,0.983227,0.650258,0.828992,0.850849,348
244,0.888125,0.706088,0.727202,5.051785,0.127809,0.863073,0.903969,0.906059,0.617453,0.895221,0.992661,349
1,0.888712,0.699617,0.726042,5.035639,0.100807,0.880568,0.909826,0.901616,0.683946,0.945143,0.962306,350
493,0.889816,0.715088,0.725836,5.535398,0.143250,0.863451,1.018603,0.994412,0.617532,0.836438,0.850269,351
462,0.889931,0.703374,0.732314,4.832593,0.102226,0.870631,0.930040,0.927529,0.668721,0.890497,0.936368,352
223,0.890101,0.689781,0.737578,4.623606,0.148993,0.863644,1.031535,0.992031,0.608673,0.827800,0.858183,353
422,0.890702,0.689164,0.740523,4.785074,0.123606,0.865378,0.981286,0.967812,0.637876,0.851712,0.888207,354
350,0.892587,0.708380,0.736473,5.389027,0.105100,0.867014,0.871253,0.922365,0.664797,0.915029,0.961624,355
444,0.893345,0.689392,0.746478,5.214450,0.124989,0.879013,0.949223,0.947845,0.629489,0.940544,0.927962,356
27,0.893577,0.701383,0.735756,4.521174,0.154874,0.864933,1.034859,1.004833,0.599898,0.831668,0.853404,357
284,0.894107,0.700714,0.740251,5.440926,0.127241,0.876433,0.994650,0.967295,0.635223,0.889229,0.895765,358
204,0.894282,0.690797,0.749806,5.064190,0.105223,0.877786,0.915667,0.941043,0.668049,0.936317,0.927856,359
477,0.894491,0.706196,0.732016,4.799838,0.115001,0.871422,0.975188,0.963256,0.656577,0.863991,0.898101,360
275,0.895304,0.721367,0.722733,4.938819,0.099078,0.878814,0.930211,0.935331,0.681238,0.913881,0.933410,361
11,0.895468,0.715784,0.727058,5.942138,0.106927,0.887390,0.948064,0.929775,0.673893,0.944868,0.940348,362
417,0.896651,0.724471,0.722075,5.959596,0.124901,0.891453,0.910874,0.890207,0.658826,0.982676,1.014681,363
300,0.896994,0.717938,0.735911,5.593313,0.108272,0.876746,0.975933,0.962027,0.674206,0.873178,0.898386,364
346,0.898026,0.719038,0.727566,4.935302,0.113943,0.873718,0.900033,0.920768,0.653391,0.910690,0.983707,365
126,0.898366,0.723101,0.725197,5.070619,0.113905,0.872226,0.921954,0.946562,0.647087,0.899553,0.945972,366
20,0.899794,0.717680,0.734258,5.586905,0.117042,0.872175,0.976529,0.991057,0.664051,0.860058,0.869178,367
396,0.900483,0.700935,0.746988,4.421753,0.134097,0.871747,0.963502,0.989991,0.614117,0.894488,0.896639,368
316,0.901025,0.710364,0.740311,4.973619,0.115263,0.865982,0.939779,0.997842,0.657275,0.863520,0.871493,369
421,0.901044,0.710138,0.733426,4.895637,0.129930,0.871004,0.996840,1.008851,0.650461,0.848133,0.850736,370
364,0.904625,0.713374,0.748573,6.583286,0.098422,0.880108,0.955053,0.974881,0.696779,0.878723,0.895102,371
425,0.906487,0.731657,0.731123,5.157337,0.089934,0.895014,0.930240,0.930348,0.716271,0.940446,0.957767,372
487,0.907157,0.711656,0.747984,4.882580,0.086514,0.891199,0.877219,0.914991,0.732942,0.948119,0.982724,373
121,0.908078,0.703123,0.762435,5.072002,0.121790,0.887007,0.925150,0.930892,0.649198,0.932529,0.997268,374
221,0.908174,0.742798,0.726220,5.573643,0.127492,0.889482,0.915519,0.913417,0.647778,0.945238,1.025459,375
299,0.909035,0.726958,0.746467,6.317135,0.124028,0.882255,0.906996,0.922248,0.647878,0.915208,1.018945,376
18,0.909060,0.737637,0.728450,5.501995,0.109110,0.886373,0.936719,0.947206,0.670817,0.912307,0.964815,377
153,0.910506,0.718713,0.749338,5.590015,0.117545,0.893262,0.933361,0.931192,0.662909,0.943215,0.995634,378
379,0.911095,0.710732,0.754291,5.184332,0.131406,0.883631,1.006396,1.004086,0.645742,0.872258,0.889672,379
360,0.911462,0.725999,0.741844,5.574271,0.139966,0.897161,0.876171,0.885523,0.658533,0.990107,1.075472,380
120,0.912213,0.731000,0.739019,4.894830,0.122482,0.903718,0.919737,0.901542,0.678326,0.981479,1.037506,381
14,0.912604,0.704159,0.759697,4.965980,0.151498,0.871638,1.000769,1.015665,0.597472,0.839186,0.905097,382
47,0.912620,0.712957,0.752146,5.468629,0.123622,0.893368,0.994977,0.980416,0.654277,0.912506,0.924664,383
108,0.912868,0.709786,0.758289,4.635458,0.105494,0.895897,0.964683,0.948271,0.687770,0.916233,0.962530,384
505,0.913452,0.732974,0.742455,6.286608,0.119699,0.892647,0.940325,0.944069,0.656394,0.933829,0.988616,385
317,0.914024,0.735289,0.742699,5.978241,0.111080,0.898095,0.951313,0.928132,0.682443,0.927628,1.000962,386
58,0.914523,0.725950,0.747425,5.629598,0.135327,0.912099,0.962342,0.919970,0.650884,1.005854,1.021447,387
400,0.915578,0.706854,0.767994,5.052909,0.133706,0.891415,0.968396,0.984926,0.626444,0.934004,0.943304,388
79,0.916040,0.710291,0.763421,5.232876,0.139323,0.897973,1.065020,0.996498,0.656027,0.868465,0.903855,389
236,0.916060,0.717940,0.757061,5.918884,0.123356,0.894829,0.922231,0.950555,0.651903,0.959783,0.989672,390
201,0.916514,0.762364,0.721858,5.307627,0.092039,0.908942,0.942975,0.950481,0.726227,0.975695,0.949333,391
37,0.917989,0.706445,0.766231,5.403193,0.119358,0.891200,0.974527,0.995225,0.662106,0.904609,0.919531,392
307,0.918396,0.709113,0.766373,4.758898,0.128075,0.889959,1.005491,1.011610,0.658176,0.879163,0.895354,393
388,0.919777,0.701460,0.770017,4.530445,0.152601,0.897662,1.057569,0.998967,0.616175,0.883697,0.931901,394
60,0.920517,0.705770,0.776062,6.288383,0.135107,0.889016,1.018206,1.012430,0.647686,0.860523,0.906236,395
383,0.921080,0.705999,0.773706,4.809840,0.114990,0.894622,0.980381,0.998636,0.676855,0.900672,0.916563,396
414,0.921560,0.723851,0.753855,5.027739,0.147211,0.896509,1.068888,1.019837,0.648184,0.854888,0.890749,397
320,0.922459,0.703366,0.779648,4.778787,0.129750,0.893837,1.000953,1.009575,0.651208,0.892724,0.914728,398
210,0.923405,0.719204,0.764718,5.006321,0.163529,0.915269,0.995239,0.938855,0.595231,1.002285,1.044736,399
372,0.925247,0.732945,0.753914,4.986663,0.120905,0.916001,1.029116,0.988111,0.683947,0.948088,0.930742,400
26,0.925257,0.730572,0.754923,5.610535,0.170212,0.897006,1.090379,1.046858,0.608178,0.862382,0.877232,401
138,0.925286,0.747110,0.748657,6.327670,0.114367,0.901791,0.980605,0.985237,0.678573,0.915840,0.948699,402
498,0.925645,0.733659,0.761146,5.489905,0.132697,0.901191,1.021518,1.007305,0.652638,0.900413,0.924080,403
245,0.925879,0.737528,0.752214,4.679271,0.115742,0.908718,0.920288,0.912658,0.701346,0.952581,1.056718,404
190,0.926330,0.728729,0.764202,5.675044,0.114877,0.903907,0.968396,0.976529,0.676273,0.931325,0.967012,405
323,0.927184,0.730423,0.769825,5.099497,0.157861,0.896727,1.067647,1.027840,0.620299,0.856952,0.910897,406
112,0.928372,0.736446,0.763066,6.204584,0.125306,0.925470,0.994324,0.944889,0.678906,0.998789,1.010445,407
496,0.930773,0.748731,0.751246,5.565083,0.112369,0.906312,0.967228,1.002380,0.686704,0.939263,0.935983,408
241,0.931963,0.717764,0.777766,4.631618,0.138463,0.921977,1.038858,0.964487,0.651969,0.951125,1.003446,409
53,0.932279,0.729524,0.766079,5.011936,0.180299,0.900681,1.117232,1.062807,0.609061,0.840918,0.873386,410
473,0.933017,0.751577,0.755655,5.748930,0.126978,0.918299,1.044829,0.989143,0.677495,0.921854,0.958171,411
313,0.934270,0.740850,0.762623,5.456141,0.146838,0.903418,1.062116,1.035133,0.651628,0.860344,0.907868,412
2,0.934330,0.726502,0.779097,4.957371,0.104837,0.918928,0.991727,0.974274,0.711676,0.942536,0.974427,413
35,0.934446,0.758956,0.750828,5.363162,0.104447,0.915369,0.983001,0.978757,0.709301,0.934543,0.971242,414
349,0.935186,0.729196,0.773906,5.195681,0.135692,0.907621,0.925101,0.979687,0.641878,0.981206,1.010233,415
164,0.937047,0.739495,0.761380,4.776992,0.147564,0.897153,1.030786,1.052448,0.641043,0.861124,0.900365,416
264,0.937523,0.729536,0.778279,6.015066,0.131783,0.931101,0.955875,0.922702,0.688666,1.013942,1.074321,417
402,0.938140,0.726966,0.777502,5.168060,0.143859,0.905520,1.020556,1.027533,0.633669,0.902323,0.943519,418
334,0.938291,0.733292,0.778855,5.403918,0.125310,0.911295,1.004772,1.018084,0.671645,0.921942,0.940031,419
51,0.938613,0.726411,0.778761,5.202648,0.134936,0.905434,1.007498,1.045613,0.658544,0.909429,0.906087,420
340,0.939247,0.732732,0.784288,4.947099,0.125934,0.919523,1.024817,1.012985,0.677586,0.938946,0.943281,421
186,0.941101,0.729182,0.788541,5.467402,0.110221,0.907997,0.942034,0.983491,0.695441,0.918289,1.000729,422
475,0.941236,0.738614,0.777282,4.924123,0.139737,0.920970,1.010166,1.003528,0.643225,0.966865,0.981068,423
143,0.942129,0.718994,0.796790,5.030793,0.128642,0.928247,1.074090,1.010573,0.694958,0.919431,0.942184,424
478,0.943062,0.750779,0.769227,5.768479,0.146657,0.912802,1.055151,1.033661,0.645668,0.889239,0.940291,425
181,0.943507,0.712757,0.795844,4.702107,0.130131,0.919499,1.009591,0.989267,0.665404,0.929999,1.003232,426
273,0.945261,0.739893,0.784217,5.146376,0.140161,0.925879,1.074932,1.025961,0.669608,0.917361,0.941534,427
179,0.948474,0.759407,0.770167,5.237792,0.107641,0.942239,1.033532,0.997612,0.731744,0.983839,0.964469,428
113,0.949084,0.749012,0.781547,5.838423,0.133670,0.918621,1.030140,1.052170,0.675589,0.917573,0.917632,429
363,0.949957,0.737306,0.789493,5.062170,0.165544,0.914202,1.090195,1.087784,0.644540,0.872041,0.876449,430
96,0.951069,0.741440,0.788296,5.158857,0.141843,0.931618,1.072848,1.008447,0.664683,0.922141,0.989970,431
305,0.951639,0.745306,0.784003,4.993540,0.174153,0.913162,1.092014,1.084034,0.615389,0.872317,0.902054,432
211,0.952928,0.752991,0.776269,5.317083,0.127664,0.919102,1.007887,1.055686,0.684770,0.924090,0.923078,433
447,0.953123,0.737000,0.786194,4.431768,0.179252,0.912107,1.071739,1.093007,0.592406,0.898245,0.905135,434
318,0.953123,0.742935,0.788376,5.225043,0.133296,0.953784,1.036745,0.956309,0.695886,1.023025,1.056955,435
355,0.953527,0.732096,0.800630,5.397540,0.141170,0.935793,1.023433,0.991069,0.656302,0.976989,1.031171,436
155,0.953530,0.730418,0.794183,4.809875,0.188467,0.929080,1.149852,1.070335,0.600416,0.899556,0.925242,437
12,0.954200,0.727927,0.801284,4.963980,0.167525,0.925958,1.102888,1.065291,0.627296,0.905929,0.928386,438
99,0.955664,0.764434,0.781028,6.205975,0.111672,0.929004,1.004293,1.017143,0.713133,0.933533,0.976917,439
456,0.955682,0.720539,0.808606,4.863306,0.174775,0.928718,1.133387,1.074868,0.632523,0.890033,0.912779,440
107,0.957117,0.748201,0.795258,5.221046,0.127714,0.937542,1.063516,1.017671,0.697958,0.928762,0.979805,441
353,0.962902,0.725516,0.817363,4.617094,0.148432,0.948840,1.124005,1.055933,0.688577,0.941699,0.933985,442
180,0.963515,0.753919,0.795028,4.980202,0.144779,0.938997,1.088237,1.060562,0.679009,0.926460,0.940715,443
382,0.963886,0.754802,0.791068,5.233009,0.140317,0.932421,1.051245,1.055148,0.670828,0.924669,0.960213,444
176,0.969760,0.757824,0.797108,4.612558,0.170647,0.936849,1.128617,1.094057,0.651188,0.889284,0.921097,445
287,0.969932,0.754615,0.805619,5.269909,0.117143,0.951185,0.968610,0.977314,0.729279,1.005153,1.075567,446
440,0.973300,0.750748,0.810797,6.428007,0.131378,0.953349,1.023817,1.014385,0.692184,0.995854,1.040504,447
283,0.973744,0.769380,0.800399,6.136186,0.109412,0.953868,0.987178,1.020875,0.736225,1.010980,1.014080,448
116,0.974416,0.755869,0.809184,4.927715,0.132694,0.964628,1.090974,1.010634,0.709453,0.979442,1.032637,449
258,0.974832,0.765521,0.801311,5.357875,0.115360,0.953608,1.046819,1.038808,0.731520,0.962887,0.988004,450
219,0.976467,0.750613,0.819303,5.711038,0.127423,0.952997,1.067761,1.074548,0.722756,0.960177,0.939740,451
106,0.978928,0.746587,0.822660,4.790090,0.144752,0.945868,1.073196,1.069930,0.678066,0.928487,0.979659,452
339,0.979343,0.750040,0.821100,4.990705,0.144935,0.958595,1.113183,1.071347,0.697164,0.950339,0.960941,453
177,0.982821,0.754762,0.815029,4.921418,0.174061,0.945456,1.127109,1.105593,0.643932,0.901683,0.948965,454
474,0.983626,0.768197,0.809764,4.980220,0.149848,0.943383,1.084732,1.097403,0.685386,0.899113,0.950279,455
192,0.983741,0.778401,0.802436,6.464685,0.110958,0.968040,0.976577,1.003570,0.754411,1.042580,1.063063,456
89,0.983875,0.762561,0.814915,5.622175,0.169121,0.964940,1.127222,1.049328,0.641201,0.973668,1.033280,457
94,0.985960,0.764852,0.821963,5.498612,0.155492,0.962785,1.097631,1.073435,0.664458,0.983423,0.994978,458
432,0.990471,0.758915,0.829945,5.292398,0.168770,0.972506,1.165328,1.088545,0.669719,0.963435,0.975503,459
137,0.991477,0.790188,0.806921,5.496905,0.114598,0.967663,0.965311,1.006557,0.752614,1.025551,1.088281,460
484,0.993064,0.778226,0.811708,4.711273,0.150089,0.972627,1.095309,1.067297,0.679973,1.001981,1.018574,461
28,0.994370,0.771306,0.824258,4.697573,0.185174,0.964063,1.174767,1.115110,0.643727,0.923822,0.962889,462
489,0.999244,0.777953,0.826168,5.974401,0.157793,0.980020,1.143330,1.067220,0.684344,0.972817,1.032389,463
510,1.001042,0.804845,0.800915,5.233713,0.163602,0.969420,1.109005,1.089784,0.657919,0.967853,1.022539,464
387,1.003104,0.810153,0.810597,5.824120,0.130469,0.996698,1.053623,1.028692,0.738718,1.082285,1.080172,465
84,1.004757,0.784739,0.822679,4.913805,0.168339,0.971153,1.128215,1.107922,0.659725,0.955722,1.004181,466
324,1.005757,0.782258,0.832508,5.878725,0.138795,0.982237,1.142973,1.100002,0.747127,0.946450,0.974631,467
394,1.006628,0.772442,0.842925,5.658092,0.156570,0.981279,1.144094,1.102392,0.696805,0.966261,0.996844,468
291,1.008934,0.784658,0.834268,5.727593,0.135440,0.980200,0.995211,1.024800,0.724216,1.029932,1.126844,469
168,1.010120,0.779595,0.833359,5.104112,0.151353,0.977159,1.094418,1.093537,0.687179,0.977319,1.033343,470
483,1.013522,0.825389,0.810359,6.513689,0.122574,0.997685,1.022641,1.068038,0.756850,1.092354,1.048541,471
132,1.013921,0.793314,0.837850,5.499629,0.186406,0.989958,1.213604,1.136591,0.672597,0.956461,0.970538,472
239,1.021053,0.797013,0.842620,4.897400,0.196465,0.982166,1.198874,1.166270,0.651864,0.930311,0.963511,473
492,1.021493,0.781889,0.865790,5.208249,0.156408,1.000491,1.129776,1.091415,0.695264,1.026307,1.059694,474
495,1.022601,0.802267,0.844770,5.781157,0.152611,0.985224,1.115727,1.123451,0.704435,0.964822,1.017682,475
166,1.023065,0.797605,0.843398,5.137058,0.163005,0.991185,1.165954,1.127392,0.704981,0.951080,1.006517,476
205,1.023274,0.809506,0.838616,5.977434,0.162967,0.986786,1.145363,1.132778,0.695499,0.953736,1.006552,477
162,1.029006,0.803439,0.847253,5.947858,0.154467,0.989204,1.093843,1.125907,0.694259,0.991160,1.040850,478
255,1.035401,0.800759,0.861369,4.872063,0.204639,0.997456,1.174940,1.166275,0.612180,1.007261,1.026625,479
343,1.035873,0.777145,0.883539,5.988382,0.164060,1.000542,1.155007,1.154395,0.706119,0.982065,1.005124,480
408,1.037063,0.806335,0.850021,5.971919,0.193794,0.987708,1.168819,1.190898,0.653352,0.944685,0.980785,481
471,1.039325,0.814100,0.854432,5.934399,0.179836,0.991957,1.147586,1.188091,0.678702,0.964172,0.981234,482
431,1.042315,0.804110,0.860880,4.769055,0.198976,0.992875,1.194011,1.201198,0.660976,0.932442,0.975751,483
41,1.043951,0.825211,0.851495,4.862185,0.212725,1.010541,1.253986,1.191943,0.647200,0.970315,0.989260,484
8,1.044134,0.814586,0.868528,5.368774,0.170521,1.012910,1.207593,1.158674,0.723339,0.964097,1.010844,485
286,1.044610,0.798673,0.877963,5.064920,0.171715,0.999042,1.072595,1.109890,0.664890,1.015339,1.132497,486
220,1.051897,0.813116,0.877992,5.862466,0.159665,1.030877,1.147543,1.091777,0.719002,1.054103,1.141960,487
147,1.057095,0.807571,0.886382,5.170746,0.182767,1.022654,1.208056,1.165942,0.690799,0.992769,1.055707,488
208,1.060637,0.849084,0.857616,5.460995,0.119768,1.038861,1.085377,1.116362,0.800174,1.094605,1.097787,489
189,1.061726,0.816215,0.890861,6.030369,0.159153,1.026582,1.141868,1.134759,0.719316,1.025290,1.111677,490
76,1.065176,0.804260,0.897623,5.147035,0.160803,1.036824,1.168440,1.151760,0.726822,1.050642,1.086457,491
293,1.069162,0.816037,0.892833,5.089751,0.208161,1.023784,1.239962,1.216695,0.663420,0.970630,1.028214,492
319,1.075743,0.851579,0.874278,5.644560,0.208760,1.051328,1.305524,1.190575,0.688138,1.008507,1.063897,493
409,1.077102,0.827791,0.904018,5.413503,0.195145,1.046438,1.250603,1.183703,0.688916,1.023420,1.085549,494
371,1.079443,0.826498,0.903971,5.340187,0.191835,1.041498,1.201840,1.191639,0.676628,1.044794,1.092587,495
415,1.080750,0.839114,0.899958,5.089812,0.215060,1.053717,1.312072,1.213315,0.683064,1.013753,1.046382,496
359,1.081420,0.840081,0.898121,5.046861,0.241272,1.047681,1.351311,1.244102,0.655588,0.974671,1.012734,497
139,1.085515,0.835706,0.912552,5.494391,0.186707,1.035522,1.190160,1.225994,0.699306,1.008438,1.053712,498
34,1.099663,0.833924,0.922738,5.056427,0.185193,1.066712,1.259751,1.229337,0.739242,1.044314,1.060915,499
503,1.103879,0.855267,0.912066,5.204471,0.213496,1.058719,1.260542,1.241655,0.669152,1.030062,1.092185,500
482,1.125064,0.848248,0.950760,5.113883,0.213676,1.092575,1.339280,1.264781,0.723930,1.050027,1.084857,501
368,1.129637,0.887899,0.914423,5.045961,0.248413,1.094544,1.381965,1.287377,0.662213,1.052011,1.089153,502
342,1.147425,0.878477,0.961269,5.456920,0.200435,1.102899,1.297302,1.292581,0.748115,1.068283,1.108215,503
174,1.151523,0.904893,0.953982,5.537932,0.202513,1.111185,1.272508,1.263186,0.722202,1.119360,1.178671,504
85,1.162313,0.955724,0.919002,5.874032,0.229395,1.097389,1.305629,1.335935,0.700355,1.027963,1.117061,505
10,1.164544,0.925660,0.933623,5.848963,0.255593,1.117410,1.412677,1.332245,0.685255,1.036561,1.120312,506
104,1.172701,0.958045,0.928684,6.025412,0.250874,1.121197,1.389222,1.359764,0.694670,1.061070,1.101258,507
470,1.179746,0.946916,0.943815,5.357394,0.279352,1.119193,1.428817,1.401060,0.667412,1.026899,1.071778,508
242,1.186200,0.913420,0.976954,5.859171,0.229092,1.136379,1.361010,1.343532,0.727816,1.094353,1.155185,509
288,1.192863,0.963692,0.947340,5.600411,0.242361,1.168347,1.476621,1.324694,0.754717,1.112627,1.173075,510
469,1.354137,1.079720,1.079512,6.026653,0.302711,1.302670,1.622592,1.528504,0.755134,1.253453,1.353669,511
214,1.359634,1.107566,1.068189,6.547422,0.327419,1.322623,1.739141,1.556731,0.774328,1.240969,1.301944,512
