category,rank,dimension,mean_delta,std_delta
pitchU2,18,611,1.648486,1.368021
pitchU2,19,1001,1.644049,1.428101
pitchU2,20,640,1.635190,1.491605
pitchU2,21,612,1.629064,1.392672
pitchU2,22,290,1.595636,1.378187
pitchU2,23,365,1.585722,1.397599
pitchU2,24,951,1.564265,1.347135
pitchU2,25,1006,1.556663,1.394258
pitchU2,26,238,1.551235,1.364421
pitchU2,27,994,1.542533,1.355331
pitchU2,28,443,1.526663,1.293945
pitchU2,29,419,1.524414,1.300368
pitchU2,30,345,1.519304,1.277423
pitchU4,1,880,1.971290,1.679057
pitchU4,2,4,1.912373,1.719708
pitchU4,3,70,1.891036,1.653846
pitchU4,4,963,1.880937,1.604808
pitchU4,5,629,1.868451,1.644963
pitchU4,6,757,1.815889,1.562264
pitchU4,7,400,1.771134,1.588727
pitchU4,8,698,1.769185,1.520173
pitchU4,9,640,1.747460,1.513533
pitchU4,10,941,1.741282,1.482927
pitchU4,11,45,1.719535,1.467084
pitchU4,12,834,1.705288,1.551726
pitchU4,13,355,1.702472,1.414139
pitchU4,14,47,1.691577,1.462622
pitchU4,15,427,1.689815,1.440973
pitchU4,16,995,1.680200,1.435923
pitchU4,17,612,1.672503,1.471418
pitchU4,18,551,1.649684,1.437597
pitchU4,19,1001,1.647869,1.427522
pitchU4,20,290,1.634206,1.387311
pitchU4,21,611,1.634156,1.359960
pitchU4,22,1006,1.623260,1.466066
pitchU4,23,145,1.595234,1.451398
pitchU4,24,994,1.569263,1.359135
pitchU4,25,951,1.568633,1.350436
pitchU4,26,238,1.559782,1.385163
pitchU4,27,999,1.538896,1.305639
pitchU4,28,639,1.535818,1.284416
pitchU4,29,419,1.527003,1.296119
pitchU4,30,140,1.521580,1.321178
pitchU4_tempo110,1,880,2.046402,1.715091
pitchU4_tempo110,2,963,1.972349,1.626503
pitchU4_tempo110,3,4,1.967682,1.736594
pitchU4_tempo110,4,629,1.935085,1.673813
pitchU4_tempo110,5,70,1.934376,1.639049
pitchU4_tempo110,6,757,1.910362,1.594843
pitchU4_tempo110,7,640,1.856860,1.551991
