dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
397,-0.531301,0.791417,-0.360371,0.672222,0.211646,1.053877,-0.453692,0.705804,0.118325,1.074333,-0.534822,0.757057,-0.046646,0.822057,-0.607864,0.741961,-0.119687,1.020235,-0.623835,0.746767,-0.135659,1.045275
398,-0.104302,0.765136,0.040743,0.748136,0.182330,1.110650,-0.096957,0.801811,0.044630,1.154159,-0.133277,0.781257,-0.068475,0.856026,-0.342338,0.788201,-0.277535,1.057587,-0.455176,0.783173,-0.390373,1.058959
399,0.195445,0.874848,0.237271,0.815833,0.024456,1.160296,0.291960,0.802358,0.079145,1.136220,0.228072,0.841739,0.051027,0.842341,0.482921,0.788723,0.305875,1.065663,0.522603,0.762920,0.345557,1.089281
400,0.627794,0.798484,0.869690,0.856220,0.351169,1.143571,0.822896,0.891836,0.304376,1.175043,0.717868,0.843285,-0.025682,0.860293,0.764237,0.903303,0.020687,1.183754,0.728251,0.875629,-0.015299,1.186108
401,-0.120618,0.820244,-0.000093,0.778743,0.122429,1.112911,0.036646,0.804084,0.159169,1.124728,-0.048306,0.792295,0.070283,0.846267,0.319449,0.748064,0.438037,1.014977,0.314847,0.719163,0.433436,1.028318
402,-0.123229,0.861231,0.087554,0.922711,0.328862,1.218328,0.053703,0.945497,0.295011,1.232486,-0.059799,0.919331,-0.061671,0.854904,-0.205197,0.839091,-0.207069,1.140471,-0.296490,0.788477,-0.298362,1.153437
403,0.219300,0.766309,0.352841,0.755541,0.159609,1.129200,0.245748,0.769332,0.052516,1.122967,0.206295,0.768347,-0.040632,0.857893,0.274546,0.763364,0.027619,1.013245,0.216926,0.708499,-0.030001,1.012411
404,-0.111132,0.805010,-0.301538,0.747244,-0.261345,1.137920,-0.369326,0.738480,-0.329133,1.104496,-0.231714,0.771273,-0.045432,0.837350,-0.183490,0.697706,0.002793,0.993896,-0.182563,0.672264,0.003719,1.004845
405,0.087660,0.707590,0.024893,0.688037,-0.054179,0.928400,0.041926,0.705445,-0.037146,0.935740,0.097067,0.697056,0.000300,0.744361,-0.012567,0.646389,-0.109334,0.897866,-0.094164,0.641933,-0.190931,0.916211
406,-0.228591,0.769024,-0.178514,0.778039,0.084004,1.037570,-0.096370,0.810973,0.166149,1.092717,-0.158075,0.791436,0.034570,0.831843,-0.108456,0.668505,0.084189,0.968824,-0.044287,0.674748,0.148358,1.002742
407,-0.061176,0.851474,-0.275809,0.756964,-0.255700,1.180210,-0.157974,0.784378,-0.137864,1.193886,-0.004294,0.820606,0.100391,0.872871,-0.173898,0.757732,-0.069212,1.079003,-0.169110,0.744814,-0.064424,1.091673
408,0.088434,0.958363,-0.257680,0.914861,-0.467462,1.353897,-0.263639,0.987254,-0.473420,1.396372,-0.029972,1.003734,0.010154,0.884921,0.132663,0.884640,0.172788,1.177790,0.107303,0.828476,0.147428,1.210374
409,-0.305661,1.012865,-0.704477,1.162360,-0.561188,1.430170,-0.638334,1.052382,-0.495045,1.368575,-0.443136,1.003210,0.034520,0.948932,-0.381177,0.894761,0.096480,1.282764,-0.411524,0.891723,0.066132,1.353651
410,-0.160060,0.718086,-0.275360,0.684038,-0.141131,0.975741,-0.261076,0.709034,-0.126847,0.994798,-0.182503,0.734646,0.004901,0.805451,-0.129109,0.737478,0.058294,0.983262,-0.052118,0.770319,0.135286,1.034803
411,0.517243,0.914896,0.771604,0.881151,0.388851,1.169289,0.701826,0.845791,0.319073,1.157059,0.579937,0.851183,-0.079722,0.845163,0.358325,0.696663,-0.301334,1.047605,0.344189,0.632511,-0.315470,1.064537
412,0.383514,0.774516,0.584954,0.752570,0.249092,1.077838,0.617107,0.757334,0.281244,1.082181,0.473431,0.745173,0.039391,0.856266,0.395463,0.714028,-0.038577,0.998006,0.451502,0.713407,0.017462,1.029273
413,-0.604932,0.797261,-0.649392,0.736777,-0.052882,1.053429,-0.644048,0.750113,-0.047538,1.075794,-0.562386,0.765859,0.051393,0.854943,-0.457333,0.745560,0.156447,1.045614,-0.459295,0.770400,0.154484,1.065835
414,0.189454,0.914918,-0.148926,0.831286,-0.406624,1.275832,-0.074877,0.790602,-0.332574,1.228214,0.151046,0.882386,0.033891,0.872491,0.101481,0.790713,-0.015675,1.088690,0.156749,0.754510,0.039593,1.119040
415,0.091599,1.086052,0.477452,1.170555,0.605894,1.504252,0.368383,1.073231,0.496825,1.419442,0.228299,1.024902,-0.096419,0.921488,0.193375,0.850524,-0.131344,1.263286,0.135476,0.788583,-0.189243,1.285341
416,-0.138613,0.841099,-0.445940,0.878825,-0.401511,1.210343,-0.331491,0.799030,-0.287061,1.144588,-0.154003,0.806603,0.084408,0.852144,0.055375,0.716407,0.293786,1.074450,0.033162,0.690872,0.271573,1.079695
