dimension,dsp_type,r2_linear
289,tempo,0.015921
290,tempo,0.031214
291,tempo,0.005694
292,tempo,0.016515
293,tempo,0.008430
294,tempo,0.019087
295,tempo,0.019271
296,tempo,0.013013
297,tempo,0.014319
298,tempo,0.012502
299,tempo,0.014113
300,tempo,0.019150
301,tempo,0.018915
302,tempo,0.019173
303,tempo,0.006590
304,tempo,0.015606
305,tempo,0.020860
306,tempo,0.013932
307,tempo,0.012734
308,tempo,0.010483
309,tempo,0.015227
310,tempo,0.016224
311,tempo,0.013022
312,tempo,0.019379
313,tempo,0.015484
314,tempo,0.012423
315,tempo,0.011988
316,tempo,0.009569
317,tempo,0.003852
318,tempo,0.013765
319,tempo,0.027652
320,tempo,0.013704
321,tempo,0.012962
322,tempo,0.050184
323,tempo,0.027293
324,tempo,0.011689
325,tempo,0.025518
326,tempo,0.010867
327,tempo,0.013248
328,tempo,0.009361
329,tempo,0.027694
330,tempo,0.028412
331,tempo,0.003006
332,tempo,0.004041
333,tempo,0.025994
334,tempo,0.014725
335,tempo,0.031226
336,tempo,0.018694
337,tempo,0.017014
338,tempo,0.009265
339,tempo,0.014725
340,tempo,0.005477
341,tempo,0.008047
342,tempo,0.016439
343,tempo,0.026351
344,tempo,0.010040
345,tempo,0.016229
346,tempo,0.012463
347,tempo,0.010520
348,tempo,0.018040
349,tempo,0.010623
350,tempo,0.014287
351,tempo,0.013187
352,tempo,0.009872
353,tempo,0.016330
354,tempo,0.029083
355,tempo,0.017597
356,tempo,0.014186
357,tempo,0.010152
358,tempo,0.016822
359,tempo,0.025504
360,tempo,0.015591
361,tempo,0.009404
362,tempo,0.033592
363,tempo,0.013710
364,tempo,0.017943
365,tempo,0.020857
366,tempo,0.018282
367,tempo,0.016489
368,tempo,0.019749
369,tempo,0.011735
370,tempo,0.005227
371,tempo,0.006162
372,tempo,0.014450
373,tempo,0.017639
374,tempo,0.017338
375,tempo,0.022510
376,tempo,0.010941
377,tempo,0.006684
378,tempo,0.021658
379,tempo,0.018858
380,tempo,0.013439
381,tempo,0.011126
382,tempo,0.014353
383,tempo,0.010222
384,tempo,0.010521
385,tempo,0.017326
386,tempo,0.019601
387,tempo,0.013034
388,tempo,0.024010
389,tempo,0.007179
390,tempo,0.008870
391,tempo,0.020347
392,tempo,0.014953
393,tempo,0.009119
394,tempo,0.024227
395,tempo,0.013671
396,tempo,0.008189
397,tempo,0.012843
398,tempo,0.007945
399,tempo,0.009261
400,tempo,0.020610
401,tempo,0.010777
402,tempo,0.021554
403,tempo,0.014084
404,tempo,0.007185
405,tempo,0.009739
406,tempo,0.013184
407,tempo,0.007519
408,tempo,0.010063
409,tempo,0.010545
410,tempo,0.027424
411,tempo,0.009096
412,tempo,0.016226
413,tempo,0.004957
414,tempo,0.011264
415,tempo,0.014388
416,tempo,0.019096
417,tempo,0.010057
418,tempo,0.013397
419,tempo,0.009354
420,tempo,0.021747
421,tempo,0.022041
422,tempo,0.015123
423,tempo,0.016451
424,tempo,0.019689
425,tempo,0.012195
426,tempo,0.020334
427,tempo,0.018492
428,tempo,0.013874
429,tempo,0.015603
430,tempo,0.018214
431,tempo,0.010453
432,tempo,0.035813
433,tempo,0.014185
434,tempo,0.019289
435,tempo,0.008031
436,tempo,0.011457
437,tempo,0.025356
438,tempo,0.018816
439,tempo,0.006917
440,tempo,0.018186
441,tempo,0.013096
442,tempo,0.010381
443,tempo,0.021711
444,tempo,0.006410
445,tempo,0.016475
446,tempo,0.015420
447,tempo,0.014706
448,tempo,0.026243
449,tempo,0.021799
450,tempo,0.017178
451,tempo,0.030844
452,tempo,0.010687
453,tempo,0.019115
454,tempo,0.012059
455,tempo,0.018087
456,tempo,0.012432
457,tempo,0.014365
458,tempo,0.006379
459,tempo,0.010134
460,tempo,0.012861
461,tempo,0.019172
462,tempo,0.014916
463,tempo,0.015551
464,tempo,0.005427
465,tempo,0.014733
466,tempo,0.016976
467,tempo,0.025914
468,tempo,0.010562
469,tempo,0.016063
470,tempo,0.015363
471,tempo,0.007818
472,tempo,0.017294
473,tempo,0.021776
474,tempo,0.008638
475,tempo,0.013246
476,tempo,0.008730
477,tempo,0.011828
478,tempo,0.009489
479,tempo,0.010100
480,tempo,0.005680
481,tempo,0.019211
482,tempo,0.023655
483,tempo,0.016287
484,tempo,0.009558
485,tempo,0.008640
486,tempo,0.031362
487,tempo,0.013986
488,tempo,0.024347
489,tempo,0.005819
490,tempo,0.020584
491,tempo,0.011289
492,tempo,0.016096
493,tempo,0.018825
494,tempo,0.008732
495,tempo,0.013967
496,tempo,0.019261
497,tempo,0.010410
498,tempo,0.021917
499,tempo,0.010076
500,tempo,0.010672
501,tempo,0.016074
502,tempo,0.036812
503,tempo,0.015750
504,tempo,0.012435
505,tempo,0.023096
506,tempo,0.014774
507,tempo,0.011262
508,tempo,0.017164
509,tempo,0.023289
510,tempo,0.006442
511,tempo,0.015430
512,tempo,0.008758
513,tempo,0.013609
514,tempo,0.017671
515,tempo,0.009935
516,tempo,0.020132
517,tempo,0.017009
518,tempo,0.014532
519,tempo,0.022191
520,tempo,0.008100
521,tempo,0.017511
522,tempo,0.014774
523,tempo,0.021078
524,tempo,0.026809
525,tempo,0.011797
526,tempo,0.014309
527,tempo,0.016773
528,tempo,0.034242
529,tempo,0.021380
530,tempo,0.016013
531,tempo,0.014570
532,tempo,0.019810
533,tempo,0.009660
534,tempo,0.009459
535,tempo,0.014418
536,tempo,0.020105
537,tempo,0.009901
538,tempo,0.014165
539,tempo,0.007981
540,tempo,0.004395
541,tempo,0.013699
542,tempo,0.019813
543,tempo,0.022243
544,tempo,0.013021
545,tempo,0.016323
546,tempo,0.015544
547,tempo,0.015347
548,tempo,0.012089
549,tempo,0.008492
550,tempo,0.010856
551,tempo,0.022470
552,tempo,0.017469
553,tempo,0.013085
554,tempo,0.019984
555,tempo,0.009767
556,tempo,0.017297
557,tempo,0.017710
558,tempo,0.015590
559,tempo,0.011114
560,tempo,0.010546
561,tempo,0.013994
562,tempo,0.015756
563,tempo,0.018967
564,tempo,0.015635
565,tempo,0.014793
566,tempo,0.012827
567,tempo,0.014977
568,tempo,0.014176
569,tempo,0.012404
570,tempo,0.015214
571,tempo,0.012984
572,tempo,0.008863
573,tempo,0.018174
574,tempo,0.005674
