dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
927,1.056378,1.368052,0.311674,0.320281
199,0.973622,1.259123,0.285501,0.319928
217,1.075120,1.416056,0.340936,0.319494
497,1.252828,1.603900,0.351072,0.319018
408,0.985450,1.286315,0.300865,0.318784
169,1.149451,1.472248,0.322797,0.318161
971,1.103963,1.415940,0.311978,0.317954
592,1.148381,1.476400,0.328019,0.317547
104,1.247603,1.612720,0.365117,0.317015
793,0.958381,1.230336,0.271955,0.316845
293,1.002123,1.290031,0.287908,0.316347
176,1.121748,1.433336,0.311589,0.316318
36,0.951173,1.226408,0.275235,0.315883
347,1.335437,1.720616,0.385179,0.315702
522,0.965362,1.230233,0.264870,0.315063
306,0.961286,1.240556,0.279270,0.314019
78,0.941286,1.209450,0.268164,0.313788
157,0.982008,1.255708,0.273700,0.313721
520,1.158233,1.481638,0.323406,0.313699
315,0.879653,1.125800,0.246146,0.313595
873,1.042288,1.332434,0.290146,0.313524
258,1.271238,1.629405,0.358166,0.312645
900,0.931425,1.204289,0.272865,0.312332
897,1.337464,1.713344,0.375880,0.311958
471,0.995472,1.280002,0.284530,0.311349
778,1.046643,1.352868,0.306225,0.311319
235,1.196030,1.543979,0.347950,0.310087
231,1.115505,1.432132,0.316627,0.309983
785,1.195745,1.510056,0.314311,0.309600
846,1.222228,1.557986,0.335758,0.308886
802,1.040912,1.322193,0.281281,0.308862
1002,1.151191,1.478657,0.327467,0.308774
469,1.089674,1.389525,0.299851,0.308714
99,1.160341,1.477441,0.317100,0.308392
237,1.047067,1.353340,0.306273,0.307407
705,0.984432,1.261337,0.276905,0.307385
955,0.996032,1.266686,0.270654,0.307365
187,1.185055,1.529727,0.344672,0.306821
103,1.236634,1.624663,0.388029,0.306789
574,1.084032,1.386750,0.302718,0.306622
276,1.318879,1.688981,0.370102,0.306527
409,1.126232,1.437833,0.311601,0.306301
898,1.263947,1.612837,0.348890,0.305773
876,1.147399,1.462839,0.315440,0.305548
835,1.019429,1.304176,0.284748,0.305511
381,0.901243,1.168525,0.267281,0.305256
982,1.070662,1.368559,0.297896,0.305087
566,1.228236,1.559197,0.330961,0.304362
726,1.225114,1.575072,0.349958,0.304000
309,1.088338,1.388394,0.300056,0.303819
847,1.323745,1.673631,0.349886,0.303754
572,1.021826,1.289045,0.267218,0.303470
999,1.520393,1.926716,0.406323,0.303425
179,1.115736,1.405952,0.290216,0.302965
730,1.004586,1.283962,0.279377,0.302892
796,1.024900,1.311416,0.286515,0.302692
804,1.230632,1.566968,0.336335,0.302631
603,1.294964,1.643057,0.348093,0.302472
977,1.111869,1.418220,0.306351,0.302340
344,0.980280,1.242605,0.262325,0.301882
93,1.350881,1.714724,0.363842,0.301406
212,1.120315,1.413506,0.293191,0.300867
350,1.159929,1.467214,0.307285,0.299500
910,1.119506,1.433456,0.313951,0.299445
537,1.064738,1.348746,0.284008,0.298813
666,1.203692,1.522734,0.319042,0.298468
586,1.320878,1.668771,0.347893,0.298038
761,1.265081,1.612219,0.347138,0.297876
919,0.923836,1.178334,0.254498,0.296919
688,1.188593,1.499404,0.310811,0.296916
619,1.039130,1.310279,0.271149,0.296898
107,1.341719,1.703147,0.361428,0.296457
923,1.025062,1.298866,0.273804,0.296447
934,1.078490,1.370012,0.291523,0.296108
503,1.299278,1.645297,0.346019,0.296093
665,1.070742,1.358412,0.287670,0.296076
816,1.284065,1.618919,0.334854,0.295522
593,1.201304,1.510422,0.309118,0.295005
393,0.991305,1.255976,0.264671,0.294936
901,0.932272,1.190328,0.258057,0.294483
812,1.039236,1.309647,0.270411,0.293404
158,1.474467,1.844445,0.369977,0.292417
885,1.264610,1.610195,0.345585,0.292191
492,1.195586,1.496616,0.301031,0.291735
980,1.203825,1.521304,0.317479,0.291237
271,0.986440,1.248044,0.261605,0.290906
1009,1.213206,1.527614,0.314409,0.290111
491,1.295432,1.624942,0.329510,0.290046
534,1.179087,1.480587,0.301500,0.290004
1006,1.568160,2.001088,0.432929,0.289987
648,1.174072,1.462261,0.288189,0.289953
557,1.135819,1.430097,0.294278,0.289093
596,1.234000,1.557208,0.323209,0.289049
326,0.912233,1.153571,0.241338,0.288923
464,0.945408,1.184031,0.238623,0.288256
6,1.196733,1.506438,0.309705,0.288001
807,1.098550,1.383456,0.284907,0.287203
903,0.988952,1.244712,0.255761,0.286987
255,1.001660,1.256785,0.255125,0.285653
