dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
342,0.998686,1.468083,0.469396,0.480069
33,0.858125,1.259916,0.401791,0.479743
448,1.153116,1.676866,0.523751,0.479724
719,0.950338,1.401605,0.451268,0.479120
302,0.906221,1.334691,0.428470,0.478826
348,0.932142,1.385551,0.453409,0.478483
335,1.066282,1.576195,0.509913,0.477996
912,0.879649,1.291216,0.411566,0.477917
215,0.975733,1.428459,0.452726,0.476805
718,0.935675,1.369152,0.433477,0.476427
937,0.962629,1.419500,0.456870,0.476156
305,1.252892,1.863797,0.610905,0.475970
367,1.028230,1.515669,0.487439,0.475781
969,1.172563,1.689071,0.516508,0.474845
394,0.943247,1.395162,0.451915,0.474460
449,1.125075,1.667495,0.542420,0.473348
555,1.128953,1.648726,0.519773,0.473266
278,0.919205,1.345806,0.426601,0.473197
743,1.013026,1.477456,0.464430,0.472494
620,1.027183,1.486821,0.459638,0.471953
193,1.227947,1.809652,0.581705,0.471588
197,1.118998,1.630250,0.511252,0.470389
16,1.044176,1.519727,0.475552,0.470236
247,0.838023,1.222368,0.384345,0.470083
110,0.848113,1.228773,0.380660,0.469694
828,1.058513,1.561644,0.503131,0.469088
8,1.012281,1.478592,0.466312,0.469082
496,1.052318,1.542846,0.490528,0.468773
484,0.966509,1.396784,0.430275,0.467367
462,0.849778,1.238357,0.388580,0.467124
30,1.081370,1.590917,0.509546,0.467006
615,1.216670,1.757100,0.540431,0.466417
267,0.984342,1.443069,0.458727,0.466387
139,1.026824,1.485121,0.458297,0.466038
532,1.153155,1.680199,0.527043,0.465910
416,0.960940,1.401085,0.440145,0.464494
456,0.807815,1.174533,0.366718,0.464083
337,1.018459,1.477055,0.458596,0.463894
902,0.865586,1.274305,0.408719,0.463861
481,0.978041,1.425837,0.447796,0.463833
635,0.976181,1.432967,0.456786,0.463003
218,0.985642,1.446041,0.460399,0.462190
240,0.960931,1.401319,0.440389,0.462058
692,1.047214,1.515356,0.468142,0.461900
731,0.981491,1.415918,0.434427,0.461780
863,1.064695,1.557881,0.493187,0.461276
392,0.982783,1.417458,0.434675,0.461198
405,0.906512,1.313630,0.407118,0.460926
364,1.147421,1.659317,0.511896,0.460225
892,0.990610,1.437063,0.446452,0.460161
959,0.942112,1.377238,0.435126,0.460138
7,0.887147,1.297081,0.409935,0.460101
703,1.004462,1.474883,0.470421,0.459718
146,0.885022,1.264092,0.379070,0.459347
862,0.991713,1.417125,0.425411,0.458564
269,1.066156,1.534036,0.467881,0.458511
106,0.955665,1.378816,0.423150,0.458314
360,0.899837,1.293397,0.393560,0.457896
219,1.156621,1.665600,0.508979,0.457799
896,1.016043,1.447688,0.431646,0.457796
174,1.177256,1.704509,0.527254,0.457300
355,1.545368,2.213987,0.668620,0.456972
626,1.261582,1.831558,0.569976,0.456873
523,1.092462,1.571320,0.478858,0.456498
74,1.005257,1.457252,0.451995,0.456133
1019,1.055711,1.502663,0.446951,0.455365
44,0.891178,1.287688,0.396510,0.455229
800,0.942561,1.355586,0.413025,0.454485
61,1.115463,1.631480,0.516017,0.454034
122,0.846265,1.218965,0.372700,0.453577
41,1.068610,1.534927,0.466317,0.452700
681,0.981241,1.419795,0.438554,0.452691
143,1.041501,1.486866,0.445364,0.451552
737,0.978279,1.419077,0.440798,0.451453
173,0.985686,1.431091,0.445405,0.451388
834,1.690794,2.436129,0.745335,0.450789
242,1.121821,1.604449,0.482628,0.450738
386,0.848301,1.227580,0.379279,0.450604
119,0.914528,1.307014,0.392486,0.450272
111,0.978877,1.425061,0.446184,0.450156
924,1.082638,1.571073,0.488435,0.449810
421,0.980037,1.422559,0.442521,0.449409
972,0.869707,1.251614,0.381907,0.449195
288,1.011493,1.451351,0.439858,0.448654
292,0.834694,1.195207,0.360514,0.448560
886,0.886733,1.270274,0.383541,0.448322
823,0.961647,1.385948,0.424301,0.447379
213,0.811426,1.170039,0.358613,0.446841
453,0.934984,1.338949,0.403966,0.446640
715,0.862144,1.237616,0.375473,0.445929
363,0.911505,1.303486,0.391981,0.445868
558,0.939388,1.351103,0.411716,0.445785
246,1.040588,1.496834,0.456246,0.445667
709,0.938921,1.339233,0.400312,0.445591
962,0.917562,1.309113,0.391551,0.445344
637,0.880776,1.250510,0.369735,0.445280
17,0.928164,1.326788,0.398623,0.445105
587,0.980271,1.400491,0.420219,0.443856
147,0.862286,1.250038,0.387752,0.443821
137,1.206816,1.723552,0.516736,0.443348
994,1.476918,2.124692,0.647774,0.443196
379,1.033811,1.460237,0.426427,0.442426
21,0.909048,1.312661,0.403613,0.442206
916,1.242278,1.776281,0.534002,0.441960
545,0.959187,1.368734,0.409547,0.441802
933,1.305488,1.836172,0.530684,0.441692
114,0.879296,1.260886,0.381590,0.441297
679,1.069832,1.534731,0.464898,0.441104
387,1.374545,1.965655,0.591110,0.440446
720,0.877958,1.252346,0.374388,0.440240
0,1.094502,1.555943,0.461441,0.440037
502,1.002923,1.425980,0.423057,0.440001
284,1.052303,1.507664,0.455361,0.439318
354,1.163785,1.652980,0.489195,0.438938
450,1.187376,1.677450,0.490074,0.438757
613,0.915393,1.301533,0.386140,0.438657
836,0.990415,1.420329,0.429914,0.438250
216,0.980695,1.378394,0.397699,0.437964
597,0.928281,1.322353,0.394072,0.437782
976,1.140269,1.612549,0.472280,0.437681
1014,0.958240,1.355395,0.397155,0.436190
733,1.231193,1.762484,0.531291,0.435161
531,1.010771,1.447995,0.437224,0.435017
183,0.868936,1.240187,0.371250,0.434931
27,0.985336,1.389074,0.403738,0.434929
109,1.289702,1.812836,0.523133,0.434335
43,0.959008,1.358564,0.399555,0.433873
52,0.983220,1.390445,0.407225,0.433538
346,1.225527,1.735620,0.510092,0.433077
385,1.112220,1.589029,0.476809,0.432657
849,1.005879,1.418751,0.412871,0.432127
358,1.015690,1.432397,0.416707,0.431894
829,1.142167,1.625517,0.483349,0.431596
438,1.016174,1.448311,0.432137,0.431474
864,0.994379,1.386246,0.391868,0.430244
220,0.974158,1.384754,0.410596,0.429948
855,1.122411,1.589005,0.466593,0.429895
996,0.886208,1.263112,0.376904,0.429853
957,1.092131,1.550503,0.458371,0.429520
682,0.967286,1.359662,0.392376,0.429339
241,0.958242,1.359258,0.401015,0.429136
327,0.931015,1.343889,0.412875,0.428948
142,1.264763,1.812172,0.547409,0.428093
599,1.250736,1.796037,0.545301,0.427962
782,0.912582,1.294834,0.382252,0.427920
10,1.106305,1.530238,0.423933,0.427887
845,0.989727,1.391902,0.402175,0.427236
135,1.251453,1.770334,0.518881,0.427210
945,1.296574,1.831876,0.535302,0.427168
632,1.336607,1.883777,0.547170,0.426988
80,1.235945,1.734431,0.498486,0.426346
164,0.866865,1.227996,0.361131,0.426134
318,0.975428,1.383312,0.407884,0.426012
728,0.894340,1.265317,0.370977,0.425999
152,1.065643,1.511600,0.445958,0.425896
783,1.230820,1.728889,0.498069,0.425780
753,1.008342,1.410629,0.402286,0.425214
505,0.997909,1.388714,0.390805,0.424852
423,1.171316,1.645118,0.473801,0.424819
891,0.939645,1.311127,0.371482,0.424644
336,0.964780,1.361715,0.396935,0.424636
113,0.901910,1.275014,0.373104,0.423721
521,0.890557,1.245485,0.354928,0.423318
378,1.276704,1.784427,0.507723,0.423282
46,1.158705,1.621848,0.463143,0.423274
781,1.146619,1.588023,0.441404,0.423191
818,0.981085,1.372471,0.391387,0.422301
446,0.986756,1.383326,0.396571,0.421722
434,0.862516,1.201181,0.338665,0.420627
102,1.014512,1.417144,0.402632,0.420527
451,0.987741,1.376895,0.389153,0.420344
561,0.977439,1.374829,0.397389,0.419551
672,1.069663,1.520676,0.451013,0.419454
984,1.292901,1.806934,0.514033,0.419169
515,1.021488,1.425405,0.403917,0.419154
658,1.016240,1.426262,0.410022,0.419129
339,1.012929,1.414129,0.401199,0.418820
84,1.016488,1.441473,0.424984,0.418573
998,0.989809,1.368569,0.378761,0.418547
208,0.977407,1.365072,0.387665,0.418092
254,0.984651,1.377434,0.392784,0.418045
915,0.944023,1.309546,0.365523,0.418009
685,1.010974,1.403861,0.392887,0.417800
59,0.933506,1.296466,0.362960,0.417734
415,1.116978,1.554977,0.437998,0.417729
824,0.937973,1.313107,0.375134,0.417371
784,1.068699,1.500033,0.431334,0.417327
313,1.108439,1.557634,0.449195,0.417308
442,1.311992,1.815485,0.503493,0.417137
765,0.972632,1.364287,0.391655,0.417135
224,0.894680,1.262850,0.368170,0.416595
280,1.167587,1.630931,0.463345,0.416436
403,1.055161,1.457257,0.402095,0.416230
669,1.000842,1.403342,0.402500,0.416035
207,0.966382,1.337886,0.371504,0.415741
1001,1.563411,2.171985,0.608573,0.415240
283,1.034083,1.453800,0.419717,0.414614
676,0.992688,1.390132,0.397444,0.414591
899,1.218384,1.706200,0.487816,0.414437
100,1.191802,1.656855,0.465053,0.414163
639,1.420228,1.964635,0.544407,0.414094
221,1.219657,1.689443,0.469787,0.413788
913,1.004470,1.393196,0.388726,0.413777
250,0.952595,1.335779,0.383184,0.413439
118,0.991168,1.388619,0.397451,0.413254
131,1.024650,1.457014,0.432364,0.413119
591,0.948015,1.338950,0.390936,0.413113
272,1.363834,1.901931,0.538097,0.412970
138,1.151352,1.595331,0.443979,0.412911
476,1.145764,1.588682,0.442918,0.412637
511,1.220942,1.696403,0.475461,0.412395
856,1.236606,1.718197,0.481591,0.412115
368,0.996195,1.380328,0.384132,0.411965
767,0.810077,1.119743,0.309665,0.411963
436,0.952330,1.302546,0.350216,0.411715
978,0.942088,1.318313,0.376226,0.411534
559,1.140252,1.585928,0.445676,0.411494
101,1.066939,1.484428,0.417489,0.411288
144,0.925168,1.297240,0.372072,0.410582
683,0.882353,1.218376,0.336023,0.410449
893,0.919982,1.281010,0.361028,0.410187
884,0.829826,1.150913,0.321086,0.409941
939,1.232683,1.717650,0.484968,0.409689
600,1.107517,1.560610,0.453094,0.409605
465,0.937335,1.305420,0.368085,0.409276
538,1.065418,1.489101,0.423683,0.409262
201,1.064395,1.491905,0.427510,0.409193
573,1.110237,1.537610,0.427373,0.408849
965,1.275669,1.760827,0.485158,0.408672
320,1.072790,1.478316,0.405526,0.408303
701,1.287769,1.792809,0.505040,0.407849
79,1.054421,1.462184,0.407762,0.407561
702,1.003826,1.381551,0.377725,0.407021
66,1.367704,1.905513,0.537809,0.406895
34,1.083538,1.502750,0.419212,0.406756
764,0.835132,1.167796,0.332664,0.406668
1000,0.913616,1.254376,0.340760,0.406635
185,1.073781,1.496290,0.422509,0.406630
1004,0.953734,1.316217,0.362484,0.406569
1003,1.057144,1.458376,0.401232,0.406035
988,0.946715,1.302915,0.356199,0.405758
87,1.282702,1.755342,0.472640,0.405595
616,1.064243,1.476476,0.412233,0.405340
191,1.062329,1.455838,0.393509,0.405102
252,1.062853,1.485501,0.422648,0.405067
958,1.021368,1.414423,0.393054,0.405008
588,0.822548,1.157269,0.334721,0.404934
780,0.981173,1.352868,0.371695,0.404665
120,1.041471,1.446779,0.405308,0.404283
817,0.868966,1.215982,0.347016,0.404200
581,1.207279,1.660108,0.452829,0.403871
203,1.047325,1.455964,0.408640,0.403622
929,1.053595,1.469346,0.415751,0.403542
622,0.970287,1.331938,0.361651,0.403466
1,1.170828,1.612525,0.441697,0.403391
979,1.192185,1.634640,0.442455,0.402536
869,1.222132,1.681819,0.459687,0.402380
661,1.360738,1.908527,0.547789,0.401990
630,1.127979,1.546336,0.418357,0.401522
517,1.012065,1.394758,0.382693,0.401162
700,1.116468,1.542281,0.425812,0.401008
24,1.086498,1.494731,0.408233,0.400882
805,0.869749,1.188661,0.318912,0.400599
542,0.983143,1.344899,0.361756,0.400414
300,1.008629,1.392901,0.384272,0.400285
991,1.258594,1.751165,0.492571,0.399696
229,0.989354,1.353177,0.363824,0.399339
740,0.934417,1.297944,0.363527,0.399230
921,1.228632,1.700541,0.471909,0.398884
920,0.908507,1.281042,0.372535,0.398540
806,1.101240,1.517660,0.416421,0.398450
353,1.206709,1.669204,0.462495,0.398268
345,1.454265,1.982398,0.528132,0.397912
722,0.989495,1.355198,0.365703,0.397700
554,1.127300,1.560419,0.433119,0.397671
875,1.035334,1.429214,0.393880,0.397641
954,1.122796,1.541469,0.418673,0.397575
151,1.046064,1.440714,0.394650,0.397242
727,1.240779,1.697747,0.456969,0.396761
694,1.038602,1.432585,0.393983,0.396338
553,1.234956,1.711627,0.476672,0.396139
325,0.996001,1.356692,0.360691,0.395835
544,1.039332,1.422282,0.382950,0.395557
801,0.972487,1.330927,0.358440,0.394917
230,1.035608,1.434409,0.398801,0.394772
145,1.533367,2.146647,0.613280,0.394264
296,0.984187,1.350845,0.366659,0.393962
677,0.946245,1.293748,0.347503,0.393376
1017,1.041285,1.417913,0.376628,0.393092
177,1.038956,1.404214,0.365258,0.392965
287,0.957813,1.317892,0.360079,0.392287
519,1.247431,1.733999,0.486568,0.391723
590,1.371820,1.877132,0.505312,0.391411
786,1.089116,1.506355,0.417239,0.391403
62,0.884701,1.204973,0.320272,0.391312
760,1.062834,1.450828,0.387994,0.391199
925,0.906325,1.250859,0.344533,0.391149
15,1.044101,1.439612,0.395511,0.390387
741,1.060997,1.485596,0.424599,0.389831
178,1.097812,1.511961,0.414150,0.389654
530,1.243900,1.724971,0.481071,0.389504
946,1.034047,1.410713,0.376666,0.389389
60,0.933583,1.286766,0.353183,0.389163
663,1.207699,1.666541,0.458841,0.388557
49,1.037372,1.421764,0.384392,0.388030
4,1.859599,2.547747,0.688148,0.387771
162,0.935481,1.275638,0.340157,0.387703
494,0.946497,1.295009,0.348512,0.387600
412,1.016230,1.383060,0.366829,0.387474
640,1.539147,2.120344,0.581197,0.387362
390,0.994099,1.362045,0.367946,0.387011
725,0.968198,1.313728,0.345531,0.386943
729,0.978379,1.336168,0.357789,0.386702
165,0.990179,1.347804,0.357625,0.386700
429,1.305779,1.790108,0.484329,0.386393
754,1.009780,1.397302,0.387523,0.386196
404,1.203913,1.649526,0.445613,0.385111
383,1.106469,1.539371,0.432901,0.384764
789,0.999887,1.351092,0.351205,0.384081
547,1.041008,1.402701,0.361693,0.383926
245,1.091226,1.481250,0.390023,0.383860
833,0.932895,1.271151,0.338255,0.383796
986,0.940948,1.297814,0.356866,0.383714
568,0.962172,1.314427,0.352255,0.383567
77,1.215090,1.656997,0.441907,0.383538
377,0.925533,1.250262,0.324730,0.382519
248,1.242509,1.695470,0.452961,0.382498
832,1.043714,1.416689,0.372975,0.382437
536,1.162223,1.582471,0.420248,0.382174
91,0.912474,1.244925,0.332451,0.381841
366,0.997379,1.343941,0.346562,0.381730
12,1.123181,1.538657,0.415476,0.381666
473,0.984008,1.335697,0.351689,0.381648
973,0.961902,1.309223,0.347320,0.381456
180,1.189316,1.601080,0.411763,0.381310
427,1.662506,2.247428,0.584922,0.380542
657,1.270623,1.724229,0.453605,0.380235
270,1.130907,1.520528,0.389621,0.380212
756,0.948261,1.289771,0.341510,0.379743
1013,1.058092,1.425314,0.367222,0.379076
889,0.990438,1.340083,0.349645,0.378925
773,1.078846,1.461958,0.383113,0.378902
181,1.105300,1.521715,0.416415,0.378657
569,1.084234,1.475707,0.391473,0.378626
65,1.276497,1.740110,0.463613,0.378361
844,1.246997,1.684033,0.437036,0.378322
870,1.034958,1.405037,0.370079,0.378109
664,1.007968,1.366871,0.358904,0.377600
624,1.375429,1.843315,0.467886,0.377129
607,0.978557,1.328415,0.349859,0.377059
1020,1.047494,1.420284,0.372790,0.376789
1015,0.902776,1.213555,0.310780,0.376424
222,0.986492,1.320564,0.334073,0.376124
189,1.256994,1.690244,0.433250,0.375549
911,0.981888,1.321225,0.339338,0.375211
580,1.258349,1.690763,0.432414,0.375179
414,1.093542,1.469954,0.376412,0.375123
141,1.264551,1.710482,0.445931,0.374919
314,1.033706,1.397162,0.363456,0.374918
234,0.921097,1.246508,0.325411,0.374678
214,0.942285,1.264609,0.322324,0.374644
94,1.060577,1.433847,0.373270,0.373984
674,1.008472,1.375818,0.367345,0.373799
501,1.432642,1.926747,0.494105,0.373451
459,0.920815,1.253358,0.332544,0.373020
963,1.859268,2.500460,0.641192,0.372958
518,1.054014,1.406640,0.352626,0.372916
825,0.925056,1.246929,0.321873,0.372623
369,1.088019,1.461103,0.373084,0.372517
433,1.055995,1.435236,0.379241,0.372387
842,1.206066,1.625470,0.419404,0.372311
763,1.082392,1.467930,0.385538,0.372213
478,1.117824,1.499107,0.381283,0.371943
595,0.981782,1.329398,0.347615,0.371653
583,1.112935,1.502069,0.389134,0.371405
750,1.034823,1.406106,0.371283,0.370722
463,1.196547,1.609175,0.412627,0.370002
576,1.020616,1.364796,0.344180,0.369766
365,1.438046,1.937172,0.499125,0.369270
108,1.208898,1.637743,0.428845,0.369061
943,0.880249,1.195627,0.315378,0.368548
1021,0.885913,1.196884,0.310971,0.368429
50,0.975505,1.311062,0.335557,0.368229
159,1.073737,1.445554,0.371817,0.368021
198,0.998599,1.337580,0.338980,0.367771
121,1.055917,1.419758,0.363840,0.367728
440,1.098073,1.481190,0.383117,0.367548
430,1.069330,1.433953,0.364624,0.367365
124,0.949278,1.274437,0.325159,0.367324
514,1.029566,1.392425,0.362860,0.366919
312,0.911483,1.215850,0.304367,0.366908
609,1.015460,1.365280,0.349820,0.366838
239,1.028244,1.380477,0.352233,0.366610
953,1.031958,1.377320,0.345363,0.366241
357,1.250629,1.678928,0.428300,0.366095
338,1.078748,1.460206,0.381458,0.365952
406,0.936021,1.256768,0.320748,0.365936
311,1.042338,1.389418,0.347080,0.365821
160,1.097918,1.453527,0.355608,0.365786
950,1.223347,1.637036,0.413689,0.365647
732,0.957134,1.290697,0.333563,0.365288
136,0.912274,1.210601,0.298326,0.365194
96,0.890539,1.193114,0.302575,0.364582
795,0.906636,1.215546,0.308910,0.364500
422,1.178538,1.569100,0.390563,0.364499
612,1.653132,2.231183,0.578050,0.364049
668,1.028089,1.374660,0.346571,0.363870
708,1.084136,1.450222,0.366086,0.363794
443,1.563390,2.072488,0.509097,0.363551
