dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
401,0.855341,0.789923,-0.065418,-0.095636
78,0.809377,0.750595,-0.058782,-0.094895
278,0.849129,0.786185,-0.062944,-0.094260
240,0.867370,0.803138,-0.064232,-0.094252
346,0.900033,0.834910,-0.065123,-0.093017
130,0.851853,0.791558,-0.060295,-0.092626
256,0.712487,0.661249,-0.051237,-0.092383
156,0.862283,0.799542,-0.062740,-0.092342
354,0.792249,0.735689,-0.056561,-0.091869
204,0.915667,0.853520,-0.062146,-0.090448
226,0.886729,0.826930,-0.059800,-0.089860
149,0.819398,0.763700,-0.055698,-0.088147
285,0.838735,0.782623,-0.056111,-0.087632
301,0.801450,0.747649,-0.053801,-0.086354
251,0.824190,0.769222,-0.054967,-0.086258
48,0.771955,0.720398,-0.051557,-0.085887
95,0.856351,0.800548,-0.055803,-0.084488
25,0.795156,0.744018,-0.051138,-0.084391
405,0.719889,0.673223,-0.046666,-0.082144
294,0.842031,0.789658,-0.052373,-0.081074
410,0.791387,0.743999,-0.047388,-0.080285
326,0.840277,0.787072,-0.053205,-0.079910
77,0.716135,0.671548,-0.044587,-0.079144
21,0.870402,0.817700,-0.052702,-0.078867
349,0.925101,0.869733,-0.055367,-0.078559
480,0.821059,0.770863,-0.050196,-0.078488
338,0.821010,0.771935,-0.049075,-0.078473
463,0.737415,0.692606,-0.044809,-0.078000
262,0.772746,0.725446,-0.047300,-0.077035
227,0.827768,0.778751,-0.049017,-0.076993
270,0.808545,0.761025,-0.047520,-0.075743
376,0.788694,0.745088,-0.043606,-0.074151
125,0.766455,0.722827,-0.043628,-0.073928
367,0.769114,0.727011,-0.042103,-0.072730
417,0.910874,0.858565,-0.052309,-0.072193
159,0.859412,0.811901,-0.047511,-0.071417
443,0.848395,0.801874,-0.046520,-0.071408
212,0.827308,0.780819,-0.046489,-0.071053
109,0.889737,0.840423,-0.049314,-0.070329
183,0.752221,0.709559,-0.042662,-0.069828
91,0.840249,0.796186,-0.044063,-0.066963
263,0.822231,0.778665,-0.043566,-0.066802
500,0.787329,0.747267,-0.040062,-0.066721
442,0.799140,0.758967,-0.040173,-0.066211
483,1.022641,0.969673,-0.052968,-0.065624
413,0.824955,0.782723,-0.042232,-0.065261
195,0.832536,0.789274,-0.043262,-0.064756
7,0.811653,0.772046,-0.039607,-0.062480
472,0.761452,0.725159,-0.036293,-0.061668
120,0.919737,0.875789,-0.043948,-0.060672
192,0.976577,0.930991,-0.045586,-0.060110
295,0.839531,0.802541,-0.036989,-0.057093
291,0.995211,0.952852,-0.042359,-0.055079
366,0.744051,0.712255,-0.031796,-0.054813
114,0.842423,0.808081,-0.034342,-0.051652
163,0.791118,0.759743,-0.031375,-0.051554
304,0.767967,0.737111,-0.030856,-0.051234
40,0.822506,0.791109,-0.031397,-0.049984
309,0.877735,0.845785,-0.031951,-0.047556
465,0.730822,0.703394,-0.027428,-0.047375
290,0.709043,0.683512,-0.025531,-0.047234
264,0.955875,0.924185,-0.031690,-0.043235
61,0.820599,0.793122,-0.027477,-0.042815
137,0.965311,0.933128,-0.032182,-0.042778
246,0.833487,0.805776,-0.027711,-0.041946
247,0.826648,0.799407,-0.027241,-0.041791
487,0.877219,0.906990,0.029771,0.041553
103,0.868231,0.841879,-0.026353,-0.039446
200,0.707878,0.728335,0.020457,0.035604
188,0.709062,0.729025,0.019963,0.035287
344,0.761543,0.740699,-0.020844,-0.034749
231,0.717293,0.697244,-0.020048,-0.034009
105,0.800748,0.779769,-0.020979,-0.032179
259,0.820886,0.842297,0.021412,0.031824
24,0.869923,0.848577,-0.021346,-0.031066
287,0.968610,0.945589,-0.023021,-0.030689
250,0.857002,0.835955,-0.021048,-0.030290
56,0.820513,0.838761,0.018248,0.028015
151,0.796125,0.778590,-0.017534,-0.027977
426,0.767663,0.750552,-0.017111,-0.027432
30,0.804274,0.786881,-0.017393,-0.026820
42,0.741310,0.725418,-0.015892,-0.026785
350,0.871253,0.854530,-0.016723,-0.024731
245,0.920288,0.904770,-0.015518,-0.021646
297,0.805975,0.792905,-0.013070,-0.020394
341,0.717612,0.706177,-0.011434,-0.019928
33,0.756651,0.744895,-0.011756,-0.019787
16,0.724185,0.714246,-0.009938,-0.017281
306,0.817608,0.806840,-0.010768,-0.016523
131,0.845307,0.834483,-0.010824,-0.016308
386,0.739216,0.730539,-0.008677,-0.014493
311,0.742771,0.734556,-0.008216,-0.014001
385,0.742143,0.734003,-0.008140,-0.013542
360,0.876171,0.866959,-0.009212,-0.013083
497,0.863028,0.855604,-0.007424,-0.010636
501,0.707679,0.702913,-0.004766,-0.008306
347,0.805660,0.800701,-0.004959,-0.007879
277,0.833264,0.828876,-0.004388,-0.006690
298,0.812699,0.809896,-0.002803,-0.004307
