dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
205,1.145363,0.867453,0.953736,0.742673,-0.191626,0.191626,-0.237315,46
433,0.993540,0.724689,0.806084,0.611157,-0.187456,0.187456,-0.279646,47
474,1.084732,0.797994,0.899113,0.707205,-0.185619,0.185619,-0.246190,48
471,1.147586,0.829861,0.964172,0.731581,-0.183414,0.183414,-0.234465,49
353,1.124005,0.790608,0.941699,0.677800,-0.182305,0.182305,-0.247574,50
493,1.018603,0.780947,0.836438,0.671380,-0.182165,0.182165,-0.250149,51
139,1.190160,0.878620,1.008438,0.779669,-0.181722,0.181722,-0.218779,52
52,1.005018,0.712744,0.826161,0.625532,-0.178857,0.178857,-0.266729,53
394,1.144094,0.824532,0.966261,0.734528,-0.177833,0.177833,-0.227749,54
314,0.997366,0.707011,0.819591,0.645742,-0.177775,0.177775,-0.262565,55
197,0.965128,0.706735,0.791091,0.608808,-0.174037,0.174037,-0.263855,56
388,1.057569,0.753685,0.883697,0.672951,-0.173872,0.173872,-0.243362,57
447,1.071739,0.757093,0.898245,0.690256,-0.173494,0.173494,-0.239485,58
343,1.155007,0.811943,0.982065,0.738626,-0.172942,0.172942,-0.222820,59
84,1.128215,0.838216,0.955722,0.722847,-0.172493,0.172493,-0.220393,60
489,1.143330,0.810606,0.972817,0.760388,-0.170513,0.170513,-0.216966,61
164,1.030786,0.765546,0.861124,0.663161,-0.169663,0.169663,-0.236898,62
255,1.174940,0.843441,1.007261,0.793272,-0.167679,0.167679,-0.204801,63
478,1.055151,0.778155,0.889239,0.725157,-0.165912,0.165912,-0.220592,64
100,0.958753,0.660768,0.792909,0.610390,-0.165844,0.165844,-0.260730,65
404,0.948258,0.681156,0.783484,0.611546,-0.164774,0.164774,-0.254560,66
93,0.965275,0.679666,0.800622,0.614823,-0.164653,0.164653,-0.254072,67
339,1.113183,0.813723,0.950339,0.711510,-0.162843,0.162843,-0.213055,68
180,1.088237,0.809049,0.926460,0.703994,-0.161777,0.161777,-0.213330,69
14,1.000769,0.717329,0.839186,0.673227,-0.161583,0.161583,-0.232284,70
476,0.968183,0.737735,0.807676,0.641404,-0.160507,0.160507,-0.232199,71
485,0.990852,0.707731,0.831401,0.648442,-0.159451,0.159451,-0.234924,72
60,1.018206,0.719044,0.860523,0.657997,-0.157683,0.157683,-0.228792,73
273,1.074932,0.809143,0.917361,0.716135,-0.157571,0.157571,-0.206229,74
371,1.201840,0.840005,1.044794,0.826710,-0.157046,0.157046,-0.188444,75
143,1.074090,0.798175,0.919431,0.691586,-0.154660,0.154660,-0.207101,76
89,1.127222,0.810688,0.973668,0.778243,-0.153554,0.153554,-0.193240,77
174,1.272508,0.945975,1.119360,0.856362,-0.153148,0.153148,-0.169734,78
455,0.980932,0.719185,0.827878,0.641598,-0.153054,0.153054,-0.224585,79
238,0.955366,0.675810,0.802714,0.612181,-0.152652,0.152652,-0.236750,80
36,0.986487,0.722253,0.834952,0.661288,-0.151535,0.151535,-0.218841,81
357,0.957460,0.743159,0.805984,0.631662,-0.151476,0.151476,-0.219636,82
495,1.115727,0.834185,0.964822,0.771878,-0.150906,0.150906,-0.187779,83
96,1.072848,0.819350,0.922141,0.703536,-0.150707,0.150707,-0.197352,84
128,0.950383,0.727253,0.801176,0.627941,-0.149207,0.149207,-0.219611,85
421,0.996840,0.743988,0.848133,0.680436,-0.148707,0.148707,-0.208588,86
416,1.031793,0.749364,0.883153,0.678818,-0.148640,0.148640,-0.207900,87
202,0.971786,0.710125,0.823203,0.629250,-0.148582,0.148582,-0.221465,88
106,1.073196,0.767928,0.928487,0.706959,-0.144709,0.144709,-0.196064,89
510,1.109005,0.841407,0.967853,0.789182,-0.141152,0.141152,-0.173041,90
101,0.971971,0.707298,0.832373,0.647947,-0.139598,0.139598,-0.205814,91
193,0.943371,0.690262,0.807540,0.633334,-0.135831,0.135831,-0.205055,92
107,1.063516,0.783830,0.928762,0.710782,-0.134755,0.134755,-0.180106,93
379,1.006396,0.757046,0.872258,0.658023,-0.134138,0.134138,-0.189123,94
345,0.959422,0.785567,0.828992,0.667262,-0.130430,0.130430,-0.178961,95
422,0.981286,0.711308,0.851712,0.654973,-0.129574,0.129574,-0.189514,96
302,0.914292,0.695966,0.785943,0.641522,-0.128350,0.128350,-0.191767,97
411,0.986267,0.738728,0.858200,0.672140,-0.128067,0.128067,-0.181342,98
438,0.999469,0.770637,0.872715,0.676078,-0.126755,0.126755,-0.174858,99
382,1.051245,0.781313,0.924669,0.724974,-0.126576,0.126576,-0.167945,100
83,0.878789,0.653248,0.752307,0.591069,-0.126483,0.126483,-0.203043,101
307,1.005491,0.736555,0.879163,0.686461,-0.126329,0.126329,-0.177441,102
80,0.935139,0.708579,0.810715,0.642203,-0.124424,0.124424,-0.184004,103
473,1.044829,0.803148,0.921854,0.716334,-0.122975,0.122975,-0.161601,104
437,0.904832,0.667407,0.782202,0.605334,-0.122630,0.122630,-0.192473,105
170,0.969574,0.705936,0.847408,0.635549,-0.122166,0.122166,-0.181885,106
266,0.957576,0.734749,0.835420,0.646021,-0.122156,0.122156,-0.176575,107
