Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
musicgen_pitchU4,0.044804575786463297,0.347005742411813,0.07936210131332083,0.05425441859271991,423,9018,796,227946
musicgen_pitchU4_tempo110,0.042878369772872,0.3314191960623462,0.07593271309087492,0.051918677872876344,404,9018,815,227946
musicgen_tempo090,0.04611804527184261,0.3576702214930271,0.08170148974046659,0.05584731651082362,436,9018,783,227946
musicgen_tempo095,0.044905740309256516,0.34782608695652173,0.07954225682393772,0.05437710005899402,424,9018,795,227946
musicgen_tempo105,0.04318302387267905,0.3338802296964725,0.0764750093949643,0.05228808551093296,407,9018,812,227946
musicgen_tempo110,0.04318302387267905,0.3338802296964725,0.0764750093949643,0.05228808551093296,407,9018,812,227946
none_pitchD2,0.1189057156814851,0.9983593109105825,0.21250218264361795,0.1443345430394459,1217,9018,2,227946
none_pitchD4,0.11821648577295395,0.9917965545529123,0.21125283941988468,0.1434946708761602,1209,9018,10,227946
none_pitchD4_tempo090,0.11518838304552591,0.963084495488105,0.20576636578739813,0.13980517779312646,1174,9018,45,227946
none_pitchU2,0.11899179366940212,0.9991796554552912,0.21265822784810126,0.14443943742143586,1218,9018,1,227946
none_pitchU4,0.11881962087160446,0.9975389663658737,0.21234611018947,0.14422962875103784,1216,9018,3,227946
none_pitchU4_tempo110,0.11709418445271197,0.9811320754716981,0.2092189276655296,0.1421271538918598,1196,9018,23,227946
none_tempo090,0.11881962087160446,0.9975389663658737,0.21234611018947,0.14422962875103784,1216,9018,3,227946
none_tempo095,0.11899179366940212,0.9991796554552912,0.21265822784810126,0.14443943742143586,1218,9018,1,227946
none_tempo105,0.11907785484028524,1.0,0.21281424581005587,0.1445443119026727,1219,9018,0,227946
none_tempo110,0.11899179366940212,0.9991796554552912,0.21265822784810126,0.14443943742143586,1218,9018,1,227946
smp_pitchD2,0.257166392092257,0.8309821666223051,0.39277851166886835,0.2983733776783837,3122,9018,635,227946
smp_pitchD4,0.25649270343804104,0.8280542986425339,0.3916656175248647,0.29757236049203223,3111,9018,646,227946
smp_pitchD4_tempo090,0.24332941768753147,0.7718924673941975,0.3700159489633174,0.28194209492698674,2900,9018,857,227946
smp_pitchU2,0.24950066577896138,0.7979771093957945,0.3801432828250808,0.2892649697998881,2998,9018,759,227946
smp_pitchU4,0.2528583264291632,0.8123502794783072,0.38567005749668287,0.2932528777600553,3052,9018,705,227946
smp_pitchU4_tempo110,0.24787322768974146,0.791056694170881,0.3774687242014352,0.2873329852853027,2972,9018,785,227946
smp_tempo090,0.25820514929670146,0.8355070535001331,0.3944954128440367,0.2996086666030352,3139,9018,618,227946
smp_tempo095,0.2608802557167445,0.8472185254192175,0.39892217069808245,0.3027910427883792,3183,9018,574,227946
smp_tempo105,0.2603346456692913,0.844822997072132,0.3980186845570255,0.30214183722037125,3174,9018,583,227946
smp_tempo110,0.2584491406956665,0.8365717327655043,0.39489885664028146,0.29989885689204404,3143,9018,614,227946
