Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
1a. Human Plagiarism (Base),3757,0.2630546702623192,0.8568006388075592,0.40252594723021135,0.3053789963001613,3219,9018,538,227946
1b. Human Plagiarism + DSP,37570,0.7734853812920728,0.8196433324461007,0.7958956863353235,0.7822963346848357,30794,9018,6776,227946
2. Original + DSP,12190,0.5729911454140821,0.9926989335520919,0.72659041100003,0.6259181097800675,12101,9018,89,227946
3. AI Generation (Base),5472,0.24084518898897214,0.522843567251462,0.3297792634430292,0.26996678493243753,2861,9018,2611,227946
4. AI + DSP,54701,0.7332110526004378,0.45308129650280615,0.5600714100087003,0.6525230505136671,24784,9018,29917,227946
OVERALL,113690,0.8910566944924315,0.6487729791538394,0.7508538329592247,0.8291291777391085,73759,9018,39931,227946
