label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
1a. Human Plagiarism (Base),601,0.3361,2.2712,0.5817,202,0.3361,141,0.2346,151,0.2512,107,0.178
1b. Human Plagiarism + DSP,6010,0.3163,2.3491,0.5653,1901,0.3163,1410,0.2346,1399,0.2328,1300,0.2163
2. Original + DSP,12170,0.7721,1.3735,0.865,9397,0.7721,1468,0.1206,837,0.0688,468,0.0385
3. AI Generation (Base),5460,0.5035,1.8855,0.6966,2749,0.5035,1222,0.2238,854,0.1564,635,0.1163
4. AI + DSP,54591,0.3858,2.1437,0.6181,21062,0.3858,13403,0.2455,11345,0.2078,8781,0.1609
