label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
1a. Human Plagiarism (Base),603,0.6252,1.6285,0.7718,377,0.6252,84,0.1393,131,0.2172,11,0.0182
1b. Human Plagiarism + DSP,6030,0.5867,1.7255,0.7428,3538,0.5867,715,0.1186,1671,0.2771,106,0.0176
2. Original + DSP,12190,0.9865,1.0169,0.9927,12026,0.9865,123,0.0101,40,0.0033,1,0.0001
3. AI Generation (Base),2438,0.0304,3.139,0.3431,74,0.0304,180,0.0738,1517,0.6222,667,0.2736
4. AI + DSP,24380,0.0237,3.1974,0.3336,578,0.0237,1426,0.0585,14981,0.6145,7395,0.3033
