label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
none_pitchU4_tempo110,1219,0.959,1.0509,0.9779,1169,0.959,38,0.0312,12,0.0098,0,0.0
none_tempo090,1219,1.0,1.0,1.0,1219,1.0,0,0.0,0,0.0,0,0.0
none_tempo095,1219,1.0,1.0,1.0,1219,1.0,0,0.0,0,0.0,0,0.0
none_tempo105,1219,1.0,1.0,1.0,1219,1.0,0,0.0,0,0.0,0,0.0
none_tempo110,1219,1.0,1.0,1.0,1219,1.0,0,0.0,0,0.0,0,0.0
smp_pitchD2,603,0.5672,1.7745,0.7283,342,0.5672,67,0.1111,182,0.3018,12,0.0199
smp_pitchD4,603,0.5539,1.7728,0.7243,334,0.5539,85,0.141,171,0.2836,13,0.0216
smp_pitchD4_tempo090,603,0.5075,1.8391,0.6987,306,0.5075,108,0.1791,169,0.2803,20,0.0332
smp_pitchU2,603,0.5556,1.7413,0.7295,335,0.5556,98,0.1625,161,0.267,9,0.0149
smp_pitchU4,603,0.539,1.806,0.7137,325,0.539,82,0.136,184,0.3051,12,0.0199
smp_pitchU4_tempo110,603,0.5191,1.8425,0.7012,313,0.5191,86,0.1426,190,0.3151,14,0.0232
smp_tempo090,603,0.5904,1.6866,0.7504,356,0.5904,90,0.1493,147,0.2438,10,0.0166
smp_tempo095,603,0.607,1.67,0.7584,366,0.607,78,0.1294,151,0.2504,8,0.0133
smp_tempo105,603,0.6086,1.6633,0.7597,367,0.6086,77,0.1277,154,0.2554,5,0.0083
smp_tempo110,603,0.6053,1.6716,0.7569,365,0.6053,74,0.1227,161,0.267,3,0.005
