label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
1a. Human Plagiarism (Base),603,0.6119,1.6418,0.7652,369,0.6119,92,0.1526,131,0.2172,11,0.0182
1b. Human Plagiarism + DSP,6030,0.5653,1.7468,0.7321,3409,0.5653,845,0.1401,1670,0.2769,106,0.0176
2. Original + DSP,12190,0.9847,1.0187,0.9918,12004,0.9847,145,0.0119,40,0.0033,1,0.0001
3. AI Generation (Base),5470,0.2903,2.4466,0.5348,1588,0.2903,670,0.1225,2393,0.4375,819,0.1497
4. AI + DSP,47211,0.202,2.6509,0.4743,9536,0.202,6182,0.1309,22722,0.4813,8771,0.1858
