label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
bass,8622,0.5124,1.876,0.7013,4418,0.5124,1871,0.217,1317,0.1527,1016,0.1178
drums,8621,0.4486,2.0044,0.6597,3867,0.4486,1982,0.2299,1639,0.1901,1133,0.1314
other,8620,0.442,2.0343,0.6541,3810,0.442,1997,0.2317,1520,0.1763,1293,0.15
