label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
musicgen_pitchD4_tempo090,1217,0.0255,3.0715,0.3482,31,0.0255,118,0.097,801,0.6582,267,0.2194
musicgen_pitchU2,1217,0.032,3.0247,0.3543,39,0.032,102,0.0838,866,0.7116,210,0.1726
musicgen_pitchU4,1217,0.0255,3.0855,0.3454,31,0.0255,94,0.0772,832,0.6836,260,0.2136
musicgen_pitchU4_tempo110,1217,0.0247,3.1191,0.3418,30,0.0247,89,0.0731,804,0.6606,294,0.2416
musicgen_tempo090,1217,0.0403,2.9548,0.3679,49,0.0403,156,0.1282,813,0.668,199,0.1635
musicgen_tempo095,1217,0.0386,2.9638,0.366,47,0.0386,151,0.1241,818,0.6721,201,0.1652
musicgen_tempo105,1217,0.0362,2.9737,0.3627,44,0.0362,133,0.1093,851,0.6993,189,0.1553
musicgen_tempo110,1217,0.0378,2.9778,0.3628,46,0.0378,127,0.1044,852,0.7001,192,0.1578
none_pitchD2,1217,0.9885,1.0131,0.994,1203,0.9885,13,0.0107,0,0.0,1,0.0008
none_pitchD4,1217,0.9712,1.0353,0.9845,1182,0.9712,27,0.0222,8,0.0066,0,0.0
none_pitchD4_tempo090,1217,0.9334,1.0896,0.9629,1136,0.9334,53,0.0435,28,0.023,0,0.0
none_pitchU2,1217,0.9901,1.0099,0.9951,1205,0.9901,12,0.0099,0,0.0,0,0.0
none_pitchU4,1217,0.9827,1.0189,0.9911,1196,0.9827,19,0.0156,2,0.0016,0,0.0
none_pitchU4_tempo110,1217,0.9548,1.0551,0.9758,1162,0.9548,43,0.0353,12,0.0099,0,0.0
none_tempo090,1217,1.0,1.0,1.0,1217,1.0,0,0.0,0,0.0,0,0.0
none_tempo095,1217,1.0,1.0,1.0,1217,1.0,0,0.0,0,0.0,0,0.0
none_tempo105,1217,1.0,1.0,1.0,1217,1.0,0,0.0,0,0.0,0,0.0
none_tempo110,1217,1.0,1.0,1.0,1217,1.0,0,0.0,0,0.0,0,0.0
smp_pitchD2,601,0.5657,1.792,0.7253,340,0.5657,61,0.1015,185,0.3078,15,0.025
smp_pitchD4,601,0.5474,1.8053,0.717,329,0.5474,75,0.1248,182,0.3028,15,0.025
smp_pitchD4_tempo090,601,0.4975,1.8902,0.6873,299,0.4975,92,0.1531,187,0.3111,23,0.0383
smp_pitchU2,601,0.5641,1.7537,0.73,339,0.5641,78,0.1298,177,0.2945,7,0.0116
smp_pitchU4,601,0.5324,1.8286,0.7088,320,0.5324,84,0.1398,177,0.2945,20,0.0333
smp_pitchU4_tempo110,601,0.5141,1.8519,0.6983,309,0.5141,88,0.1464,188,0.3128,16,0.0266
smp_tempo090,601,0.5874,1.7155,0.7446,353,0.5874,76,0.1265,162,0.2696,10,0.0166
smp_tempo095,601,0.589,1.7055,0.7469,354,0.589,81,0.1348,155,0.2579,11,0.0183
smp_tempo105,601,0.604,1.6855,0.7551,363,0.604,74,0.1231,154,0.2562,10,0.0166
smp_tempo110,601,0.6057,1.6772,0.7569,364,0.6057,76,0.1265,152,0.2529,9,0.015
