label,n_queries,top1_accuracy,mean_rank,mrr,rank_1_count,rank_1_rate,rank_2_count,rank_2_rate,rank_3_count,rank_3_rate,rank_4_count,rank_4_rate
musicgen_pitchD4_tempo090,1219,0.2953,2.3257,0.5596,360,0.2953,328,0.2691,305,0.2502,226,0.1854
musicgen_pitchU2,1219,0.3651,2.1608,0.6073,445,0.3651,314,0.2576,279,0.2289,181,0.1485
musicgen_pitchU4,1219,0.3388,2.2313,0.5881,413,0.3388,312,0.2559,293,0.2404,201,0.1649
musicgen_pitchU4_tempo110,1219,0.3232,2.2863,0.5753,394,0.3232,306,0.251,295,0.242,224,0.1838
musicgen_tempo090,1219,0.3675,2.187,0.6055,448,0.3675,302,0.2477,262,0.2149,207,0.1698
musicgen_tempo095,1219,0.379,2.1608,0.6131,462,0.379,298,0.2445,260,0.2133,199,0.1632
musicgen_tempo105,1219,0.4036,2.1296,0.6267,492,0.4036,278,0.2281,248,0.2034,201,0.1649
musicgen_tempo110,1219,0.3831,2.1657,0.6141,467,0.3831,288,0.2363,259,0.2125,205,0.1682
none_pitchD2,1219,0.7842,1.3404,0.8744,956,0.7842,155,0.1272,64,0.0525,44,0.0361
none_pitchD4,1219,0.7112,1.4701,0.829,867,0.7112,184,0.1509,115,0.0943,53,0.0435
none_pitchD4_tempo090,1219,0.6341,1.6407,0.7778,773,0.6341,206,0.169,145,0.1189,95,0.0779
none_pitchU2,1219,0.8244,1.2715,0.8983,1005,0.8244,127,0.1042,57,0.0468,30,0.0246
none_pitchU4,1219,0.8048,1.3175,0.8848,981,0.8048,130,0.1066,67,0.055,41,0.0336
none_pitchU4_tempo110,1219,0.6932,1.5398,0.8134,845,0.6932,172,0.1411,120,0.0984,82,0.0673
none_tempo090,1219,0.8236,1.2863,0.8955,1004,0.8236,111,0.0911,74,0.0607,30,0.0246
none_tempo095,1219,0.8244,1.2715,0.8981,1005,0.8244,124,0.1017,63,0.0517,27,0.0221
none_tempo105,1219,0.8007,1.3167,0.8832,976,0.8007,136,0.1116,71,0.0582,36,0.0295
none_tempo110,1219,0.8162,1.2945,0.8921,995,0.8162,125,0.1025,63,0.0517,36,0.0295
smp_pitchD2,603,0.3267,2.393,0.5647,197,0.3267,126,0.209,126,0.209,154,0.2554
smp_pitchD4,603,0.3217,2.3416,0.5687,194,0.3217,142,0.2355,134,0.2222,133,0.2206
smp_pitchD4_tempo090,603,0.3051,2.3814,0.5569,184,0.3051,141,0.2338,142,0.2355,136,0.2255
smp_pitchU2,603,0.2952,2.403,0.5504,178,0.2952,143,0.2371,143,0.2371,139,0.2305
smp_pitchU4,603,0.3051,2.3499,0.5608,184,0.3051,150,0.2488,143,0.2371,126,0.209
smp_pitchU4_tempo110,603,0.3134,2.3101,0.5684,189,0.3134,151,0.2504,150,0.2488,113,0.1874
smp_tempo090,603,0.3317,2.3466,0.5714,200,0.3317,129,0.2139,139,0.2305,135,0.2239
smp_tempo095,603,0.3466,2.2968,0.5829,209,0.3466,128,0.2123,144,0.2388,122,0.2023
smp_tempo105,603,0.3068,2.3648,0.558,185,0.3068,133,0.2206,165,0.2736,120,0.199
smp_tempo110,603,0.2935,2.325,0.5598,177,0.2935,170,0.2819,139,0.2305,117,0.194
