final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_mgeldm_bass_tempo110,random,0.8476,26.4624,477.8801,0.8475
Negative_mgeldm_drums_none,global_nearest,0.8189,25.628,463.0941,0.8187
Negative_mgeldm_drums_none,intra_category_nearest,0.8118,25.7873,466.1654,0.8116
Negative_mgeldm_drums_none,random,0.8341,26.7051,482.7986,0.834
Negative_mgeldm_drums_pitchD2,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_pitchD2,intra_category_nearest,0.8308,25.6664,463.1306,0.8306
Negative_mgeldm_drums_pitchD2,random,0.851,26.1606,472.9759,0.8509
Negative_mgeldm_drums_pitchD4,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_pitchD4,intra_category_nearest,0.8546,25.9381,468.3337,0.8544
Negative_mgeldm_drums_pitchD4,random,0.8598,26.1095,472.4029,0.8596
Negative_mgeldm_drums_pitchD4_tempo090,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_pitchD4_tempo090,intra_category_nearest,0.8674,26.1638,472.5531,0.8673
Negative_mgeldm_drums_pitchD4_tempo090,random,0.895,27.2311,492.6745,0.8949
Negative_mgeldm_drums_pitchU2,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_pitchU2,intra_category_nearest,0.8355,25.684,463.8638,0.8354
Negative_mgeldm_drums_pitchU2,random,0.8645,26.8422,485.4169,0.8644
Negative_mgeldm_drums_pitchU4,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_pitchU4,intra_category_nearest,0.8222,25.3475,457.9131,0.8221
Negative_mgeldm_drums_pitchU4,random,0.8677,26.4952,478.3805,0.8676
Negative_mgeldm_drums_pitchU4_tempo110,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_pitchU4_tempo110,intra_category_nearest,0.8165,25.3095,457.0481,0.8164
Negative_mgeldm_drums_pitchU4_tempo110,random,0.8459,25.747,465.3772,0.8457
Negative_mgeldm_drums_tempo090,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_tempo090,intra_category_nearest,0.8262,25.9065,467.9961,0.826
Negative_mgeldm_drums_tempo090,random,0.8698,26.6478,482.1016,0.8696
Negative_mgeldm_drums_tempo095,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_tempo095,intra_category_nearest,0.8387,25.982,469.0472,0.8385
Negative_mgeldm_drums_tempo095,random,0.8412,25.9435,468.5708,0.841
Negative_mgeldm_drums_tempo105,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_tempo105,intra_category_nearest,0.8101,25.2314,455.9664,0.8099
Negative_mgeldm_drums_tempo105,random,0.8175,25.8331,467.4692,0.8174
Negative_mgeldm_drums_tempo110,global_nearest,0.8202,25.6656,463.7682,0.82
Negative_mgeldm_drums_tempo110,intra_category_nearest,0.8315,25.9304,468.0878,0.8312
Negative_mgeldm_drums_tempo110,random,0.8496,26.05,471.1907,0.8494
Negative_mgeldm_none,global_nearest,0.6562,24.6788,445.8894,0.6566
Negative_mgeldm_other_none,global_nearest,0.8188,25.6224,462.9988,0.8187
Negative_mgeldm_other_none,intra_category_nearest,0.8208,25.7997,465.9339,0.8206
Negative_mgeldm_other_none,random,0.8266,26.0862,471.4577,0.8265
Negative_mgeldm_other_pitchD2,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_pitchD2,intra_category_nearest,0.8527,25.8689,467.5787,0.8526
Negative_mgeldm_other_pitchD2,random,0.8786,26.4001,476.518,0.8785
Negative_mgeldm_other_pitchD4,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_pitchD4,intra_category_nearest,0.8639,26.0374,470.8604,0.8637
Negative_mgeldm_other_pitchD4,random,0.8762,26.3019,474.4801,0.876
Negative_mgeldm_other_pitchD4_tempo090,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_pitchD4_tempo090,intra_category_nearest,0.8809,26.2281,473.8855,0.8809
Negative_mgeldm_other_pitchD4_tempo090,random,0.8808,26.386,477.2653,0.8807
Negative_mgeldm_other_pitchU2,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_pitchU2,intra_category_nearest,0.8372,25.6034,462.4406,0.8371
Negative_mgeldm_other_pitchU2,random,0.8635,25.9666,468.9801,0.8633
Negative_mgeldm_other_pitchU4,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_pitchU4,intra_category_nearest,0.8646,26.0161,469.7279,0.8644
Negative_mgeldm_other_pitchU4,random,0.8755,26.1832,472.4734,0.8754
Negative_mgeldm_other_pitchU4_tempo110,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_pitchU4_tempo110,intra_category_nearest,0.8512,25.3094,457.2443,0.851
Negative_mgeldm_other_pitchU4_tempo110,random,0.8522,25.3172,457.0543,0.852
Negative_mgeldm_other_tempo090,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_tempo090,intra_category_nearest,0.8416,25.9865,469.5409,0.8415
Negative_mgeldm_other_tempo090,random,0.864,26.539,478.6156,0.864
Negative_mgeldm_other_tempo095,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_tempo095,intra_category_nearest,0.834,25.7295,465.1864,0.8339
Negative_mgeldm_other_tempo095,random,0.8475,26.0508,470.9988,0.8475
Negative_mgeldm_other_tempo105,global_nearest,0.8201,25.6586,463.6563,0.8199
Negative_mgeldm_other_tempo105,intra_category_nearest,0.845,26.1146,471.7661,0.8448
Negative_mgeldm_other_tempo105,random,0.8601,26.354,475.9424,0.86
Negative_mgeldm_other_tempo110,global_nearest,0.8201,25.6586,463.6563,0.8199
