final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_mgeldm_bass_tempo110,intra_category_nearest,0.6093,51.4087,1301.5397,0.6092
Negative_mgeldm_bass_tempo110,random,0.9617,63.7331,1611.2816,0.9618
Negative_mgeldm_drums_none,global_nearest,0.4898,46.1336,1169.1887,0.4898
Negative_mgeldm_drums_none,intra_category_nearest,0.6336,52.0024,1316.4386,0.6335
Negative_mgeldm_drums_none,random,0.9542,63.0115,1593.8817,0.9541
Negative_mgeldm_drums_pitchD2,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_pitchD2,intra_category_nearest,0.6544,52.4814,1330.7557,0.6543
Negative_mgeldm_drums_pitchD2,random,0.9616,63.0705,1594.5746,0.9615
Negative_mgeldm_drums_pitchD4,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_pitchD4,intra_category_nearest,0.6565,52.698,1334.3355,0.6564
Negative_mgeldm_drums_pitchD4,random,0.9631,62.957,1591.7264,0.9631
Negative_mgeldm_drums_pitchD4_tempo090,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_pitchD4_tempo090,intra_category_nearest,0.6773,53.3349,1349.1146,0.6772
Negative_mgeldm_drums_pitchD4_tempo090,random,0.9736,63.0461,1595.7214,0.9736
Negative_mgeldm_drums_pitchU2,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_pitchU2,intra_category_nearest,0.6519,52.4241,1327.5792,0.6518
Negative_mgeldm_drums_pitchU2,random,0.9492,62.99,1592.7338,0.9491
Negative_mgeldm_drums_pitchU4,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_pitchU4,intra_category_nearest,0.6524,52.5701,1331.7829,0.6523
Negative_mgeldm_drums_pitchU4,random,0.9455,62.7696,1588.4689,0.9454
Negative_mgeldm_drums_pitchU4_tempo110,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_pitchU4_tempo110,intra_category_nearest,0.6552,52.5459,1331.902,0.6551
Negative_mgeldm_drums_pitchU4_tempo110,random,0.9564,62.8305,1588.8666,0.9564
Negative_mgeldm_drums_tempo090,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_tempo090,intra_category_nearest,0.6638,52.9338,1341.4873,0.6636
Negative_mgeldm_drums_tempo090,random,0.9479,62.7696,1587.3866,0.9477
Negative_mgeldm_drums_tempo095,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_tempo095,intra_category_nearest,0.6553,52.5882,1332.6941,0.6553
Negative_mgeldm_drums_tempo095,random,0.9451,62.8793,1589.8604,0.9449
Negative_mgeldm_drums_tempo105,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_tempo105,intra_category_nearest,0.646,52.5276,1330.6838,0.6459
Negative_mgeldm_drums_tempo105,random,0.9626,63.4895,1605.1806,0.9625
Negative_mgeldm_drums_tempo110,global_nearest,0.4767,45.7345,1158.9337,0.4766
Negative_mgeldm_drums_tempo110,intra_category_nearest,0.644,52.432,1328.0246,0.6439
Negative_mgeldm_drums_tempo110,random,0.9538,63.5091,1607.3528,0.9537
Negative_mgeldm_none,global_nearest,0.5105,46.9135,1190.6552,0.5105
Negative_mgeldm_other_none,global_nearest,0.4899,46.1401,1169.351,0.4898
Negative_mgeldm_other_none,intra_category_nearest,0.5827,50.5317,1280.095,0.5828
