family,mean_importance,total_importance,n_features
CLEWS Distances,0.024957902252816577,0.024957902252816577,1
WEALY Distances,0.017685782998994724,0.017685782998994724,1
CLEWS Delta Summaries,0.015551390906693057,0.17106529997362363,11
WEALY Delta Summaries,0.0007449494909705478,0.008194444400676026,11
CLEWS Raw Top-K Dims,0.0004671461632670255,0.23917883559271705,512
