Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
1a. Human Plagiarism (Base),3757,0.16687013581565696,0.5821133883417621,0.2593844511652731,0.19463875687510013,2187,10919,1570,226045
1b. Human Plagiarism + DSP,37570,0.655095078653105,0.5520095821133884,0.5991506326919743,0.6315087514159389,20739,10919,16831,226045
2. Original + DSP,12190,0.526783392563058,0.9971287940935193,0.6893715970961888,0.5816568726910782,12155,10919,35,226045
3. AI Generation (Base),5472,0.3143054508917357,0.914656432748538,0.4678444569078332,0.3618002544529262,5005,10919,467,226045
4. AI + DSP,54701,0.8159336491293134,0.8848467121259209,0.8489940537790953,0.8288439474630546,48402,10919,6299,226045
OVERALL,113690,0.8901586407395857,0.778327029642009,0.8304950327784999,0.8652932226129336,88488,10919,25202,226045
