K,F05,F05_Std,F05_CI95,Precision,Prec_CI95,Recall,Rec_CI95,F1,Accuracy,Threshold,TrainTimeSec,InferTimeMs
10,0.5016938632379568,0.0029509068743474,0.0018289910296533,0.5275348964629534,0.0028859270004188,0.4205607367822437,0.0029725756378516,0.4676328819257657,0.6896884157861811,0.602147444486618,1.4989826839981837,0.0005165048879903
30,0.6124334673992999,0.002196051466492,0.0013611268006413,0.6576701899610331,0.0025753812271356,0.4807260090811033,0.0032522478809931,0.5552809925510048,0.7503910679153669,0.638318738937378,2.6459299799997824,0.0005448622766316
50,0.6468824745711268,0.0023768186296109,0.0014731674491193,0.6922566963521398,0.002534121138517,0.5130865404671792,0.0029157033868228,0.5891390907975319,0.7680649647615778,0.639598491191864,3.722530201998306,0.0005489772017771
100,0.686673927676631,0.0019220813024764,0.0011913183337143,0.731749972154232,0.0020798999117182,0.5516306423159786,0.0021493480748439,0.6287887178756939,0.7889338152658356,0.6455332303047181,6.686865369999433,0.0005742557571699
256,0.7491582915994982,0.0039956462624206,0.0024765272110632,0.7975174460832319,0.0035907151963942,0.6033608825209247,0.0018428182548372,0.686820133330224,0.8216523006297134,0.6456931126117706,22.779848956001224,0.0006644675401982
512,0.792236113762739,0.0029601982926518,0.0018347499103822,0.839511373598308,0.0023294745362676,0.6470507619357592,0.0023594827904703,0.730653509075905,0.8453649634159541,0.6426539790630341,54.81454731800012,0.000815848678579
1024,0.8114781093939503,0.0026009271424748,0.0016120713444812,0.856081509909397,0.0022582213100328,0.671853704295805,0.0010536901356073,0.7527427866315921,0.8569420526649262,0.6355174136161803,119.24839898400008,0.0010841946596932
