family,mean_importance,total_importance,n_features
CLEWS Distances,0.054649244516380806,0.21859697806552322,4
CLEWS Delta Summaries,0.028344849364746506,0.31179334301221157,11
WEALY Distances,0.019225274555650988,0.07690109822260395,4
WEALY Delta Summaries,0.006792243716031635,0.07471468087634799,11
