Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
1a. Human Plagiarism (Base),3757,0.0842756560699808,0.5256853872770828,0.1452633127390409,0.10128516774875124,1975,21460,1782,215504
1b. Human Plagiarism + DSP,37570,0.45537141841991724,0.477588501463934,0.4662154261884037,0.45964791835312685,17943,21460,19627,215504
2. Original + DSP,12190,0.35896287003016997,0.9858080393765382,0.5262881292837278,0.41126504127366564,12017,21460,173,215504
3. AI Generation (Base),5472,0.08626415737034829,0.3702485380116959,0.13992679052420748,0.10189506719240364,2026,21460,3446,215504
4. AI + DSP,54701,0.4015282503207095,0.26321273834116377,0.31798054307136786,0.3633417956625095,14398,21460,40303,215504
OVERALL,113690,0.6926338102808691,0.42535843082065267,0.5270477197303675,0.6153076856521938,48359,21460,65331,215504
