feature,importance_mean,importance_std,family
clews_topdim_933,0.0017579471662134472,0.0011149493958572253,CLEWS Raw Top-K Dims
clews_topdim_270,0.0017551705009068996,0.000662440476212827,CLEWS Raw Top-K Dims
clews_topdim_679,0.0017489954243711692,0.00023233591903792575,CLEWS Raw Top-K Dims
clews_topdim_375,0.0017342922968387243,0.0005275184359568694,CLEWS Raw Top-K Dims
clews_topdim_356,0.0017191426973098612,0.0004571539347178292,CLEWS Raw Top-K Dims
clews_topdim_246,0.0017077610376670105,0.00042538514859474433,CLEWS Raw Top-K Dims
clews_topdim_242,0.001685991363300654,9.210980474697873e-05,CLEWS Raw Top-K Dims
clews_topdim_475,0.0016816214666315553,0.0009226157225125022,CLEWS Raw Top-K Dims
clews_topdim_4,0.0016710262039582036,0.0008947435670132855,CLEWS Raw Top-K Dims
clews_topdim_1006,0.0016500206709361143,0.000379023748023299,CLEWS Raw Top-K Dims
clews_topdim_691,0.0016349955838238727,0.0003036478015682579,CLEWS Raw Top-K Dims
clews_topdim_865,0.0016132569666936325,0.0005873472088166265,CLEWS Raw Top-K Dims
clews_topdim_503,0.001608534539657125,0.0003549353419227593,CLEWS Raw Top-K Dims
clews_topdim_286,0.0015917445058858614,0.00016689863245806434,CLEWS Raw Top-K Dims
clews_topdim_670,0.001590824827066939,0.0007260143011977368,CLEWS Raw Top-K Dims
clews_topdim_758,0.0015904038508717689,0.000378053252199329,CLEWS Raw Top-K Dims
clews_topdim_452,0.0015824175948930819,0.0005914196628800903,CLEWS Raw Top-K Dims
clews_topdim_640,0.0015716281086880501,0.000531126863080366,CLEWS Raw Top-K Dims
clews_topdim_277,0.0015694577658144971,0.0005406477717121873,CLEWS Raw Top-K Dims
clews_topdim_713,0.0015491984678605464,0.0005141708911227831,CLEWS Raw Top-K Dims
clews_topdim_430,0.0015174086652498975,0.0006655219577762708,CLEWS Raw Top-K Dims
clews_topdim_201,0.0015145276286311128,0.00023689923904833866,CLEWS Raw Top-K Dims
clews_topdim_580,0.0014829328082751835,0.00031794722539704045,CLEWS Raw Top-K Dims
clews_topdim_67,0.001448472843659121,0.000460313974383063,CLEWS Raw Top-K Dims
clews_topdim_45,0.0014459291325964242,0.0005396493039425122,CLEWS Raw Top-K Dims
clews_topdim_478,0.0014388290513827062,0.0003869880085082531,CLEWS Raw Top-K Dims
clews_topdim_747,0.0014037401949193117,0.00022256652129581218,CLEWS Raw Top-K Dims
clews_topdim_415,0.001402108435430738,0.0010231198369235073,CLEWS Raw Top-K Dims
clews_topdim_194,0.0013654181979995573,0.000402648603762644,CLEWS Raw Top-K Dims
clews_topdim_601,0.001363589353456951,0.0008010727365162155,CLEWS Raw Top-K Dims
clews_topdim_739,0.0013443814501411522,0.0004222219263004706,CLEWS Raw Top-K Dims
clews_topdim_736,0.001341225685065095,0.00021675037232240604,CLEWS Raw Top-K Dims
clews_topdim_8,0.00132015788410349,0.0003417218576734443,CLEWS Raw Top-K Dims
clews_topdim_87,0.0013076337047347897,0.00036342899288385126,CLEWS Raw Top-K Dims
clews_topdim_553,0.0012901615742617833,0.000306760062523846,CLEWS Raw Top-K Dims
clews_topdim_308,0.0012804169754428551,0.0006179288410873479,CLEWS Raw Top-K Dims
clews_topdim_272,0.0012416029990115706,0.001060575368001082,CLEWS Raw Top-K Dims
clews_topdim_582,0.0012278689195482917,0.0002857975523072404,CLEWS Raw Top-K Dims
clews_topdim_51,0.0012197104940875557,0.0002178241636782903,CLEWS Raw Top-K Dims
clews_topdim_400,0.001205858825428985,0.0007712927227417251,CLEWS Raw Top-K Dims
clews_topdim_681,0.001198248840678473,0.00026575928736465997,CLEWS Raw Top-K Dims
clews_topdim_145,0.0011963664100143045,0.00046560066135989235,CLEWS Raw Top-K Dims
clews_topdim_624,0.0011644276599050763,0.0006855571880765346,CLEWS Raw Top-K Dims
clews_topdim_63,0.0011566878394152936,0.0005002869722403009,CLEWS Raw Top-K Dims
clews_topdim_636,0.0011468911536395953,0.0004095967143995287,CLEWS Raw Top-K Dims
clews_topdim_821,0.0011372106697410621,0.0007002790492492584,CLEWS Raw Top-K Dims
wealy_delta_median,0.0011179870828646131,0.00032925747290363586,WEALY Delta Summaries
clews_topdim_378,0.001082334836966048,0.0001324698175193167,CLEWS Raw Top-K Dims
clews_topdim_227,0.001081410146372419,0.0006515108758290386,CLEWS Raw Top-K Dims
clews_topdim_834,0.0010804810300122148,0.0007232522673720501,CLEWS Raw Top-K Dims
clews_topdim_245,0.0010775616076230232,0.00013785382971946572,CLEWS Raw Top-K Dims
clews_topdim_46,0.0010701570294686213,0.0007757321785951197,CLEWS Raw Top-K Dims
clews_topdim_458,0.0010557936399613111,0.0003169405598570031,CLEWS Raw Top-K Dims
clews_topdim_993,0.0010537681263019128,0.0006945320911526089,CLEWS Raw Top-K Dims
clews_topdim_822,0.0010521917644617407,0.00028477794124434066,CLEWS Raw Top-K Dims
clews_topdim_131,0.0010444428503572079,0.00025067337448983533,CLEWS Raw Top-K Dims
clews_topdim_385,0.0010408629760720433,0.0003656477771020192,CLEWS Raw Top-K Dims
clews_topdim_197,0.0010214491541073345,0.00038771857029713753,CLEWS Raw Top-K Dims
clews_topdim_749,0.001008478767451626,0.00046674565386328585,CLEWS Raw Top-K Dims
clews_topdim_172,0.001004795677806669,0.0005841913631091675,CLEWS Raw Top-K Dims
clews_topdim_627,0.0010036360614376516,0.00035807299351702844,CLEWS Raw Top-K Dims
clews_topdim_563,0.000998267493519478,0.00036836061157902666,CLEWS Raw Top-K Dims
clews_topdim_869,0.0009896778531635953,0.00031094350931386245,CLEWS Raw Top-K Dims
clews_volatile_shell_mean_delta,0.000988066938241694,0.0012375317489528757,CLEWS Delta Summaries
clews_topdim_991,0.0009665515857055773,0.0003558007220370561,CLEWS Raw Top-K Dims
clews_topdim_159,0.0009151194686305208,0.00044007676892249004,CLEWS Raw Top-K Dims
clews_topdim_92,0.0009071002288951968,0.000445232322095324,CLEWS Raw Top-K Dims
clews_topdim_880,0.0009038237409216166,0.000529521284961238,CLEWS Raw Top-K Dims
clews_topdim_132,0.0009029903778830839,0.0012700272976790107,CLEWS Raw Top-K Dims
clews_topdim_536,0.0009019394381801549,0.000264919232497533,CLEWS Raw Top-K Dims
clews_topdim_169,0.0008921641388415669,0.0002817254462848355,CLEWS Raw Top-K Dims
clews_topdim_34,0.0008903734896421156,0.0009518496490934002,CLEWS Raw Top-K Dims
clews_topdim_970,0.0008814847130395043,0.0004710865053694378,CLEWS Raw Top-K Dims
clews_topdim_258,0.0008779798917239346,0.00032098212396916933,CLEWS Raw Top-K Dims
clews_topdim_757,0.0008587180807088091,0.00040853159388513937,CLEWS Raw Top-K Dims
clews_topdim_723,0.000857576123699122,0.0003280262192310469,CLEWS Raw Top-K Dims
clews_topdim_1009,0.0008565459973609135,0.0003405252204948386,CLEWS Raw Top-K Dims
clews_topdim_855,0.0008436394671916814,0.0003829208482239539,CLEWS Raw Top-K Dims
clews_topdim_935,0.0008371410809361101,0.00039464296413566655,CLEWS Raw Top-K Dims
clews_topdim_963,0.0008361154311112395,0.0003207641335277333,CLEWS Raw Top-K Dims
clews_topdim_760,0.0008278222264606506,0.0002448790314334965,CLEWS Raw Top-K Dims
clews_topdim_905,0.0008234002297412779,0.0008282532486048096,CLEWS Raw Top-K Dims
clews_topdim_939,0.0008216004469603133,0.00027758863715553677,CLEWS Raw Top-K Dims
clews_topdim_9,0.0008165819369375215,0.00011435115111509378,CLEWS Raw Top-K Dims
clews_topdim_444,0.0008119591288421324,0.00013476999178267562,CLEWS Raw Top-K Dims
clews_topdim_447,0.0007956607390625647,0.00035003589994334267,CLEWS Raw Top-K Dims
clews_topdim_661,0.0007950462572803296,0.00047072107529886215,CLEWS Raw Top-K Dims
clews_topdim_413,0.0007906288255070893,0.00029763656588015,CLEWS Raw Top-K Dims
clews_topdim_357,0.0007881531234863459,0.00037095013863722214,CLEWS Raw Top-K Dims
clews_topdim_534,0.0007768567108130009,0.0005105671157778633,CLEWS Raw Top-K Dims
clews_topdim_411,0.0007692076779862056,0.0006205740195818067,CLEWS Raw Top-K Dims
clews_topdim_492,0.0007641046854131028,0.0007002460219673241,CLEWS Raw Top-K Dims
clews_topdim_189,0.0007598763453695367,0.0006714783317806515,CLEWS Raw Top-K Dims
clews_topdim_99,0.0007494121562203526,0.00016062548112631046,CLEWS Raw Top-K Dims
