K,F05,Precision,Recall,F1,Accuracy,Threshold
10,0.4850475876201366,0.6756272737684654,0.2282683136780636,0.3410612830868051,0.7141321388964114,0.6198442220503209
30,0.5280615925978636,0.7366800521468218,0.24872912692185084,0.37133945502296395,0.727076463342595,0.652436845581265
50,0.5241210020793302,0.6408949938423282,0.30554753522822276,0.41274384804793307,0.7186094115900671,0.6392998981793852
100,0.5562556860714736,0.6666079131657618,0.3354723256946195,0.44597190532516534,0.7298634717436309,0.6604415072717323
256,0.5911959811371479,0.6763817883284368,0.3935876948906157,0.4974247563750135,0.74245507421059,0.6912313233156857
512,0.6431808413818153,0.7020644535577933,0.48322881298130244,0.5718084953946272,0.7655368899586354,0.7009959413990264
1024,0.6979,0.7472,0.5536,0.6355,0.7944,0.7271
