Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
1a. Human Plagiarism (Base),3757,0.1805183199285076,0.860260846420016,0.29841650893310556,0.21440038209969087,3232,14672,525,222292
1b. Human Plagiarism + DSP,37570,0.6797904845045831,0.8290657439446367,0.7470440100731502,0.7051845143762735,31148,14672,6422,222292
2. Original + DSP,12190,0.4521079950707644,0.9931911402789172,0.6213657009417742,0.507392754765058,12107,14672,83,222292
3. AI Generation (Base),5472,0.17429230682649557,0.5659722222222222,0.26651176799621357,0.2022913727334483,3097,14672,2375,222292
4. AI + DSP,54701,0.6512644989541738,0.5009049194713077,0.5662736507083588,0.6143800815286853,27400,14672,27301,222292
OVERALL,113690,0.8399231910622327,0.6771395901134665,0.7497979020774692,0.8013924224569761,76984,14672,36706,222292
