family,mean_importance,total_importance,n_features
Vocal Metadata,0.09975378765593416,0.49876893827967084,5
WEALY Distances,0.06072097193736019,0.06072097193736019,1
CLEWS Distances,0.026966866275513656,0.026966866275513656,1
CLEWS Delta Summaries,0.026667780440219578,0.29334558484241535,11
WEALY Delta Summaries,0.004266628350147064,0.0469329118516177,11
