final_mod_type,distance_col,threshold,failure_rate,n_samples
Negative_SMP_plag,cosine_distance,0.8391490578651428,12.416555407209612,1498
Negative_SMP_plag_doubt,cosine_distance,0.8391490578651428,3.7259615384615383,832
Negative_SMP_remake,cosine_distance,0.8391490578651428,7.28801681850035,1427
Negative_musicgen,cosine_distance,0.8391490578651428,54.799015586546346,1219
Negative_musicgen_pitchD2,cosine_distance,0.8391490578651428,63.412633305988514,1219
Negative_musicgen_pitchD4,cosine_distance,0.8391490578651428,64.64315012305168,1219
Negative_musicgen_pitchD4_tempo090,cosine_distance,0.8391490578651428,65.2994257588187,1219
Negative_musicgen_pitchU2,cosine_distance,0.8391490578651428,60.21328958162428,1219
Negative_musicgen_pitchU4,cosine_distance,0.8391490578651428,62.264150943396224,1219
Negative_musicgen_pitchU4_tempo110,cosine_distance,0.8391490578651428,65.05332239540607,1219
Negative_musicgen_tempo090,cosine_distance,0.8391490578651428,56.52173913043478,1219
Negative_musicgen_tempo095,cosine_distance,0.8391490578651428,55.86546349466776,1219
Negative_musicgen_tempo105,cosine_distance,0.8391490578651428,56.27563576702215,1219
Negative_musicgen_tempo110,cosine_distance,0.8391490578651428,54.799015586546346,1219
SMP_plag,cosine_distance,0.8391490578651428,11.615487316421897,1498
SMP_plag_doubt,cosine_distance,0.8391490578651428,2.644230769230769,832
SMP_remake,cosine_distance,0.8391490578651428,6.587245970567625,1427
musicgen,cosine_distance,0.8391490578651428,40.77112387202625,1219
musicgen_pitchD2,cosine_distance,0.8391490578651428,49.876948318293685,1219
musicgen_pitchD4,cosine_distance,0.8391490578651428,51.51763740771124,1219
musicgen_pitchD4_tempo090,cosine_distance,0.8391490578651428,53.814602132895814,1219
musicgen_pitchU2,cosine_distance,0.8391490578651428,47.908121410992614,1219
musicgen_pitchU4,cosine_distance,0.8391490578651428,50.943396226415096,1219
musicgen_pitchU4_tempo110,cosine_distance,0.8391490578651428,53.32239540607055,1219
musicgen_tempo090,cosine_distance,0.8391490578651428,42.08367514356029,1219
musicgen_tempo095,cosine_distance,0.8391490578651428,41.345365053322396,1219
musicgen_tempo105,cosine_distance,0.8391490578651428,41.755537325676784,1219
musicgen_tempo110,cosine_distance,0.8391490578651428,40.11484823625923,1219
Negative_SMP_plag,euclidean_distance,0.8391490578651428,78.17089452603471,1498
Negative_SMP_plag_doubt,euclidean_distance,0.8391490578651428,94.71153846153847,832
Negative_SMP_remake,euclidean_distance,0.8391490578651428,46.951646811492644,1427
Negative_musicgen,euclidean_distance,0.8391490578651428,99.75389663658737,1219
Negative_musicgen_pitchD2,euclidean_distance,0.8391490578651428,99.91796554552913,1219
Negative_musicgen_pitchD4,euclidean_distance,0.8391490578651428,99.83593109105824,1219
Negative_musicgen_pitchD4_tempo090,euclidean_distance,0.8391490578651428,100.0,1219
Negative_musicgen_pitchU2,euclidean_distance,0.8391490578651428,99.91796554552913,1219
Negative_musicgen_pitchU4,euclidean_distance,0.8391490578651428,99.83593109105824,1219
Negative_musicgen_pitchU4_tempo110,euclidean_distance,0.8391490578651428,100.0,1219
Negative_musicgen_tempo090,euclidean_distance,0.8391490578651428,99.91796554552913,1219
Negative_musicgen_tempo095,euclidean_distance,0.8391490578651428,99.83593109105824,1219
Negative_musicgen_tempo105,euclidean_distance,0.8391490578651428,99.75389663658737,1219
Negative_musicgen_tempo110,euclidean_distance,0.8391490578651428,99.75389663658737,1219
SMP_plag,euclidean_distance,0.8391490578651428,77.23631508678238,1498
SMP_plag_doubt,euclidean_distance,0.8391490578651428,94.35096153846153,832
SMP_remake,euclidean_distance,0.8391490578651428,44.849334267694466,1427
musicgen,euclidean_distance,0.8391490578651428,99.09762100082034,1219
musicgen_pitchD2,euclidean_distance,0.8391490578651428,99.67186218211648,1219
musicgen_pitchD4,euclidean_distance,0.8391490578651428,99.50779327317473,1219
musicgen_pitchD4_tempo090,euclidean_distance,0.8391490578651428,100.0,1219
musicgen_pitchU2,euclidean_distance,0.8391490578651428,99.50779327317473,1219
musicgen_pitchU4,euclidean_distance,0.8391490578651428,99.58982772764561,1219
musicgen_pitchU4_tempo110,euclidean_distance,0.8391490578651428,99.67186218211648,1219
musicgen_tempo090,euclidean_distance,0.8391490578651428,99.83593109105824,1219
musicgen_tempo095,euclidean_distance,0.8391490578651428,99.58982772764561,1219
musicgen_tempo105,euclidean_distance,0.8391490578651428,99.2616899097621,1219
musicgen_tempo110,euclidean_distance,0.8391490578651428,99.42575881870386,1219
