Modification,Count,Mean_Distance,Failure_Rate_%,Mean_Safety_Margin,Robustness_Index,Winning_Metric,Threshold
Negative_SMP_plag,1498,0.5624600687873698,12.416555407209612,0.27668898907777306,0.28878510305548466,cosine_distance,0.8391490578651428
Negative_SMP_plag_doubt,832,0.6135599592414039,3.7259615384615383,0.22558909862373883,0.2588142515082761,cosine_distance,0.8391490578651428
Negative_SMP_remake,1427,0.38243900017046645,7.288016818500351,0.4567100576946764,0.5045884844949258,cosine_distance,0.8391490578651428
Negative_musicgen,1219,0.8391225093500452,54.79901558654635,2.654851509764032e-05,1.4300427372839736e-05,cosine_distance,0.8391490578651428
Negative_musicgen_pitchD2,1219,0.8648364328281912,63.41263330598852,-0.025687374963048445,-0.011199838660972163,cosine_distance,0.8391490578651428
Negative_musicgen_pitchD4,1219,0.8722183582624321,64.64315012305168,-0.033069300397289295,-0.01393347555276908,cosine_distance,0.8391490578651428
Negative_musicgen_pitchD4_tempo090,1219,0.8743624138577831,65.29942575881871,-0.035213355992640305,-0.014561461530520913,cosine_distance,0.8391490578651428
Negative_musicgen_pitchU2,1219,0.8603881842978574,60.21328958162429,-0.02123912643271455,-0.010070141460451617,cosine_distance,0.8391490578651428
Negative_musicgen_pitchU4,1219,0.8701169812063196,62.264150943396224,-0.03096792334117686,-0.013926022658948477,cosine_distance,0.8391490578651428
Negative_musicgen_pitchU4_tempo110,1219,0.8752620801072907,65.05332239540607,-0.03611302224214787,-0.015039403694626426,cosine_distance,0.8391490578651428
Negative_musicgen_tempo090,1219,0.8444811184451265,56.52173913043478,-0.005332060579983693,-0.0027626643731493805,cosine_distance,0.8391490578651428
Negative_musicgen_tempo095,1219,0.8435042200761315,55.86546349466776,-0.004355162210988644,-0.0022905711870483286,cosine_distance,0.8391490578651428
Negative_musicgen_tempo105,1219,0.8439759196953465,56.275635767022145,-0.004826861830203624,-0.002515065262082345,cosine_distance,0.8391490578651428
Negative_musicgen_tempo110,1219,0.8410504444198984,54.79901558654635,-0.0019013865547555678,-0.0010241868606953733,cosine_distance,0.8391490578651428
SMP_plag,1498,0.5549744880485916,11.615487316421897,0.28417456981655115,0.29931071965055656,cosine_distance,0.8391490578651428
SMP_plag_doubt,832,0.6071454440601743,2.644230769230769,0.2320036138049685,0.2691642211557422,cosine_distance,0.8391490578651428
SMP_remake,1427,0.36784046449774865,6.587245970567625,0.47130859336739417,0.5246533168222439,cosine_distance,0.8391490578651428
musicgen,1219,0.7894418932454718,40.77112387202625,0.04970716461967112,0.03508434484706296,cosine_distance,0.8391490578651428
musicgen_pitchD2,1219,0.8198370827916609,49.876948318293685,0.019311975073481896,0.011535198835747223,cosine_distance,0.8391490578651428
musicgen_pitchD4,1219,0.8275488569562409,51.517637407711234,0.01160020090890185,0.006702088748921062,cosine_distance,0.8391490578651428
musicgen_pitchD4_tempo090,1219,0.8324349271018942,53.814602132895814,0.006714130763248697,0.003695348250187806,cosine_distance,0.8391490578651428
musicgen_pitchU2,1219,0.8150841280316798,47.908121410992614,0.024064929833463023,0.014938792934274124,cosine_distance,0.8391490578651428
musicgen_pitchU4,1219,0.8285878846350021,50.943396226415096,0.010561173230140695,0.006174055551416229,cosine_distance,0.8391490578651428
musicgen_pitchU4_tempo110,1219,0.8364297396536241,53.322395406070555,0.002719318211518712,0.0015126187523108524,cosine_distance,0.8391490578651428
musicgen_tempo090,1219,0.7962886739745308,42.08367514356029,0.042860383890611996,0.029581346611261893,cosine_distance,0.8391490578651428
musicgen_tempo095,1219,0.7941675248744549,41.345365053322396,0.04498153299068798,0.03144108152226081,cosine_distance,0.8391490578651428
musicgen_tempo105,1219,0.7952600104873351,41.755537325676784,0.043889047377807765,0.030462930927497377,cosine_distance,0.8391490578651428
musicgen_tempo110,1219,0.7933517204531888,40.11484823625923,0.045797337411954034,0.032682876448662766,cosine_distance,0.8391490578651428
