Modification,Count,Mean_Distance,Failure_Rate_%,Mean_Safety_Margin,Robustness_Index,Winning_Metric,Threshold
Negative_SMP_plag,1498,0.882799214013269,81.5086782376502,-0.13292377579992065,-0.03277792790174938,cosine_distance,0.7498754382133483
Negative_SMP_plag_doubt,832,0.8051985945695868,69.83173076923077,-0.05532315635623845,-0.022257081488117555,cosine_distance,0.7498754382133483
Negative_SMP_remake,1427,0.7933414887947559,69.02592852137352,-0.04346605058140747,-0.017953922574320578,cosine_distance,0.7498754382133483
Negative_musicgen,1219,0.7619949476067603,64.15094339622641,-0.01211950939341198,-0.00579393530624463,cosine_distance,0.7498754382133483
Negative_musicgen_pitchD2,1219,0.8032751015897067,73.66694011484823,-0.053399663376358354,-0.018752134821374198,cosine_distance,0.7498754382133483
Negative_musicgen_pitchD4,1219,0.8092028981256524,74.81542247744053,-0.05932745991230406,-0.019925136032530617,cosine_distance,0.7498754382133483
Negative_musicgen_pitchD4_tempo090,1219,0.8454852428858743,82.44462674323215,-0.09560980467252601,-0.02238326154265892,cosine_distance,0.7498754382133483
Negative_musicgen_pitchU2,1219,0.8004431693254679,74.07711238720263,-0.05056773111211955,-0.01748105807850944,cosine_distance,0.7498754382133483
Negative_musicgen_pitchU4,1219,0.8067318577077958,74.07711238720263,-0.05685641949444744,-0.01965503196326564,cosine_distance,0.7498754382133483
Negative_musicgen_pitchU4_tempo110,1219,0.8248709831402085,78.91714520098442,-0.07499554492686011,-0.021085104293117062,cosine_distance,0.7498754382133483
Negative_musicgen_tempo090,1219,0.8076865381154005,72.84659557013946,-0.05781109990205213,-0.020933719043021957,cosine_distance,0.7498754382133483
Negative_musicgen_tempo095,1219,0.8094939646709151,73.4208367514356,-0.05961852645756676,-0.021131650198022853,cosine_distance,0.7498754382133483
Negative_musicgen_tempo105,1219,0.8043279618489342,74.07711238720263,-0.05445252363558578,-0.018824014984665675,cosine_distance,0.7498754382133483
Negative_musicgen_tempo110,1219,0.8024468504570859,72.76456111566858,-0.0525714122437375,-0.019093910939786626,cosine_distance,0.7498754382133483
SMP_plag,1498,0.8813022469407885,81.04138851802402,-0.13142680872744014,-0.033227782571374466,cosine_distance,0.7498754382133483
SMP_plag_doubt,832,0.8051267068546551,69.83173076923077,-0.05525126864130685,-0.022228160312345795,cosine_distance,0.7498754382133483
SMP_remake,1427,0.7907730008057138,68.88577435178696,-0.04089756259236543,-0.016969431513794847,cosine_distance,0.7498754382133483
musicgen,1219,0.7059318475101305,55.783429040196886,0.04394359070321784,0.025911435352459385,cosine_distance,0.7498754382133483
musicgen_pitchD2,1219,0.7734791207646032,69.15504511894996,-0.023603682551254928,-0.00970900612618873,cosine_distance,0.7498754382133483
musicgen_pitchD4,1219,0.79241182023722,71.94421657095981,-0.042536382023871624,-0.015914530060733553,cosine_distance,0.7498754382133483
musicgen_pitchD4_tempo090,1219,0.8322219785067564,79.90155865463495,-0.08234654029340803,-0.022070827013843875,cosine_distance,0.7498754382133483
musicgen_pitchU2,1219,0.7740916274335171,69.31911402789171,-0.02421618922016877,-0.009907967394190266,cosine_distance,0.7498754382133483
musicgen_pitchU4,1219,0.7835446483195072,72.19031993437244,-0.033669210106158906,-0.012486473248102698,cosine_distance,0.7498754382133483
musicgen_pitchU4_tempo110,1219,0.8093505187832595,74.56931911402789,-0.05947508056991118,-0.02016990710120551,cosine_distance,0.7498754382133483
musicgen_tempo090,1219,0.7810984829882308,68.58080393765381,-0.03122304477488246,-0.013082212246804085,cosine_distance,0.7498754382133483
musicgen_tempo095,1219,0.7747249675638075,68.41673502871205,-0.024849529350459178,-0.010466128490761997,cosine_distance,0.7498754382133483
musicgen_tempo105,1219,0.7721534110758518,66.7760459392945,-0.022277972862503433,-0.00987047059076798,cosine_distance,0.7498754382133483
musicgen_tempo110,1219,0.7762260003301137,67.76045939294504,-0.026350562116765355,-0.011328948422065596,cosine_distance,0.7498754382133483
