final_mod_type,distance_col,threshold,failure_rate,n_samples
Negative_SMP_plag,cosine_distance,0.7498754382133483,81.5086782376502,1498
Negative_SMP_plag_doubt,cosine_distance,0.7498754382133483,69.83173076923077,832
Negative_SMP_remake,cosine_distance,0.7498754382133483,69.02592852137352,1427
Negative_musicgen,cosine_distance,0.7498754382133483,64.15094339622641,1219
Negative_musicgen_pitchD2,cosine_distance,0.7498754382133483,73.66694011484823,1219
Negative_musicgen_pitchD4,cosine_distance,0.7498754382133483,74.81542247744052,1219
Negative_musicgen_pitchD4_tempo090,cosine_distance,0.7498754382133483,82.44462674323216,1219
Negative_musicgen_pitchU2,cosine_distance,0.7498754382133483,74.07711238720262,1219
Negative_musicgen_pitchU4,cosine_distance,0.7498754382133483,74.07711238720262,1219
Negative_musicgen_pitchU4_tempo110,cosine_distance,0.7498754382133483,78.91714520098441,1219
Negative_musicgen_tempo090,cosine_distance,0.7498754382133483,72.84659557013946,1219
Negative_musicgen_tempo095,cosine_distance,0.7498754382133483,73.4208367514356,1219
Negative_musicgen_tempo105,cosine_distance,0.7498754382133483,74.07711238720262,1219
Negative_musicgen_tempo110,cosine_distance,0.7498754382133483,72.76456111566858,1219
SMP_plag,cosine_distance,0.7498754382133483,81.04138851802404,1498
SMP_plag_doubt,cosine_distance,0.7498754382133483,69.83173076923077,832
SMP_remake,cosine_distance,0.7498754382133483,68.88577435178696,1427
musicgen,cosine_distance,0.7498754382133483,55.783429040196886,1219
musicgen_pitchD2,cosine_distance,0.7498754382133483,69.15504511894996,1219
musicgen_pitchD4,cosine_distance,0.7498754382133483,71.94421657095981,1219
musicgen_pitchD4_tempo090,cosine_distance,0.7498754382133483,79.90155865463494,1219
musicgen_pitchU2,cosine_distance,0.7498754382133483,69.31911402789171,1219
musicgen_pitchU4,cosine_distance,0.7498754382133483,72.19031993437244,1219
musicgen_pitchU4_tempo110,cosine_distance,0.7498754382133483,74.56931911402789,1219
musicgen_tempo090,cosine_distance,0.7498754382133483,68.58080393765381,1219
musicgen_tempo095,cosine_distance,0.7498754382133483,68.41673502871205,1219
musicgen_tempo105,cosine_distance,0.7498754382133483,66.7760459392945,1219
musicgen_tempo110,cosine_distance,0.7498754382133483,67.76045939294504,1219
Negative_SMP_plag,euclidean_distance,0.7498754382133483,98.59813084112149,1498
Negative_SMP_plag_doubt,euclidean_distance,0.7498754382133483,98.4375,832
Negative_SMP_remake,euclidean_distance,0.7498754382133483,94.81429572529782,1427
Negative_musicgen,euclidean_distance,0.7498754382133483,96.80065627563577,1219
Negative_musicgen_pitchD2,euclidean_distance,0.7498754382133483,98.27727645611157,1219
Negative_musicgen_pitchD4,euclidean_distance,0.7498754382133483,97.45693191140279,1219
Negative_musicgen_pitchD4_tempo090,euclidean_distance,0.7498754382133483,99.17965545529123,1219
Negative_musicgen_pitchU2,euclidean_distance,0.7498754382133483,97.62100082034455,1219
Negative_musicgen_pitchU4,euclidean_distance,0.7498754382133483,98.1952420016407,1219
Negative_musicgen_pitchU4_tempo110,euclidean_distance,0.7498754382133483,99.09762100082034,1219
Negative_musicgen_tempo090,euclidean_distance,0.7498754382133483,98.76948318293684,1219
Negative_musicgen_tempo095,euclidean_distance,0.7498754382133483,97.29286300246103,1219
Negative_musicgen_tempo105,euclidean_distance,0.7498754382133483,97.86710418375718,1219
Negative_musicgen_tempo110,euclidean_distance,0.7498754382133483,97.94913863822805,1219
SMP_plag,euclidean_distance,0.7498754382133483,98.53137516688919,1498
SMP_plag_doubt,euclidean_distance,0.7498754382133483,98.4375,832
SMP_remake,euclidean_distance,0.7498754382133483,94.46391030133147,1427
musicgen,euclidean_distance,0.7498754382133483,91.71452009844134,1219
musicgen_pitchD2,euclidean_distance,0.7498754382133483,96.14438063986874,1219
musicgen_pitchD4,euclidean_distance,0.7498754382133483,97.29286300246103,1219
musicgen_pitchD4_tempo090,euclidean_distance,0.7498754382133483,98.85151763740771,1219
musicgen_pitchU2,euclidean_distance,0.7498754382133483,95.32403609515997,1219
musicgen_pitchU4,euclidean_distance,0.7498754382133483,96.06234618539787,1219
musicgen_pitchU4_tempo110,euclidean_distance,0.7498754382133483,97.94913863822805,1219
musicgen_tempo090,euclidean_distance,0.7498754382133483,96.39048400328137,1219
musicgen_tempo095,euclidean_distance,0.7498754382133483,96.14438063986874,1219
musicgen_tempo105,euclidean_distance,0.7498754382133483,95.73420836751436,1219
musicgen_tempo110,euclidean_distance,0.7498754382133483,96.39048400328137,1219
