pair_id,time,final_mod_type,filename_mod,filename_ori,euclidean_distance,cosine_distance,neighborhood_confidence,relative_distance
1,73,SMP_plag,pair_1_comp_86s.wav,pair_1_ori_73s.wav,1.153881311416626,0.6657217741012573,0.7788651986484912,0.8532570462035927
1,73,SMP_plag,pair_1_comp_101s.wav,pair_1_ori_73s.wav,1.281978964805603,0.8217353820800781,0.5298264010252826,1.053220026971781
1,73,SMP_plag,pair_1_comp_204s.wav,pair_1_ori_73s.wav,1.1666873693466189,0.6805803775787354,0.7633694512408249,0.8723013506069138
1,73,SMP_plag,pair_1_comp_219s.wav,pair_1_ori_73s.wav,1.2331331968307495,0.7603092193603516,0.6551904928346732,0.9744899805757273
1,81,SMP_plag,pair_1_comp_86s.wav,pair_1_ori_81s.wav,1.2268978357315063,0.7526394724845886,0.6675987416987068,0.9646596493188331
1,81,SMP_plag,pair_1_comp_101s.wav,pair_1_ori_81s.wav,1.2565968036651611,0.7895181775093079,0.6001980659443085,1.0119271657819784
1,81,SMP_plag,pair_1_comp_204s.wav,pair_1_ori_81s.wav,1.256197214126587,0.7890158891677856,0.6007806128393336,1.0112833817218756
1,81,SMP_plag,pair_1_comp_219s.wav,pair_1_ori_81s.wav,1.2099052667617798,0.7319359183311462,0.6982407083770243,0.9381238589179088
1,145,SMP_plag,pair_1_comp_86s.wav,pair_1_ori_145s.wav,1.1439015865325928,0.6542561650276184,0.7913317022020272,0.8385615501094388
1,145,SMP_plag,pair_1_comp_101s.wav,pair_1_ori_145s.wav,1.2692136764526367,0.8054519891738892,0.5667016194803682,1.0323495668579226
1,145,SMP_plag,pair_1_comp_204s.wav,pair_1_ori_145s.wav,1.156881332397461,0.6691876649856567,0.7751951532098333,0.857699286090487
1,145,SMP_plag,pair_1_comp_219s.wav,pair_1_ori_145s.wav,1.2225468158721924,0.7473109364509583,0.6748805778865199,0.9578300530918162
1,153,SMP_plag,pair_1_comp_86s.wav,pair_1_ori_153s.wav,1.225456476211548,0.7508723139762878,0.6699289292788069,0.9623946784141305
1,153,SMP_plag,pair_1_comp_101s.wav,pair_1_ori_153s.wav,1.244832158088684,0.7748039364814758,0.6276360246999884,0.9930678910444422
1,153,SMP_plag,pair_1_comp_204s.wav,pair_1_ori_153s.wav,1.252293348312378,0.7841196656227112,0.6101596178492369,1.0050078813519758
1,153,SMP_plag,pair_1_comp_219s.wav,pair_1_ori_153s.wav,1.1934372186660769,0.7121468186378479,0.7244553186531516,0.9127601267880298
3,3,SMP_plag,pair_3_comp_176s.wav,pair_3_ori_3s.wav,1.185094714164734,0.7022253274917603,0.7367470581381801,0.9000437300009867
3,3,SMP_plag,pair_3_comp_179s.wav,pair_3_ori_3s.wav,1.191115379333496,0.7093784809112549,0.7277175812652918,0.909211942301086
3,3,SMP_plag,pair_3_comp_183s.wav,pair_3_ori_3s.wav,1.1924035549163818,0.7109136581420898,0.7260281952697192,0.9111795822977643
3,3,SMP_plag,pair_3_comp_188s.wav,pair_3_ori_3s.wav,1.194692611694336,0.7136456966400146,0.7228241873470814,0.9146812419843517
3,3,SMP_plag,pair_3_comp_234s.wav,pair_3_ori_3s.wav,1.2443761825561523,0.7742364406585693,0.6287428638005359,0.9923405304135843
3,3,SMP_plag,pair_3_comp_238s.wav,pair_3_ori_3s.wav,1.2177284955978394,0.7414319515228271,0.6844343469649307,0.9502949453191665
3,3,SMP_plag,pair_3_comp_242s.wav,pair_3_ori_3s.wav,1.2287112474441528,0.7548660039901733,0.6646860072235815,0.9675133995935619
3,3,SMP_plag,pair_3_comp_246s.wav,pair_3_ori_3s.wav,1.219731092453003,0.7438724040985107,0.6798904811837353,0.9534228786948458
3,3,SMP_plag,pair_3_comp_250s.wav,pair_3_ori_3s.wav,1.2303321361541748,0.7568589448928833,0.6613654899219388,0.9700677562843887
