Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
1a. Human Plagiarism (Base),3757,0.01923647806210295,0.25871706148522755,0.03581033784032715,0.023606786708310463,972,49557,2785,187255
1b. Human Plagiarism + DSP,37570,0.15822462291072156,0.2479371839233431,0.19317309885734432,0.17056815768078576,9315,49557,28255,187255
2. Original + DSP,12190,0.16465233881163086,0.801312551271534,0.27317346011326293,0.1957593490721071,9768,49557,2422,187255
3. AI Generation (Base),5471,0.0537862298086837,0.5148967282032535,0.09739821937937591,0.06552168472370178,2817,49557,2654,187255
4. AI + DSP,54701,0.274464160224877,0.34271768340615344,0.30481687736270885,0.2858497729608407,18747,49557,35954,187255
OVERALL,113689,0.4564688075809423,0.3660776328404683,0.4063065921460474,0.4349875520753857,41619,49557,72070,187255
