Category,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN,Total_Queries
1a. Human Plagiarism (Base),0.5413787291420866,0.8549374500931595,0.6629514963880289,0.584233693477391,3212,2721,545,43141,3757
1b. Human Plagiarism + DSP,0.9199046273401625,0.8318072930529677,0.873640658634089,0.9008232540442067,31251,2721,6319,43141,37570
2. Original + DSP,0.8175050301810866,0.9999179655455291,0.8995571955719558,0.8484616455519978,12189,2721,1,43141,12190
3. AI Generation (Base),0.19899911686782454,0.27727645611156687,0.23170522707797772,0.21090727567702483,676,2721,1762,43141,2438
4. AI + DSP,0.6803336466165414,0.23753076292042657,0.3521220965584337,0.4955671938111864,5791,2721,18589,43141,24380
OVERALL,0.9512714899713467,0.661218646916039,0.7801578850743529,0.8745451851364033,53119,2721,27216,43141,80335
