Modification_Type,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
musicgen_pitchU4_tempo110,0.001561524047470331,0.004101722723543888,0.002261931689662972,0.0017822770371426534,5,3197,1214,233615
musicgen_tempo090,0.004049844236760125,0.01066447908121411,0.005870399638744638,0.004623372928373284,13,3197,1206,233615
musicgen_tempo095,0.00373948270489249,0.009844134536505332,0.005420054200542005,0.004268943436499467,12,3197,1207,233615
musicgen_tempo105,0.0031181789834736516,0.008203445447087777,0.004518752824220515,0.003559478892290169,10,3197,1209,233615
musicgen_tempo110,0.0024960998439937598,0.006562756357670222,0.003616636528028933,0.0028492057838877412,8,3197,1211,233615
none_pitchD2,0.25961093098656784,0.9196062346185397,0.40491240744085244,0.30312043696933644,1121,3197,98,233615
none_pitchD4,0.2542570562164684,0.8941755537325676,0.395931710860879,0.2967278270811782,1090,3197,129,233615
none_pitchD4_tempo090,0.24456521739130435,0.8490566037735849,0.379746835443038,0.28517110266159695,1035,3197,184,233615
none_pitchU2,0.2637033625057577,0.9392945036915504,0.4117964394893005,0.308010975412923,1145,3197,74,233615
none_pitchU4,0.25668449197860965,0.9056603773584906,0.4,0.299625468164794,1104,3197,115,233615
none_pitchU4_tempo110,0.24581269167256428,0.8547990155865464,0.38182484426529867,0.2866574965612105,1042,3197,177,233615
none_tempo090,0.27522103831330763,0.9958982772764561,0.4312611012433393,0.32179398823092825,1214,3197,5,233615
none_tempo095,0.2758776896942242,0.9991796554552912,0.4323748668796592,0.3225806451612903,1218,3197,1,233615
none_tempo105,0.2760416666666667,1.0,0.4326530612244898,0.3227771010962241,1219,3197,0,233615
none_tempo110,0.2758776896942242,0.9991796554552912,0.4323748668796592,0.3225806451612903,1218,3197,1,233615
smp_pitchD2,0.253734827264239,0.28932659036465264,0.27036438253948514,0.26013497343607905,1087,3197,2670,233615
smp_pitchD4,0.24545669105499174,0.2768166089965398,0.2601951463597698,0.2511470659261048,1040,3197,2717,233615
smp_pitchD4_tempo090,0.23093577098869378,0.25552302368911367,0.24260803639120546,0.235467255334805,960,3197,2797,233615
smp_pitchU2,0.2504103165298945,0.2842693638541389,0.26626776364996263,0.25652111255224097,1068,3197,2689,233615
smp_pitchU4,0.2425965411040038,0.2725578919350546,0.25670594133868135,0.24804999757763674,1024,3197,2733,233615
smp_pitchU4_tempo110,0.23314943631566323,0.25871706148522755,0.24526873580620742,0.23785053589781235,972,3197,2785,233615
smp_tempo090,0.25668449197860965,0.29385147724248073,0.2740134028294862,0.263346214398168,1104,3197,2653,233615
smp_tempo095,0.26438104003681545,0.30582911897790793,0.283598667160311,0.2717468426280687,1149,3197,2608,233615
smp_tempo105,0.2653952205882353,0.30742613787596484,0.28486866444691084,0.27285613040396883,1155,3197,2602,233615
smp_tempo110,0.26132162661737524,0.30103806228373703,0.2797773654916512,0.2684038160330343,1131,3197,2626,233615
