Category,Total_Queries,Precision,Recall,F1-Score,F0.5-Score,TP,FP,FN,TN
1a. Human Plagiarism (Base),3757,0.9803754266211604,0.30582911897790793,0.4662203286670724,0.6802841918294849,1149,23,2608,1786
1b. Human Plagiarism + DSP,37570,0.9767287234042553,0.2737024221453287,0.42758534658405756,0.6452523782033583,10283,245,27287,17845
2. Original + DSP,12190,0.9686169768800601,0.9520098441345365,0.9602416118489099,0.965249359550188,11605,376,585,36194
3. AI Generation (Base),5472,0.8425925925925926,0.14967105263157895,0.2541899441340782,0.4375,819,153,4653,16259
4. AI + DSP,54701,0.7897235409103602,0.10339847534779986,0.18285566493703828,0.33929621231208534,5656,1506,49045,162577
OVERALL,113690,0.9276127612761276,0.25958307678775616,0.40564929040239167,0.612409213529778,29512,2303,84178,234661
