model,metric,optimal_threshold,beta,fbeta,f1,accuracy,precision,recall,pr_auc
CLEWS,manhattan_distance,986.3671997070312,0.5,0.6123410732724419,0.4056082614384298,0.7533665617315547,0.9275720238196925,0.25956548509103705,0.5644480641231624
WEALY,cosine_distance,0.7492922067642211,0.5,0.4421372893788238,0.4136569426754967,0.6479105165187824,0.4637199555628431,0.3742819843342037,0.4688360531370236
FUSION,pearson_distance+cosine_distance,0.27212145509244046,0.5,0.6097235550003494,0.40968561967220285,0.7524286706681887,0.9040107548660442,0.26486294559920787,0.5554610331254717
