model,metric,beta,optimal_threshold,fbeta,f1,pr_auc,precision,recall,accuracy
CLEWS,euclidean_distance,0.5,38.99400482177735,0.6535005047044354,0.4433052755198255,0.5981842787149155,0.9556250571474415,0.2886039708719736,0.7319960532127434
CLEWS,cosine_distance,0.5,0.3600200772285461,0.6500699692319025,0.4450545453083274,0.5916736583074177,0.9382606316319293,0.2917283873778552,0.731006449457692
CLEWS,manhattan_distance,0.5,986.3622192382812,0.6538992478780646,0.4426468060488432,0.5984272487537449,0.9591091283189414,0.28773261965519387,0.7320927114884757
CLEWS,pearson_distance,0.5,0.3599264621734619,0.6499893641422847,0.44507410284840454,0.5916505483396571,0.937925749253577,0.2917781788759569,0.7309834354513658
WEALY,euclidean_distance,0.5,31.802407455444335,0.4305026957065118,0.532684531149329,0.47192003271984184,0.3819799976659185,0.894739631641712,0.41147664112963794
WEALY,cosine_distance,0.5,0.7768428683280945,0.4512235008811102,0.42758449455876074,0.4885571363216455,0.4684936076287666,0.3932555982509607,0.6020980421611336
WEALY,manhattan_distance,0.5,543.2323486328125,0.4314661253036064,0.5291253854653576,0.47165721896695684,0.3842802152647481,0.8539552139923149,0.42709929397626556
WEALY,pearson_distance,0.5,0.774616253376007,0.45063734484829415,0.4252664566827896,0.4885301303308366,0.4693107096190524,0.38880349807870684,0.6028891893245205
FUSION,manhattan_distance+cosine_distance,0.5,0.2644689887037577,0.6538992478780646,0.4426468060488432,0.5984272487537449,0.9591091283189414,0.28773261965519387,0.7320927114884757
