clews_metric,wealy_metric,alpha,beta,internal_val_f1_score
euclidean_distance,cosine_distance,0.8,0.2,0.7626
euclidean_distance,cosine_distance,0.85,0.15,0.7601
euclidean_distance,cosine_distance,0.9,0.1,0.7599
euclidean_distance,cosine_distance,0.95,0.05,0.7575
euclidean_distance,cosine_distance,1.0,0.0,0.7588
euclidean_distance,euclidean_distance,0.0,1.0,0.7587
euclidean_distance,euclidean_distance,0.05,0.95,0.7585
euclidean_distance,euclidean_distance,0.1,0.9,0.7591
euclidean_distance,euclidean_distance,0.15,0.85,0.7601
euclidean_distance,euclidean_distance,0.2,0.8,0.7606
euclidean_distance,euclidean_distance,0.25,0.75,0.7611
euclidean_distance,euclidean_distance,0.3,0.7,0.7628
euclidean_distance,euclidean_distance,0.35,0.65,0.765
euclidean_distance,euclidean_distance,0.4,0.6,0.7665
euclidean_distance,euclidean_distance,0.45,0.55,0.7685
euclidean_distance,euclidean_distance,0.5,0.5,0.7702
euclidean_distance,euclidean_distance,0.55,0.45,0.7722
euclidean_distance,euclidean_distance,0.6,0.4,0.7731
euclidean_distance,euclidean_distance,0.65,0.35,0.7727
euclidean_distance,euclidean_distance,0.7,0.3,0.7727
euclidean_distance,euclidean_distance,0.75,0.25,0.7699
euclidean_distance,euclidean_distance,0.8,0.2,0.7678
euclidean_distance,euclidean_distance,0.85,0.15,0.7679
euclidean_distance,euclidean_distance,0.9,0.1,0.7646
euclidean_distance,euclidean_distance,0.95,0.05,0.7595
euclidean_distance,euclidean_distance,1.0,0.0,0.7588
euclidean_distance,manhattan_distance,0.0,1.0,0.7587
euclidean_distance,manhattan_distance,0.05,0.95,0.7587
euclidean_distance,manhattan_distance,0.1,0.9,0.7591
euclidean_distance,manhattan_distance,0.15,0.85,0.7593
euclidean_distance,manhattan_distance,0.2,0.8,0.7599
euclidean_distance,manhattan_distance,0.25,0.75,0.762
euclidean_distance,manhattan_distance,0.3,0.7,0.7637
euclidean_distance,manhattan_distance,0.35,0.65,0.7642
euclidean_distance,manhattan_distance,0.4,0.6,0.7663
euclidean_distance,manhattan_distance,0.45,0.55,0.7674
euclidean_distance,manhattan_distance,0.5,0.5,0.7697
euclidean_distance,manhattan_distance,0.55,0.45,0.7714
euclidean_distance,manhattan_distance,0.6,0.4,0.7723
euclidean_distance,manhattan_distance,0.65,0.35,0.7717
euclidean_distance,manhattan_distance,0.7,0.3,0.7711
euclidean_distance,manhattan_distance,0.75,0.25,0.7704
euclidean_distance,manhattan_distance,0.8,0.2,0.769
euclidean_distance,manhattan_distance,0.85,0.15,0.7676
euclidean_distance,manhattan_distance,0.9,0.1,0.7643
euclidean_distance,manhattan_distance,0.95,0.05,0.7591
euclidean_distance,manhattan_distance,1.0,0.0,0.7588
euclidean_distance,pearson_distance,0.0,1.0,0.7586
euclidean_distance,pearson_distance,0.05,0.95,0.7586
euclidean_distance,pearson_distance,0.1,0.9,0.7581
euclidean_distance,pearson_distance,0.15,0.85,0.7581
euclidean_distance,pearson_distance,0.2,0.8,0.7581
